E_minus_VBM,total_DOS
-8.0000,4.2433
-7.9800,5.1850
-7.9600,6.1785
-7.9400,7.1419
-7.9200,8.0071
-7.9000,8.7781
-7.8800,9.5209
-7.8600,10.2824
-7.8400,11.0113
-7.8200,11.5596
-7.8000,11.7769
-7.7800,11.6224
-7.7600,11.2130
-7.7400,10.7782
-7.7200,10.5505
-7.7000,10.6773
-7.6800,11.2147
-7.6600,12.1917
-7.6400,13.6509
-7.6200,15.5847
-7.6000,17.8423
-7.5800,20.1311
-7.5600,22.1341
-7.5400,23.6172
-7.5200,24.4222
-7.5000,24.4249
-7.4800,23.5651
-7.4600,21.9216
-7.4400,19.7385
-7.4200,17.3573
-7.4000,15.0987
-7.3800,13.1417
-7.3600,11.4510
-7.3400,9.8173
-7.3200,8.0366
-7.3000,6.0895
-7.2800,4.1701
-7.2600,2.5403
-7.2400,1.3632
-7.2200,0.6405
-7.2000,0.2626
-7.1800,0.0937
-7.1600,0.0291
-7.1400,0.0072
-7.1200,0.0014
-7.1000,0.0001
-7.0800,0.0000
-7.0600,0.0000
-7.0400,0.0000
-7.0200,0.0000
-7.0000,0.0000
-6.9800,0.0000
-6.9600,0.0000
-6.9400,0.0000
-6.9200,0.0000
-6.9000,0.0000
-6.8800,0.0000
-6.8600,0.0000
-6.8400,0.0000
-6.8200,0.0000
-6.8000,0.0000
-6.7800,0.0000
-6.7600,0.0000
-6.7400,0.0000
-6.7200,0.0000
-6.7000,0.0000
-6.6800,0.0000
-6.6600,0.0000
-6.6400,0.0000
-6.6200,0.0000
-6.6000,0.0000
-6.5800,0.0000
-6.5600,0.0000
-6.5400,0.0000
-6.5200,0.0000
-6.5000,0.0000
-6.4800,0.0000
-6.4600,0.0000
-6.4400,0.0000
-6.4200,0.0000
-6.4000,0.0000
-6.3800,0.0000
-6.3600,0.0000
-6.3400,0.0000
-6.3200,0.0000
-6.3000,0.0000
-6.2800,0.0000
-6.2600,0.0000
-6.2400,0.0000
-6.2200,0.0000
-6.2000,0.0000
-6.1800,0.0000
-6.1600,0.0000
-6.1400,0.0000
-6.1200,0.0000
-6.1000,0.0000
-6.0800,0.0000
-6.0600,0.0000
-6.0400,0.0000
-6.0200,0.0000
-6.0000,0.0000
-5.9800,0.0000
-5.9600,0.0000
-5.9400,0.0000
-5.9200,0.0000
-5.9000,0.0000
-5.8800,0.0000
-5.8600,0.0000
-5.8400,0.0000
-5.8200,0.0000
-5.8000,0.0000
-5.7800,0.0000
-5.7600,0.0000
-5.7400,0.0000
-5.7200,0.0000
-5.7000,0.0000
-5.6800,0.0000
-5.6600,0.0000
-5.6400,0.0000
-5.6200,0.0001
-5.6000,0.0015
-5.5800,0.0066
-5.5600,0.0244
-5.5400,0.0755
-5.5200,0.2027
-5.5000,0.4746
-5.4800,0.9742
-5.4600,1.7667
-5.4400,2.8574
-5.4200,4.1741
-5.4000,5.5912
-5.3800,6.9844
-5.3600,8.2632
-5.3400,9.3510
-5.3200,10.1379
-5.3000,10.4811
-5.2800,10.2900
-5.2600,9.6558
-5.2400,8.9153
-5.2200,8.5538
-5.2000,8.9571
-5.1800,10.1619
-5.1600,11.7742
-5.1400,13.1335
-5.1200,13.6310
-5.1000,13.0075
-5.0800,11.4995
-5.0600,9.7794
-5.0400,8.7120
-5.0200,9.0184
-5.0000,10.9996
-4.9800,14.4398
-4.9600,18.6816
-4.9400,22.8002
-4.9200,25.8371
-4.9000,27.0766
-4.8800,26.3023
-4.8600,23.8752
-4.8400,20.5563
-4.8200,17.1633
-4.8000,14.2615
-4.7800,12.0458
-4.7600,10.4330
-4.7400,9.2847
-4.7200,8.5828
-4.7000,8.4726
-4.6800,9.1911
-4.6600,10.9301
-4.6400,13.6491
-4.6200,16.9268
-4.6000,20.0433
-4.5800,22.3711
-4.5600,23.8226
-4.5400,24.9109
-4.5200,26.3141
-4.5000,28.3392
-4.4800,30.7427
-4.4600,33.0252
-4.4400,34.9062
-4.4200,36.5703
-4.4000,38.4931
-4.3800,40.9955
-4.3600,43.9114
-4.3400,46.6437
-4.3200,48.5970
-4.3000,49.5857
-4.2800,49.8788
-4.2600,49.8350
-4.2400,49.4317
-4.2200,48.1097
-4.2000,45.1218
-4.1800,40.1511
-4.1600,33.6902
-4.1400,26.8517
-4.1200,20.7514
-4.1000,15.9553
-4.0800,12.3781
-4.0600,9.5857
-4.0400,7.1928
-4.0200,5.0602
-4.0000,3.2521
-3.9800,1.8751
-3.9600,0.9594
-3.9400,0.4320
-3.9200,0.1702
-3.9000,0.0581
-3.8800,0.0170
-3.8600,0.0041
-3.8400,0.0006
-3.8200,0.0000
-3.8000,0.0003
-3.7800,0.0035
-3.7600,0.0201
-3.7400,0.0771
-3.7200,0.2477
-3.7000,0.6879
-3.6800,1.6539
-3.6600,3.4431
-3.6400,6.2133
-3.6200,9.7449
-3.6000,13.3590
