# LPSOCl ELF 2D plane slices — 평면에 실제로 그려진 결합의 수치 (2026-07-30)
# 산출: tools/figures/elf_planes_lpsocl.py on /data/work/runs/lpsocl_elf/lpsocl_elf.cube (gabia)
# 그림(PNG, 11장)은 gabia /data/work/runs/lpsocl_elf/postproc/planes/ — 수십 MB cube 와 함께 거기 둔다.
#   clean판 elf_plane_lpsocl_*.png (논문용) · 라벨판 lpsocl_elf_plane_*.png · 몽타주 lpsocl_elf_planes.png
# central_min = frac [0.40,0.60] 최솟값 (sample_elf_bonds.py 와 같은 규약)
#
# ⚠⚠ **인용 표준은 mean_central_min 이지 plane_central_min 이 아니다.**
#   평면은 '결합 두 개가 한 화면에 들어오는' 조합을 고르느라 **각 종류의 최단 결합**을 집는다.
#   그래서 분포가 넓은 Li 결합에서 평면값이 앙상블 평균보다 높게 나온다:
#     Cl-Li  평면 2.30/2.35 Å → 0.476/0.468  vs  평균 2.523 Å → 0.399  (+0.07)
#     S-Li   평면 2.35 Å      → 0.596/0.593  vs  평균 2.486 Å → 0.576  (+0.02)
#   P-S/P-O/Li-O 는 분포가 좁아 0.002 안에서 일치한다.
#   ⇒ 그림은 '어떻게 생겼나', 순위·수치 인용은 lpsocl_elf_bond_midpoint.csv 에서.
#
# 순위는 결합 선택과 무관하게 같다: Li-O 0.16 < Li-Cl 0.47 < Li-S 0.59 < P-O 0.88 < P-S 0.92
system,motif,bond,plane_dist_A,plane_central_min,mean_dist_A,mean_central_min,n_bonds,delta_vs_mean,figure_clean
lpsocl,PS4,P-S,2.067,0.9238,2.063,0.924,19,-0.0002,elf_plane_lpsocl_PS4.png
lpsocl,PS4,P-S,2.074,0.9224,2.063,0.924,19,-0.0016,elf_plane_lpsocl_PS4.png
lpsocl,PS3O,P-O,1.559,0.8784,1.559,0.878,1,+0.0004,elf_plane_lpsocl_PS3O.png
lpsocl,PS3O,P-S,2.049,0.9233,2.063,0.924,19,-0.0007,elf_plane_lpsocl_PS3O.png
lpsocl,O_PLi,O-P,1.559,0.8784,1.559,0.878,1,+0.0004,elf_plane_lpsocl_O_PLi.png
lpsocl,O_PLi,O-Li,1.954,0.1609,1.964,0.163,2,-0.0021,elf_plane_lpsocl_O_PLi.png
lpsocl,ClLi2,Cl-Li,2.300,0.4756,2.523,0.399,39,+0.0766,elf_plane_lpsocl_ClLi2.png
lpsocl,ClLi2,Cl-Li,2.348,0.4679,2.523,0.399,39,+0.0689,elf_plane_lpsocl_ClLi2.png
lpsocl,SfreeLi2,S-Li,2.350,0.5961,2.486,0.576,69,+0.0201,elf_plane_lpsocl_SfreeLi2.png
lpsocl,SfreeLi2,S-Li,2.351,0.5931,2.486,0.576,69,+0.0171,elf_plane_lpsocl_SfreeLi2.png
