# ELF profile along each bond path — Origin-ready
# frac = 0 at first atom, 1 at second. 결합 길이는 열 이름에 (Å).
# ⚠ 판정은 **내부 최솟값**(frac 0.18~0.82)으로 — 핵 근처 스파이크 제외.
frac,ELF_P-S_2.05A,ELF_Cl-Li_2.56A,ELF_S(free)-Li_2.34A,ELF_P-O_1.56A,ELF_O-Li_1.95A
0.0000,0.00002,0.09676,0.00006,0.00002,0.00778
0.0050,0.00002,0.10346,0.00006,0.00002,0.00658
0.0101,0.00002,0.10910,0.00010,0.00003,0.00497
0.0151,0.00001,0.11368,0.00012,0.00004,0.01184
0.0201,0.00000,0.11720,0.00012,0.00005,0.01828
0.0251,0.00005,0.11966,0.00012,0.00006,0.02324
0.0302,0.00009,0.12105,0.00020,0.00007,0.02676
0.0352,0.00014,0.12590,0.00043,0.00008,0.02892
0.0402,0.00018,0.14123,0.00061,0.00009,0.02975
0.0452,0.00023,0.15819,0.00086,0.00015,0.03313
0.0503,0.00026,0.17415,0.00201,0.00028,0.04008
0.0553,0.00030,0.18910,0.00353,0.00045,0.08295
0.0603,0.00096,0.20305,0.00525,0.00064,0.12460
0.0653,0.00222,0.21599,0.00715,0.00086,0.16506
0.0704,0.00343,0.23528,0.00918,0.00111,0.20436
0.0754,0.00457,0.25885,0.01133,0.00140,0.24251
0.0804,0.00566,0.29126,0.01356,0.00172,0.27954
0.0854,0.00668,0.32262,0.01753,0.00207,0.31547
0.0905,0.00764,0.35258,0.02500,0.00245,0.35196
0.0955,0.00977,0.38116,0.03687,0.00334,0.39832
0.1005,0.02069,0.40836,0.04992,0.00436,0.44446
0.1055,0.03132,0.44010,0.06771,0.00698,0.49032
0.1106,0.04165,0.47271,0.09121,0.01021,0.53584
0.1156,0.05170,0.50536,0.11596,0.01394,0.58099
0.1206,0.06145,0.54141,0.14175,0.01821,0.62570
0.1256,0.07090,0.57534,0.16837,0.02302,0.66993
0.1307,0.07985,0.60714,0.19562,0.02840,0.70713
0.1357,0.10916,0.63681,0.22470,0.03437,0.72555
0.1407,0.14501,0.66441,0.26702,0.04096,0.74435
0.1457,0.18044,0.69025,0.31452,0.04818,0.76353
0.1508,0.21543,0.71436,0.36068,0.05606,0.78529
0.1558,0.24996,0.73778,0.40538,0.06462,0.80699
0.1608,0.28403,0.76045,0.44847,0.07388,0.82821
0.1658,0.31760,0.78142,0.49163,0.08386,0.84893
0.1709,0.35452,0.80070,0.53257,0.09459,0.86428
0.1759,0.39752,0.81588,0.57056,0.10607,0.87145
0.1809,0.44074,0.82994,0.60763,0.11835,0.87860
0.1859,0.48438,0.84296,0.64569,0.13175,0.88572
0.1910,0.52842,0.85498,0.68044,0.14982,0.89281
0.1960,0.57285,0.86618,0.71112,0.16876,0.89986
0.2010,0.61766,0.87658,0.73703,0.18855,0.90687
0.2060,0.66266,0.88597,0.76037,0.20919,0.91384
0.2111,0.68585,0.89300,0.78132,0.23067,0.91865
0.2161,0.70955,0.89956,0.80005,0.25296,0.92137
0.2211,0.73379,0.90566,0.81673,0.27969,0.92411
0.2261,0.75822,0.91131,0.83078,0.30657,0.92688
0.2312,0.78281,0.91650,0.84418,0.33346,0.92970
0.2362,0.80808,0.92122,0.85626,0.36034,0.93254
0.2412,0.83401,0.92536,0.86711,0.38717,0.93538
0.2462,0.84918,0.92849,0.87682,0.41389,0.93822
0.2513,0.85817,0.93143,0.88506,0.44048,0.93989
0.2563,0.86745,0.93418,0.89165,0.46689,0.94088
0.2613,0.87702,0.93674,0.89761,0.49308,0.94187
0.2663,0.88689,0.93910,0.90301,0.51901,0.94287
