# LPSOCl — O-doped Li5.4PS4.4Cl1.6 — DFT EOS (Origin: Volume vs Energy(eV))
# B0 = 24.71 GPa  |  V0(cell) = 1204.51 A^3  |  V/f.u. = 240.90 A^3 (5 f.u. = 1x modelC)  |  B0' = 0.50 (ill-constrained)
# ref undoped modelC (DFT): B0=21.7, V/f.u.=243.29 A^3 ; B2O3-doped: B0=24.48, V/f.u.=243.63
#   -> O doping: B0 +14%, V/f.u. -1.0% (slight lattice contraction)
# 점=data 칼럼(7), 곡선=fit 칼럼(200). X=Volume_*_A3(셀) 또는 *_perfu_A3(f.u.당), Y=Energy_*_eV
Volume_data_A3,Vperfu_data_A3,Energy_data_eV,Volume_fit_A3,Vperfu_fit_A3,Energy_fit_eV
1129.0200,225.8040,-17421.993988,1120.0000,224.0000,-17421.899453
1153.0500,230.6100,-17422.201243,1120.8141,224.1628,-17421.908594
1177.0600,235.4120,-17422.322797,1121.6281,224.3256,-17421.917644
1201.0700,240.2140,-17422.365791,1122.4422,224.4884,-17421.926603
1225.1000,245.0200,-17422.339681,1123.2563,224.6513,-17421.935470
1249.1100,249.8220,-17422.254482,1124.0704,224.8141,-17421.944247
1273.1500,254.6300,-17422.074792,1124.8844,224.9769,-17421.952934
,,,1125.6985,225.1397,-17421.961529
,,,1126.5126,225.3025,-17421.970033
,,,1127.3266,225.4653,-17421.978446
,,,1128.1407,225.6281,-17421.986769
,,,1128.9548,225.7910,-17421.995001
,,,1129.7688,225.9538,-17422.003142
,,,1130.5829,226.1166,-17422.011192
,,,1131.3970,226.2794,-17422.019152
,,,1132.2111,226.4422,-17422.027021
,,,1133.0251,226.6050,-17422.034800
,,,1133.8392,226.7678,-17422.042488
,,,1134.6533,226.9307,-17422.050085
,,,1135.4673,227.0935,-17422.057592
,,,1136.2814,227.2563,-17422.065008
,,,1137.0955,227.4191,-17422.072334
,,,1137.9095,227.5819,-17422.079570
,,,1138.7236,227.7447,-17422.086715
,,,1139.5377,227.9075,-17422.093770
,,,1140.3518,228.0704,-17422.100735
,,,1141.1658,228.2332,-17422.107610
,,,1141.9799,228.3960,-17422.114394
,,,1142.7940,228.5588,-17422.121088
,,,1143.6080,228.7216,-17422.127692
