E_minus_VBM,Li,P,S,Cl,O
-8.0000,0.5358,0.9258,2.1427,0.0094,0.6096
-7.9800,0.6407,1.1358,2.6176,0.0111,0.7560
-7.9600,0.7461,1.3583,3.1146,0.0127,0.9189
-7.9400,0.8416,1.5752,3.5902,0.0141,1.0893
-7.9200,0.9195,1.7712,4.0122,0.0151,1.2546
-7.9000,0.9821,1.9473,4.3892,0.0158,1.4067
-7.8800,1.0398,2.1177,4.7608,0.0165,1.5464
-7.8600,1.1000,2.2921,5.1523,0.0173,1.6781
-7.8400,1.1583,2.4587,5.5351,0.0182,1.7955
-7.8200,1.2000,2.5851,5.8360,0.0189,1.8716
-7.8000,1.2126,2.6398,5.9914,0.0192,1.8645
-7.7800,1.1969,2.6167,6.0020,0.0191,1.7385
-7.7600,1.1683,2.5441,5.9423,0.0188,1.4912
-7.7400,1.1496,2.4732,5.9251,0.0186,1.1647
-7.7200,1.1581,2.4533,6.0448,0.0189,0.8290
-7.7000,1.2005,2.5145,6.3470,0.0196,0.5487
-7.6800,1.2758,2.6681,6.8452,0.0208,0.3557
-7.6600,1.3844,2.9227,7.5638,0.0224,0.2455
-7.6400,1.5320,3.2917,8.5502,0.0244,0.1940
-7.6200,1.7204,3.7761,9.8201,0.0268,0.1753
-7.6000,1.9353,4.3401,11.2900,0.0294,0.1726
-7.5800,2.1462,4.9128,12.7799,0.0317,0.1766
-7.5600,2.3189,5.4172,14.0909,0.0333,0.1824
-7.5400,2.4294,5.7958,15.0736,0.0338,0.1876
-7.5200,2.4651,6.0086,15.6249,0.0331,0.1907
-7.5000,2.4192,6.0235,15.6605,0.0313,0.1909
-7.4800,2.2924,5.8234,15.1373,0.0287,0.1877
-7.4600,2.0981,5.4266,14.1027,0.0255,0.1801
-7.4400,1.8633,4.8929,12.7135,0.0219,0.1675
-7.4200,1.6211,4.3076,11.1907,0.0184,0.1500
-7.4000,1.3993,3.7512,9.7438,0.0152,0.1288
-7.3800,1.2109,3.2691,8.4905,0.0126,0.1060
-7.3600,1.0498,2.8527,7.4085,0.0104,0.0836
-7.3400,0.8956,2.4495,6.3610,0.0085,0.0631
-7.3200,0.7297,2.0080,5.2145,0.0068,0.0452
-7.3000,0.5505,1.5233,3.9559,0.0050,0.0303
-7.2800,0.3756,1.0442,2.7117,0.0034,0.0185
-7.2600,0.2280,0.6366,1.6533,0.0020,0.0102
-7.2400,0.1220,0.3419,0.8879,0.0011,0.0050
-7.2200,0.0572,0.1607,0.4175,0.0005,0.0021
-7.2000,0.0234,0.0659,0.1713,0.0002,0.0008
-7.1800,0.0083,0.0235,0.0612,0.0001,0.0003
-7.1600,0.0026,0.0073,0.0190,0.0000,0.0001
-7.1400,0.0006,0.0018,0.0047,0.0000,0.0000
-7.1200,0.0001,0.0004,0.0009,0.0000,0.0000
-7.1000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.0800,0.0000,0.0000,0.0000,0.0000,0.0000
-7.0600,0.0000,0.0000,0.0000,0.0000,0.0000
-7.0400,0.0000,0.0000,0.0000,0.0000,0.0000
-7.0200,0.0000,0.0000,0.0000,0.0000,0.0000
-7.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-6.9800,0.0000,0.0000,0.0000,0.0000,0.0000
-6.9600,0.0000,0.0000,0.0000,0.0000,0.0000
-6.9400,0.0000,0.0000,0.0000,0.0000,0.0000
-6.9200,0.0000,0.0000,0.0000,0.0000,0.0000
-6.9000,0.0000,0.0000,0.0000,0.0000,0.0000
-6.8800,0.0000,0.0000,0.0000,0.0000,0.0000
-6.8600,0.0000,0.0000,0.0000,0.0000,0.0000
