# MD temperature feasibility — required production time per temperature.
# t_MSD3 = MSD_gate(3 A^2)/(6D); t_practical = 10x (beta gate margin).
# D(T) from measured Ea and D(600 K); see tools/ionic/md_temperature_feasibility.py
system,T_K,Ea_eV,D_cm2_s,t_MSD3_ps,t_practical_ps,verdict
LPSCl1.6 (modelc),300,0.197,2.3053e-07,216.89,2168.9,⚠ 20 ns 급 — 셀 확대 병행 필수
LPSCl1.6 (modelc),400,0.197,1.5491e-06,32.28,322.8,🔶 연장 필요 (1600 ps 판)
LPSCl1.6 (modelc),500,0.197,4.8585e-06,10.29,102.9,✅ 표준 200 ps 로 가능
LPSCl1.6 (modelc),600,0.197,1.0410e-05,4.80,48.0,✅ 표준 200 ps 로 가능
LPSCl1.6 (modelc),700,0.197,1.7941e-05,2.79,27.9,✅ 표준 200 ps 로 가능
LPSCl1.6 (modelc),800,0.197,2.6986e-05,1.85,18.5,✅ 표준 200 ps 로 가능
LPSCl1.6 (modelc),900,0.197,3.7070e-05,1.35,13.5,✅ 표준 200 ps 로 가능
LPSCl1.6 (modelc),1000,0.197,4.7791e-05,1.05,10.5,✅ 표준 200 ps 로 가능
LPSOCl (+O),300,0.287,2.4356e-08,2052.87,20528.7,⛔ 직접 MD 불가
LPSOCl (+O),400,0.287,3.9080e-07,127.94,1279.4,🔶 연장 필요 (1600 ps 판)
LPSOCl (+O),500,0.287,2.0662e-06,24.20,242.0,🔶 연장 필요 (1600 ps 판)
LPSOCl (+O),600,0.287,6.2705e-06,7.97,79.7,✅ 표준 200 ps 로 가능
LPSOCl (+O),700,0.287,1.3858e-05,3.61,36.1,✅ 표준 200 ps 로 가능
LPSOCl (+O),800,0.287,2.5117e-05,1.99,19.9,✅ 표준 200 ps 로 가능
LPSOCl (+O),900,0.287,3.9890e-05,1.25,12.5,✅ 표준 200 ps 로 가능
LPSOCl (+O),1000,0.287,5.7754e-05,0.87,8.7,✅ 표준 200 ps 로 가능
B2O3-doped,300,0.199,2.2178e-07,225.45,2254.5,⚠ 20 ns 급 — 셀 확대 병행 필수
B2O3-doped,400,0.199,1.5195e-06,32.91,329.1,🔶 연장 필요 (1600 ps 판)
B2O3-doped,500,0.199,4.8211e-06,10.37,103.7,✅ 표준 200 ps 로 가능
B2O3-doped,600,0.199,1.0410e-05,4.80,48.0,✅ 표준 200 ps 로 가능
B2O3-doped,700,0.199,1.8040e-05,2.77,27.7,✅ 표준 200 ps 로 가능
B2O3-doped,800,0.199,2.7248e-05,1.84,18.4,✅ 표준 200 ps 로 가능
B2O3-doped,900,0.199,3.7551e-05,1.33,13.3,✅ 표준 200 ps 로 가능
B2O3-doped,1000,0.199,4.8536e-05,1.03,10.3,✅ 표준 200 ps 로 가능
