"# Li MSD (A^2) vs time, MLIP-MD (UMA-s-1p1/omat). 0-200 ps @ 1 ps grid."
"# Linear fit over 2-50 ps with FREE intercept: MSD = 6Dt + c. beta = dlogMSD/dlogt in the same window (0.8-1.2 = Fickian gate)."
"# SINGLE-SEED curves = ILLUSTRATIVE HIERARCHY ONLY. Quantitative D / Ea / sigma come from the multiseed *_md_arrhenius.json sets."
"# PROVENANCE v2 (2026-08-04): ALL columns are SEED-ENSEMBLE MEANS matching each system's registered Arrhenius seed set."
"# modelc = kgy modelc_600_reseed (600 K, 3 seeds x 200 ps) + highT_reseed/modelc (800/1000 K, 3 seeds x 100 ps)."
"# b2o3   = gabia b2o3_600_reseed (600 K, 3 seeds x 200 ps) + kgy highT_reseed/b2o3 (800/1000 K, 3 seeds x 100 ps)."
"# lpsocl = kgy lpsocl_md ladder+reseed(_hiT) s2/s3/s4 (4 seeds x 200 ps); licube EXCLUDED (same-seed rerun)."
"# Transfer: wrapped base64 relay from both machines; lpsocl part md5 c864169a0eccfaa7e054d8ff44358e86."
"# GATE: only lpsocl 600 K FAILS (beta 0.61 < 0.8; hop statistics, not MSD size). modelc/b2o3 600 K now PASS"
"#   on 3-seed means (0.87/0.81) - the single-seed borderline verdicts are superseded. D at lpsocl 600 K: DO NOT QUOTE."
"# LPSCl1.6 600K: slope 0.6201 A^2/ps, intercept 2.336 A^2, R2 0.9714, beta 0.868, D 1.0336e-05 cm2/s, gate PASS, traj 199 ps"
"# LPSCl1.6 800K: slope 1.6922 A^2/ps, intercept -2.267 A^2, R2 0.9783, beta 0.934, D 2.8203e-05 cm2/s, gate PASS, traj 99 ps"
"# LPSCl1.6 1000K: slope 2.8243 A^2/ps, intercept 1.952 A^2, R2 0.9941, beta 0.924, D 4.7072e-05 cm2/s, gate PASS, traj 99 ps"
"# LPSOCl1.6 600K: slope 0.3782 A^2/ps, intercept 4.035 A^2, R2 0.9746, beta 0.615, D 6.3036e-06 cm2/s, gate FAIL, traj 199 ps"
"# LPSOCl1.6 800K: slope 1.4520 A^2/ps, intercept 3.701 A^2, R2 0.9901, beta 0.856, D 2.4200e-05 cm2/s, gate PASS, traj 199 ps"
"# LPSOCl1.6 1000K: slope 3.4168 A^2/ps, intercept -5.424 A^2, R2 0.9956, beta 1.016, D 5.6946e-05 cm2/s, gate PASS, traj 199 ps"
"# B2O3@LPSCl1.6 600K: slope 0.6233 A^2/ps, intercept 1.704 A^2, R2 0.9957, beta 0.806, D 1.0389e-05 cm2/s, gate PASS, traj 199 ps"
"# B2O3@LPSCl1.6 800K: slope 1.2944 A^2/ps, intercept 4.179 A^2, R2 0.9924, beta 0.828, D 2.1574e-05 cm2/s, gate PASS, traj 99 ps"
"# B2O3@LPSCl1.6 1000K: slope 3.0455 A^2/ps, intercept 0.422 A^2, R2 0.9949, beta 0.974, D 5.0758e-05 cm2/s, gate PASS, traj 99 ps"
t_ps,LPSCl1.6_600K,LPSCl1.6_800K,LPSCl1.6_1000K,LPSOCl1.6_600K,LPSOCl1.6_800K,LPSOCl1.6_1000K,B2O3@LPSCl1.6_600K,B2O3@LPSCl1.6_800K,B2O3@LPSCl1.6_1000K
0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.0,2.001,3.380,4.199,2.274,3.101,4.530,1.490,2.694,4.930
2.0,2.413,5.400,8.598,3.418,4.444,8.088,2.356,4.319,7.433
3.0,3.468,6.302,9.306,3.796,7.119,11.232,3.326,7.268,9.716
4.0,3.828,7.045,12.961,4.862,9.033,13.032,4.519,8.839,12.438
5.0,4.089,8.809,18.152,5.862,10.576,14.818,5.407,10.174,15.088
6.0,4.617,11.136,21.501,5.810,12.092,17.230,6.052,10.712,16.959
7.0,5.213,12.242,25.098,6.047,14.294,20.129,6.400,11.834,19.760
8.0,6.102,13.522,25.984,6.233,15.309,22.723,7.286,14.612,26.404
9.0,6.958,15.452,26.651,6.832,17.108,25.004,8.363,15.664,31.365
10.0,7.754,15.616,29.377,7.132,19.119,28.927,7.830,16.942,32.036
11.0,7.359,15.044,33.833,8.458,20.620,32.528,8.378,20.075,33.843
12.0,8.343,17.345,36.703,9.401,22.137,35.757,9.786,21.805,35.272
13.0,8.194,18.315,37.546,9.346,24.086,36.681,10.160,23.149,43.005
14.0,10.697,19.995,38.626,10.470,24.394,39.364,10.394,22.497,47.062
15.0,11.589,23.770,41.240,10.625,26.445,44.467,10.426,24.403,50.700
16.0,12.425,24.907,45.039,10.671,25.982,46.722,11.131,26.460,52.901
17.0,12.462,26.411,47.693,10.808,26.118,49.310,13.134,28.810,53.971
18.0,14.777,29.330,50.567,10.158,29.904,51.141,12.984,29.284,56.541
19.0,15.306,31.563,53.717,10.576,30.994,56.299,13.385,30.758,57.519
20.0,16.599,33.109,54.456,11.683,33.001,56.911,13.912,32.459,60.131
21.0,16.305,32.597,61.865,11.780,34.522,64.136,14.580,33.480,65.818
22.0,18.149,33.598,64.252,12.012,34.973,71.419,15.149,31.984,67.746
23.0,18.598,35.653,68.178,13.043,34.503,74.076,15.780,32.900,68.176
24.0,19.707,37.329,70.686,13.714,36.937,76.656,16.251,34.568,71.460
25.0,19.309,38.327,71.696,14.181,39.396,78.933,17.120,35.182,71.224
26.0,20.690,38.747,69.768,15.009,40.425,82.038,17.219,35.549,74.216
27.0,20.914,40.699,75.211,15.707,41.834,85.791,19.169,36.691,76.142
28.0,21.610,39.730,78.686,16.690,44.223,87.156,18.428,39.578,82.203
29.0,22.866,42.654,83.517,16.239,43.048,91.094,18.174,41.329,85.329
30.0,24.090,42.721,85.795,16.317,45.580,93.201,18.993,44.622,87.125
31.0,23.983,42.129,91.056,17.509,47.867,94.591,20.147,45.167,88.999
32.0,23.899,44.803,95.292,17.442,52.173,98.837,21.590,45.632,98.240
33.0,23.678,48.214,98.027,16.793,54.780,102.526,21.909,46.260,101.615
34.0,23.619,51.988,106.689,17.363,56.189,108.856,22.391,47.109,105.007
35.0,23.631,52.798,107.674,17.368,59.541,114.394,24.339,46.780,111.702
36.0,24.866,53.585,111.201,16.270,60.453,118.545,24.480,50.383,116.924
37.0,25.773,55.547,111.245,17.331,61.427,122.683,25.540,52.434,114.628
38.0,27.174,60.828,114.750,18.080,63.178,127.503,26.055,48.987,118.428
