"# Li MSD (A^2) vs time, MLIP-MD. Common 0-49 ps @ 1 ps grid (linear interpolation, display only)."
"# D = slope/6 over 2-50 ps. Raw single-seed MSD = ILLUSTRATIVE HIERARCHY ONLY. Quantitative D/Ea/sigma: the multiseed *_md_arrhenius.json files."
"# lpsocl 600K ← d0.00_cfg0/T600/msd.json (D=3.8872e-06 cm2/s)"
"# lpsocl 800K ← d0.00_cfg0/T800/msd.json (D=2.0847e-05 cm2/s)"
"# lpsocl 1000K ← d0.00_cfg0/T1000/msd.json (D=5.5252e-05 cm2/s)"
"# ⛔ CORRECTION 2026-08-25: all b2o3 columns are DIAGNOSTIC-ONLY. The B2O3 UMA-MD conductivity axis (D/Ea/sigma incl. the old Ea 0.21+/-0.03 note) is RETIRED — anion-sublattice mobility, see b2o3_md_arrhenius.json. Do NOT read Li transport from b2o3 slopes."
t_ps,LPSCl_600K,LPSCl_800K,LPSCl_1000K,LPSCl1.6_600K,LPSCl1.6_800K,LPSCl1.6_1000K,b2o3_600K,b2o3_800K,b2o3_1000K,lpsocl_600K,lpsocl_800K,lpsocl_1000K
0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.0,0.960,4.412,6.161,1.652,4.350,5.311,1.335,2.437,4.238,2.576,3.155,3.913
2.0,2.112,5.037,8.858,2.005,8.727,9.550,1.985,3.563,7.409,2.939,4.792,7.130
3.0,5.210,5.651,10.505,1.659,13.479,9.204,3.183,5.668,8.952,3.815,8.696,12.104
4.0,5.774,6.867,13.260,3.026,16.372,14.016,3.713,6.068,11.586,5.113,9.956,12.189
5.0,8.160,7.051,15.457,4.524,19.280,15.351,4.533,8.976,13.006,6.165,9.022,12.000
6.0,10.555,9.826,16.256,5.461,17.718,16.254,4.870,9.911,17.728,5.049,10.178,17.069
7.0,10.278,10.443,17.611,7.205,16.159,19.599,5.954,11.501,20.172,5.644,12.801,18.210
8.0,10.584,10.553,18.140,7.836,18.158,26.170,7.677,12.784,23.022,5.104,13.083,17.426
9.0,10.380,8.385,18.060,8.097,20.299,28.595,7.752,16.273,24.475,6.406,14.645,19.563
10.0,11.169,9.291,22.735,7.972,19.483,28.718,8.997,16.742,31.840,6.906,15.443,18.317
11.0,11.469,7.894,22.470,9.402,21.804,31.959,8.960,17.887,41.887,9.889,16.248,18.800
12.0,11.412,9.093,19.480,10.043,26.141,32.601,10.830,19.611,45.659,8.721,16.715,24.173
13.0,11.941,9.189,23.425,9.211,24.087,32.727,10.529,21.723,51.468,9.535,20.830,31.230
14.0,10.832,10.231,21.041,11.258,27.836,34.830,10.172,23.522,54.934,10.350,17.693,32.309
15.0,10.356,11.304,21.252,10.404,28.675,38.902,9.749,25.751,59.173,10.569,18.593,34.992
16.0,10.761,10.364,19.271,9.736,27.986,37.456,10.280,29.935,63.563,12.086,21.274,33.432
17.0,10.638,10.488,19.583,9.616,32.116,48.298,12.359,30.635,69.251,12.497,21.159,33.263
18.0,10.360,11.909,25.465,10.864,34.166,53.705,11.001,33.820,68.081,13.274,23.760,38.534
19.0,12.582,13.578,22.702,10.842,33.133,56.112,10.969,35.661,68.543,13.353,24.064,37.873
20.0,13.312,13.118,25.418,10.066,33.700,61.723,10.688,38.240,75.867,13.106,28.232,45.746
21.0,13.587,15.700,24.663,9.986,34.324,59.661,12.290,39.349,76.533,13.689,29.350,57.746
22.0,13.747,14.582,26.360,10.587,35.365,65.827,13.146,42.092,79.831,14.194,29.515,65.240
23.0,13.229,13.719,25.493,11.949,37.626,64.819,14.020,42.715,78.265,14.582,30.042,62.643
24.0,12.272,14.244,27.312,12.564,39.254,67.781,15.745,44.964,82.129,14.841,30.002,62.529
25.0,11.897,16.578,29.379,13.127,37.835,71.351,18.861,48.031,86.124,14.617,31.812,73.463
26.0,11.024,17.481,33.049,14.784,39.173,70.291,17.403,47.576,94.547,14.754,32.707,76.172
27.0,11.682,16.409,30.687,13.049,40.849,78.499,18.793,48.964,94.988,15.026,33.105,79.585
28.0,11.133,19.230,34.210,12.805,43.710,81.420,19.181,51.354,96.402,16.185,34.088,78.978
29.0,12.228,17.326,34.558,13.855,44.065,87.215,20.587,51.010,100.975,15.588,33.426,75.691
30.0,14.330,17.016,33.189,13.936,42.214,88.670,19.778,53.915,95.540,15.995,32.706,81.754
31.0,13.008,17.526,34.210,13.391,41.749,93.339,21.405,54.953,93.835,16.540,33.908,88.382
32.0,12.731,17.337,38.867,15.930,42.078,91.159,20.505,57.417,92.309,17.480,40.629,89.147
33.0,13.515,15.325,39.397,18.460,42.965,90.595,22.803,59.081,105.524,16.752,47.655,97.665
34.0,14.440,14.039,39.055,20.545,43.350,92.639,22.688,61.915,104.680,16.397,49.795,104.039
35.0,13.986,15.962,40.942,20.652,44.628,100.017,23.291,62.520,108.613,16.162,49.617,114.963
