"# Li MSD (A^2) vs t — modelc(LPSCl1.6) vs lpsocl(LPSOCl1.6), 600/800/1000 K, single-seed illustrative"
# Source: msd_3sys_200ps_origin.csv subset. Quantitative D/Ea/sigma: *_md_arrhenius.json (multiseed).
# B2O3 columns intentionally omitted: UMA-MD conductivity axis retired 2026-08-25 (anion-sublattice mobility) — see b2o3_md_arrhenius.json
t_ps,LPSCl1.6_600K,LPSCl1.6_800K,LPSCl1.6_1000K,LPSOCl1.6_600K,LPSOCl1.6_800K,LPSOCl1.6_1000K
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.001,3.38,4.199,2.274,3.101,4.53
2.0,2.413,5.4,8.598,3.418,4.444,8.088
3.0,3.468,6.302,9.306,3.796,7.119,11.232
4.0,3.828,7.045,12.961,4.862,9.033,13.032
5.0,4.089,8.809,18.152,5.862,10.576,14.818
6.0,4.617,11.136,21.501,5.81,12.092,17.23
7.0,5.213,12.242,25.098,6.047,14.294,20.129
8.0,6.102,13.522,25.984,6.233,15.309,22.723
9.0,6.958,15.452,26.651,6.832,17.108,25.004
10.0,7.754,15.616,29.377,7.132,19.119,28.927
11.0,7.359,15.044,33.833,8.458,20.62,32.528
12.0,8.343,17.345,36.703,9.401,22.137,35.757
13.0,8.194,18.315,37.546,9.346,24.086,36.681
14.0,10.697,19.995,38.626,10.47,24.394,39.364
15.0,11.589,23.77,41.24,10.625,26.445,44.467
16.0,12.425,24.907,45.039,10.671,25.982,46.722
17.0,12.462,26.411,47.693,10.808,26.118,49.31
18.0,14.777,29.33,50.567,10.158,29.904,51.141
19.0,15.306,31.563,53.717,10.576,30.994,56.299
20.0,16.599,33.109,54.456,11.683,33.001,56.911
21.0,16.305,32.597,61.865,11.78,34.522,64.136
22.0,18.149,33.598,64.252,12.012,34.973,71.419
23.0,18.598,35.653,68.178,13.043,34.503,74.076
24.0,19.707,37.329,70.686,13.714,36.937,76.656
25.0,19.309,38.327,71.696,14.181,39.396,78.933
26.0,20.69,38.747,69.768,15.009,40.425,82.038
27.0,20.914,40.699,75.211,15.707,41.834,85.791
28.0,21.61,39.73,78.686,16.69,44.223,87.156
29.0,22.866,42.654,83.517,16.239,43.048,91.094
30.0,24.09,42.721,85.795,16.317,45.58,93.201
31.0,23.983,42.129,91.056,17.509,47.867,94.591
32.0,23.899,44.803,95.292,17.442,52.173,98.837
33.0,23.678,48.214,98.027,16.793,54.78,102.526
34.0,23.619,51.988,106.689,17.363,56.189,108.856
35.0,23.631,52.798,107.674,17.368,59.541,114.394
36.0,24.866,53.585,111.201,16.27,60.453,118.545
37.0,25.773,55.547,111.245,17.331,61.427,122.683
38.0,27.174,60.828,114.75,18.08,63.178,127.503
39.0,25.508,63.541,109.539,18.106,61.942,132.294
40.0,26.714,66.645,111.712,18.067,60.141,131.532
41.0,27.129,69.47,113.905,19.249,61.877,136.608
42.0,26.602,72.665,118.192,19.453,64.405,141.809
43.0,27.542,75.321,121.452,19.588,65.283,148.747
44.0,28.063,73.584,126.028,19.942,70.639,150.114
45.0,28.673,76.264,128.168,20.629,68.964,149.726
46.0,30.191,77.964,131.903,21.943,69.813,151.79
47.0,30.095,86.488,136.128,22.681,69.537,154.132
48.0,30.872,85.167,136.368,21.113,68.311,160.439
49.0,31.158,84.474,134.556,21.541,72.694,163.565
50.0,30.93,85.911,143.244,22.225,73.791,163.66
51.0,30.818,89.009,141.062,23.284,72.705,162.939
52.0,34.222,93.2,144.761,23.279,79.051,163.389
53.0,33.476,95.719,141.387,25.365,79.653,161.626
54.0,35.891,97.901,148.364,25.005,84.454,163.944
55.0,36.283,96.716,150.262,24.532,85.082,166.608
56.0,37.241,102.207,151.568,25.244,90.924,170.185
57.0,36.02,101.895,152.629,24.871,91.871,167.862
58.0,33.484,106.82,158.703,26.433,91.992,174.627
59.0,33.112,117.32,167.066,26.86,89.79,174.455
60.0,33.593,114.06,159.272,25.039,89.197,185.247
61.0,34.503,116.169,162.965,25.15,90.371,185.221
62.0,35.317,114.657,168.67,25.097,92.764,189.708
63.0,37.09,120.952,171.053,26.294,95.295,185.976
64.0,36.219,118.691,177.615,26.343,96.649,186.531
65.0,36.132,121.012,176.525,29.2,96.614,187.627
66.0,35.993,118.546,184.255,29.572,96.971,187.389
67.0,35.235,121.17,183.873,29.668,100.879,191.248
68.0,32.91,121.368,187.471,29.678,104.07,198.476
69.0,35.069,123.8,193.004,29.614,103.761,200.239
70.0,36.025,125.738,193.961,29.644,101.519,201.762
71.0,36.269,125.062,195.302,30.939,105.73,208.992
72.0,36.549,124.136,198.975,30.859,106.428,210.946
73.0,34.91,123.623,198.195,31.081,108.309,217.165
74.0,37.639,124.87,200.755,30.173,106.977,221.157
75.0,36.278,123.661,205.503,30.744,106.746,219.176
76.0,38.647,124.859,204.877,32.14,110.254,224.97
77.0,39.225,122.579,218.892,33.912,112.185,226.186
78.0,38.537,117.834,217.169,34.425,111.321,228.417
79.0,38.572,118.765,220.476,35.775,115.658,234.76
80.0,39.774,121.262,224.461,36.788,118.781,236.213
81.0,41.435,123.373,225.846,37.145,120.901,236.505
82.0,41.935,129.189,221.403,37.307,122.399,239.67
83.0,41.667,128.491,226.035,40.375,125.48,241.051
84.0,44.706,125.703,225.046,42.494,130.182,239.054
85.0,42.959,129.07,227.635,43.574,126.401,231.074
86.0,43.004,129.623,227.041,45.618,130.009,231.847
87.0,45.312,129.763,228.271,45.091,131.209,232.452
88.0,45.92,132.563,223.874,45.269,130.29,237.289
89.0,46.798,134.835,222.234,45.234,134.946,239.904
90.0,46.909,140.56,228.236,43.829,136.076,248.625
91.0,50.118,141.437,226.697,44.116,133.992,255.513
92.0,52.702,145.284,236.435,42.305,138.832,252.707
93.0,53.415,145.876,233.615,44.626,139.498,258.509
94.0,52.66,142.009,238.492,43.932,143.769,268.801
95.0,53.369,143.502,234.987,45.463,148.093,271.43
96.0,53.628,142.54,237.17,46.428,142.854,277.282
97.0,53.899,141.31,246.072,45.453,141.881,281.293
98.0,52.655,145.27,253.797,44.925,149.008,277.162
99.0,53.779,143.645,268.544,47.024,151.408,283.488
100.0,55.042,,,49.382,152.163,283.447
101.0,53.258,,,48.943,149.903,285.825
102.0,53.381,,,51.25,149.53,287.072
103.0,55.106,,,51.655,152.455,288.767
104.0,55.37,,,52.28,151.992,293.966
105.0,56.393,,,52.541,157.114,295.18
106.0,57.899,,,54.315,155.146,301.038
107.0,58.775,,,52.569,155.745,306.934
108.0,60.282,,,52.835,159.606,302.775
109.0,61.547,,,53.514,163.559,298.195
110.0,61.077,,,55.49,161.302,309.225
111.0,61.453,,,55.743,161.808,315.271
112.0,63.791,,,56.105,161.38,311.272
113.0,64.369,,,56.789,164.166,330.679
114.0,66.062,,,58.566,163.21,329.147
115.0,65.452,,,56.403,163.238,335.305
116.0,65.471,,,55.723,162.463,335.136
117.0,68.051,,,55.819,163.333,344.207
118.0,69.469,,,55.575,168.396,346.651
119.0,67.975,,,55.519,171.717,351.323
120.0,69.727,,,56.229,176.341,353.596
121.0,67.001,,,55.7,176.467,357.926
122.0,69.83,,,57.668,175.924,364.535
123.0,70.39,,,57.72,177.018,363.405
124.0,71.279,,,57.006,177.793,366.945
125.0,72.632,,,57.467,179.278,375.093
126.0,76.292,,,59.486,180.013,374.724
127.0,75.958,,,59.182,182.383,374.965
128.0,76.316,,,59.819,186.303,373.104
129.0,78.118,,,59.698,190.659,379.415
130.0,78.061,,,63.447,192.853,387.867
131.0,78.15,,,63.681,198.511,387.636
132.0,78.861,,,62.559,198.979,388.681
133.0,77.853,,,62.901,198.903,395.695
134.0,77.461,,,62.631,199.795,401.948
135.0,77.983,,,61.479,195.933,405.183
136.0,80.889,,,63.285,194.204,399.365
137.0,80.122,,,64.314,196.295,407.879
138.0,84.966,,,65.666,189.915,409.814
139.0,86.719,,,66.382,192.769,410.148
140.0,85.797,,,67.71,189.137,414.449
141.0,89.499,,,67.378,191.666,410.899
142.0,91.111,,,68.46,192.15,419.1
143.0,91.216,,,68.107,202.303,412.326
144.0,91.262,,,68.444,203.827,415.246
145.0,91.609,,,70.061,199.72,417.51
146.0,90.995,,,71.991,207.203,421.225
147.0,90.814,,,71.422,201.576,422.721
148.0,91.529,,,69.293,198.778,421.759
149.0,92.865,,,70.336,202.769,429.57
150.0,94.688,,,72.158,198.79,430.077
151.0,94.796,,,72.388,200.881,435.708
152.0,96.342,,,73.107,197.743,442.649
153.0,95.053,,,74.839,204.986,447.349
154.0,93.047,,,75.445,204.706,450.099
155.0,93.84,,,77.088,207.669,452.336
156.0,94.527,,,82.475,213.754,462.133
157.0,96.827,,,81.033,212.528,463.966
158.0,99.147,,,81.237,207.68,467.753
159.0,100.497,,,82.437,210.968,477.322
160.0,99.854,,,82.23,212.73,479.256
161.0,100.671,,,84.663,213.992,483.538
162.0,103.269,,,82.591,218.972,488.036
163.0,104.05,,,84.742,221.036,491.773
164.0,102.4,,,87.22,219.645,491.123
165.0,106.255,,,89.21,221.582,495.442
166.0,105.178,,,90.349,221.586,507.331
167.0,106.715,,,90.854,221.45,502.037
168.0,109.649,,,89.34,221.306,506.873
169.0,109.305,,,91.232,220.549,512.656
170.0,109.161,,,90.009,222.388,516.934
171.0,109.415,,,91.104,230.035,519.776
172.0,115.002,,,93.206,228.971,528.558
173.0,114.478,,,91.832,230.736,528.635
174.0,114.599,,,94.979,228.67,519.577
175.0,117.763,,,94.396,235.778,523.036
176.0,119.015,,,96.327,237.318,527.619
177.0,121.971,,,98.029,233.907,532.572
178.0,123.335,,,99.439,239.502,530.861
179.0,122.584,,,100.58,238.123,529.154
180.0,118.722,,,99.737,236.287,527.741
181.0,118.808,,,95.93,235.704,525.05
182.0,118.573,,,95.468,234.237,527.415
183.0,124.779,,,95.878,238.025,531.834
184.0,122.52,,,96.961,239.167,530.596
185.0,120.327,,,98.078,243.166,536.102
186.0,121.494,,,97.543,245.529,541.675
187.0,122.753,,,97.969,247.476,555.885
188.0,127.07,,,97.391,249.096,555.592
189.0,131.827,,,97.284,248.192,559.325
190.0,131.511,,,98.399,249.877,562.046
191.0,130.892,,,96.112,248.497,568.501
192.0,131.369,,,98.115,247.932,570.311
193.0,131.451,,,97.709,256.347,560.45
194.0,136.233,,,98.376,252.19,569.264
195.0,133.946,,,99.322,252.708,568.03
196.0,132.695,,,98.359,250.815,569.71
197.0,134.467,,,99.685,251.957,575.037
198.0,134.263,,,97.733,248.04,578.91
199.0,135.052,,,96.514,252.635,586.167
200.0,,,,,,
