      Step     Time          Energy          fmax
FIRE:    0 09:47:38     -429.538658        0.173914
FIRE:    1 09:48:04     -429.539080        0.167040
FIRE:    2 09:48:31     -429.539751        0.154234
FIRE:    3 09:48:52     -429.540485        0.137226
FIRE:    4 09:49:19     -429.541023        0.118341
FIRE:    5 09:49:47     -429.541465        0.100017
FIRE:    6 09:50:15     -429.541783        0.084037
FIRE:    7 09:50:42     -429.542131        0.079952
FIRE:    8 09:51:09     -429.542516        0.080735
FIRE:    9 09:51:34     -429.542973        0.065192
FIRE:   10 09:51:53     -429.543467        0.061929
FIRE:   11 09:52:13     -429.544018        0.051640
FIRE:   12 09:52:36     -429.544614        0.052072
FIRE:   13 09:53:04     -429.545242        0.050828
FIRE:   14 09:53:31     -429.545934        0.040654
      Step     Time          Energy          fmax
FIRE:    0 09:54:03     -429.545933        0.040654
FIRE:    1 09:54:31     -429.545939        0.033544
FIRE:    2 09:54:59     -429.545952        0.029481
