"# grand-potential ESW per cascade dopant (UMA champion composition, MP GGA_GGA+U hull).",esw_cascade_batch.py @ gabia. PLAIN variant; clrich_ox = +Cl-rich oxidation onset (higher).
# ref undoped: comp1/modelc ox=2.14 red=1.24 ocv=1.72 ; nd ox=1.92 (matches Nd2O3 here).
dopant,anion,valence,group,ox_V,red_V,ocv_V,window_V,clrich_ox_V
Ag2O,O,1,TM,2.14,1.723,1.914,0.417,
Al2O3,O,3,main-group,2.14,1.372,1.717,0.768,2.354
AlF3,F,3,main-group,2.14,1.372,1.717,0.768,
B2O3,O,3,main-group,2.317,2.043,2.091,0.274,
BaO,O,2,alk.earth,2.071,1.717,1.938,0.354,
CaF2,F,2,alk.earth,2.14,1.242,1.717,0.898,
CaO,O,2,alk.earth,2.14,1.242,1.717,0.898,
CoO,O,2,TM,1.873,1.861,,0.012,
Cr2O3,O,3,TM,2.356,1.723,1.729,0.633,
CrO3,O,6,TM,2.14,1.729,,0.411,
Cu2O,O,1,TM,1.864,1.751,1.757,0.113,
Fe2O3,O,3,TM,1.808,1.804,,0.004,
Ga2O3,O,3,main-group,2.356,1.578,1.717,0.778,
Gd2O3,O,3,lanthanide,2.118,1.398,1.717,0.72,
GeO2,O,4,main-group,2.14,1.622,1.717,0.518,
HfO2,O,4,TM,1.996,1.242,1.717,0.754,
In2O3,O,3,main-group,2.356,1.565,1.717,0.791,
La2O3,O,3,lanthanide,1.893,1.523,1.717,0.37,
LaF3,F,3,lanthanide,1.893,1.475,1.717,0.418,
Li2O,O,1,alkali,2.14,1.242,1.717,0.898,
LiF,F,1,alkali,2.14,1.242,1.717,0.898,
MgF2,F,2,alk.earth,2.14,1.343,1.717,0.797,
MgO,O,2,alk.earth,2.14,1.405,1.717,0.735,
MnO,O,2,TM,1.794,1.755,,0.039,
MoO3,O,6,TM,2.14,1.726,,0.414,2.356
Na2O,O,1,alkali,2.06,1.717,1.721,0.343,
Nb2O5,O,5,TM,2.061,1.738,,0.323,
Nd2O3,O,3,lanthanide,1.92,1.518,1.717,0.402,
NdF3,F,3,lanthanide,1.92,1.518,1.717,0.402,
NiO,O,2,TM,1.838,1.816,,0.022,
Sb2O5,O,5,main-group,2.14,1.777,1.957,0.363,
Sc2O3,O,3,TM,2.356,1.386,1.717,0.97,
ScF3,F,3,TM,2.14,1.306,1.717,0.834,
SiO2,O,4,main-group,2.14,1.414,1.717,0.726,
Sm2O3,O,3,lanthanide,1.989,1.488,1.717,0.501,
SnO2,O,4,main-group,2.14,1.717,1.72,0.423,
SrO,O,2,alk.earth,2.06,1.717,1.917,0.343,
Ta2O5,O,5,TM,2.027,1.717,,0.31,
TiF4,F,4,TM,2.024,1.717,1.942,0.307,
TiO2,O,4,TM,2.024,1.717,1.942,0.307,
V2O5,O,5,TM,2.042,1.736,1.791,0.306,
WO3,O,6,TM,2.14,1.717,,0.423,2.356
Y2O3,O,3,TM,2.282,1.391,1.717,0.891,
YF3,F,3,TM,2.14,1.292,1.717,0.848,
ZnO,O,2,TM,2.14,1.565,1.717,0.575,
ZrF4,F,4,TM,1.878,1.713,1.717,0.165,
ZrO2,O,4,TM,1.878,1.713,1.717,0.165,
