# grand-potential ESW per cascade dopant (UMA champion composition; MP GGA_GGA+U hull). Source: oxidation_stability_cascade_v2.json via tools/cascade/rebuild_pool_inputs.py
# ox_V = PLAIN champion; clrich_ox_V = +Clrich chain variant (blank = no variant or no plain). Do not merge the two.
dopant,anion,valence,group,ox_V,red_V,ocv_V,window_V,clrich_ox_V,note
Ag2O,O,1,TM,2.14,1.723,1.914,0.417,,
Al2O3,O,3,main-group,2.14,1.372,1.717,0.768,2.354,Cl-rich:ox->2.354
Al2S3,S,3,main-group,2.356,1.372,1.717,0.984,,
AlBr3,Br,3,main-group,1.717,1.372,,0.345,,
AlCl3,Cl,3,main-group,2.14,1.372,1.717,0.768,,
AlF3,F,3,main-group,2.14,1.372,1.717,0.768,,
AlI3,I,3,main-group,2.14,1.372,1.717,0.768,,
AlN,N,3,main-group,2.091,1.717,,0.374,,
B2O3,O,3,main-group,2.317,2.043,2.091,0.274,,plain champion 없음 — Cl-rich 값으로 대체
BaCl2,Cl,2,alk.earth,2.071,1.717,1.938,0.354,,
BaO,O,2,alk.earth,2.071,1.717,1.938,0.354,,
Ca3N2,N,2,alk.earth,2.091,1.717,,0.374,,
CaBr2,Br,2,alk.earth,2.14,1.242,1.717,0.898,,
CaCl2,Cl,2,alk.earth,2.14,1.242,1.717,0.898,,
CaF2,F,2,alk.earth,2.14,1.242,1.717,0.898,,
CaO,O,2,alk.earth,2.14,1.242,1.717,0.898,,
CaS,S,2,alk.earth,2.14,1.242,1.717,0.898,,
CoO,O,2,TM,1.873,1.861,,0.012,,collapse=window<0.05V
Cr2O3,O,3,TM,2.356,1.723,1.729,0.633,,
CrCl3,Cl,3,TM,2.14,1.053,1.729,1.087,,
CrO3,O,6,TM,2.14,1.729,,0.411,,
Cu2O,O,1,TM,1.864,1.751,1.757,0.113,,
Fe2O3,O,3,TM,1.808,1.804,,0.004,,collapse=window<0.05V
FeCl3,Cl,3,TM,1.808,1.804,,0.004,,collapse=window<0.05V
Ga2O3,O,3,main-group,2.356,1.578,1.717,0.778,,
Ga2S3,S,3,main-group,2.356,1.578,1.717,0.778,,
GaCl3,Cl,3,main-group,1.717,1.578,,0.139,,
GaN,N,3,main-group,2.091,1.717,,0.374,,
Gd2O3,O,3,lanthanide,2.118,1.398,1.717,0.72,,
