figure,electrolyte,cathode,dPhi_no_mixing_eV_per_nonLi_atom,dPhi_with_mixing_eV_per_nonLi_atom
S1,Li3N,LiCoO2,-9.605,-9.605
S1,Li3N,LiFePO4,-7.984,-7.984
S1,Li3N,LiMnO2,-7.913,-7.913
S1,Li3N,LiNiO2,-7.849,-7.849
S1,Li3N,LiTiS2,-4.044,-4.044
S1,Li3N,LiVS2,-4.899,-4.899
S1,Li3N,Li2S,-5.241,-5.241
S1,Li3BN2,LiCoO2,-2.866,-2.867
S1,Li3BN2,LiFePO4,-2.326,-2.326
S1,Li3BN2,LiMnO2,-2.303,-2.303
S1,Li3BN2,LiNiO2,-2.281,-2.281
S1,Li3BN2,LiTiS2,-1.013,-1.013
S1,Li3BN2,LiVS2,-1.298,-1.298
S1,Li3BN2,Li2S,-1.412,-1.412
S1,Li4NCl,LiCoO2,-4.784,-4.784
S1,Li4NCl,LiFePO4,-3.974,-3.974
S1,Li4NCl,LiMnO2,-3.939,-3.939
S1,Li4NCl,LiNiO2,-3.906,-3.906
S1,Li4NCl,LiTiS2,-2.004,-2.004
S1,Li4NCl,LiVS2,-2.431,-2.431
S1,Li4NCl,Li2S,-2.603,-2.603
S2,LiH,LiCoO2,-2.830,-2.830
S2,LiH,LiFePO4,-2.290,-2.290
S2,LiH,LiMnO2,-2.266,-2.266
S2,LiH,LiNiO2,-2.245,-2.245
S2,LiH,LiTiS2,-0.976,-0.976
S2,LiH,LiVS2,-1.261,-1.261
S2,LiH,Li2S,-1.376,-1.376
S2,LiBH4,LiCoO2,-0.352,-0.811
S2,LiBH4,LiFePO4,-0.244,-0.403
S2,LiBH4,LiMnO2,-0.239,-0.569
S2,LiBH4,LiNiO2,-0.235,-0.831
S2,LiBH4,LiTiS2,0.000,0.000
S2,LiBH4,LiVS2,-0.046,-0.062
S2,LiBH4,Li2S,-0.065,-0.297
S3,Li2S,LiCoO2,-2.909,-2.909
S3,Li2S,LiFePO4,-1.828,-1.828
S3,Li2S,LiMnO2,-1.781,-1.781
S3,Li2S,LiNiO2,-1.738,-1.738
S3,Li2S,LiTiS2,0.000,-0.030
S3,Li2S,LiVS2,0.000,-0.036
S3,Li2S,Li2S,0.000,0.000
S3,Li3PS4,LiCoO2,-0.690,-0.966
S3,Li3PS4,LiFePO4,-0.366,-0.366
S3,Li3PS4,LiMnO2,-0.352,-0.613
S3,Li3PS4,LiNiO2,-0.339,-0.815
S3,Li3PS4,LiTiS2,-0.039,-0.039
S3,Li3PS4,LiVS2,0.000,0.000
S3,Li3PS4,Li2S,0.000,0.000
S3,Li10GeP2S12,LiCoO2,-0.812,-1.013
S3,Li10GeP2S12,LiFePO4,-0.452,-0.452
S3,Li10GeP2S12,LiMnO2,-0.436,-0.612
S3,Li10GeP2S12,LiNiO2,-0.422,-0.789
S3,Li10GeP2S12,LiTiS2,-0.026,-0.034
S3,Li10GeP2S12,LiVS2,0.000,0.000
S3,Li10GeP2S12,Li2S,0.000,0.000
S3,Li4SnS4,LiCoO2,-1.101,-1.101
S3,Li4SnS4,LiFePO4,-0.668,-0.668
S3,Li4SnS4,LiMnO2,-0.650,-0.650
S3,Li4SnS4,LiNiO2,-0.632,-0.751
S3,Li4SnS4,LiTiS2,-0.002,-0.026
S3,Li4SnS4,LiVS2,0.000,-0.006
S3,Li4SnS4,Li2S,0.000,0.000
S3,Li6PS5Cl,LiCoO2,-0.971,-1.102
S3,Li6PS5Cl,LiFePO4,-0.523,-0.523
S3,Li6PS5Cl,LiMnO2,-0.506,-0.706
S3,Li6PS5Cl,LiNiO2,-0.490,-0.824
S3,Li6PS5Cl,LiTiS2,-0.028,-0.036
S3,Li6PS5Cl,LiVS2,0.000,-0.011
S3,Li6PS5Cl,Li2S,0.000,0.000
S4a,Li2O,LiCoO2,-1.335,-1.335
S4a,Li2O,LiFePO4,-0.312,-0.470
S4a,Li2O,LiMnO2,-0.289,-0.311
S4a,Li2O,LiNiO2,-0.267,-0.267
S4a,Li2O,LiTiS2,0.000,-0.601
S4a,Li2O,LiVS2,0.000,-0.695
S4a,Li2O,Li2S,0.000,-0.812
S4a,LiAlO2,LiCoO2,-0.016,-0.016
S4a,LiAlO2,LiFePO4,0.000,-0.066
S4a,LiAlO2,LiMnO2,0.000,-0.012
S4a,LiAlO2,LiNiO2,0.000,0.000
S4a,LiAlO2,LiTiS2,0.000,-0.011
S4a,LiAlO2,LiVS2,0.000,0.000
S4a,LiAlO2,Li2S,0.000,0.000
S4a,Li4Ti5O12,LiCoO2,-0.004,-0.004
S4a,Li4Ti5O12,LiFePO4,0.000,-0.049
S4a,Li4Ti5O12,LiMnO2,0.000,-0.004
S4a,Li4Ti5O12,LiNiO2,0.000,-0.068
S4a,Li4Ti5O12,LiTiS2,-0.001,-0.014
S4a,Li4Ti5O12,LiVS2,0.000,0.000
S4a,Li4Ti5O12,Li2S,0.000,0.000
S4a,Li2ZrO3,LiCoO2,-0.175,-0.175
S4a,Li2ZrO3,LiFePO4,0.000,-0.167
S4a,Li2ZrO3,LiMnO2,0.000,-0.087
S4a,Li2ZrO3,LiNiO2,0.000,0.000
S4a,Li2ZrO3,LiTiS2,0.000,-0.133
S4a,Li2ZrO3,LiVS2,0.000,-0.085
S4a,Li2ZrO3,Li2S,0.000,-0.089
S4a,Li7La3Zr2O12,LiCoO2,-0.228,-0.228
S4a,Li7La3Zr2O12,LiFePO4,-0.018,-0.207
S4a,Li7La3Zr2O12,LiMnO2,-0.014,-0.129
S4a,Li7La3Zr2O12,LiNiO2,-0.011,-0.043
S4a,Li7La3Zr2O12,LiTiS2,0.000,-0.230
S4a,Li7La3Zr2O12,LiVS2,0.000,-0.191
S4a,Li7La3Zr2O12,Li2S,0.000,-0.194
S4a,Li4GeO4,LiCoO2,-0.150,-0.150
S4a,Li4GeO4,LiFePO4,0.000,-0.155
S4a,Li4GeO4,LiMnO2,0.000,-0.082
S4a,Li4GeO4,LiNiO2,0.000,0.000
S4a,Li4GeO4,LiTiS2,0.000,-0.217
S4a,Li4GeO4,LiVS2,0.000,-0.130
S4a,Li4GeO4,Li2S,0.000,-0.140
S4b,LiNbO3,LiCoO2,0.000,0.000
S4b,LiNbO3,LiFePO4,0.000,-0.051
S4b,LiNbO3,LiMnO2,0.000,-0.004
S4b,LiNbO3,LiNiO2,0.000,-0.061
S4b,LiNbO3,LiTiS2,0.000,-0.150
S4b,LiNbO3,LiVS2,0.000,-0.005
S4b,LiNbO3,Li2S,0.000,0.000
S4b,Li3.2PO3.8N0.2,LiCoO2,-0.231,-0.242
S4b,Li3.2PO3.8N0.2,LiFePO4,-0.147,-0.147
S4b,Li3.2PO3.8N0.2,LiMnO2,-0.144,-0.158
S4b,Li3.2PO3.8N0.2,LiNiO2,-0.141,-0.216
S4b,Li3.2PO3.8N0.2,LiTiS2,-0.039,-0.052
