job,role,fragment,pose,seed_branch,phase,n_ions,E_total_eV,mag_total_muB,slab_basin,slab_ref_job,E_slab_ref_eV,mol_ref_job,E_mol_ref_eV,E_ads_eV,note
clean_slab__afm2424_net4,slab_ref,clean_slab,,net4,static,192,-944.846393,5.998855,B,,,,,,
clean_slab__afm2424_net4_basinA,slab_ref,clean_slab,,net4_basinA,static,192,-944.896111,3.999393,A,,,,,,
clean_slab__afm2424_pm1,slab_ref,clean_slab,,pm1,dense,192,-944.977299,0.000003,pm1,,,,,,
clean_slab__afm2424_pm1,slab_ref,clean_slab,,pm1,static,192,-944.974686,0.000275,pm1,,,,,,
mol__ptfe_c10__box20,mol_ref,ptfe_c10,box20,,static,32,-177.970705,0.000000,pm1,,,,,,
mol__ptfe_c10__box24,mol_ref,ptfe_c10,box24,,static,32,-177.970639,-0.000000,pm1,,,,,,
mol__ptfe_dimer__box20,mol_ref,ptfe_dimer,box20,,static,14,-75.478542,0.000000,pm1,,,,,,
mol__ptfe_dimer__box24,mol_ref,ptfe_dimer,box24,,static,14,-75.478599,0.000000,pm1,,,,,,
mol__sdcp_doped__box20,mol_ref,sdcp_doped,box20,,static,34,-200.345288,1.000000,unresolved,,,,,,
mol__sdcp_doped__box24,mol_ref,sdcp_doped,box24,,static,34,-200.345352,1.000000,unresolved,,,,,,
mol__sdcp_neutral__box20,mol_ref,sdcp_neutral,box20,,static,35,-205.448886,0.000000,pm1,,,,,,
mol__sdcp_neutral__box24,mol_ref,sdcp_neutral,box24,,static,35,-205.448564,-0.000000,pm1,,,,,,
ptfe_c10__fib04vfib04_r090__Litop__afm2424_net4,complex,ptfe_c10,Litop,net4,static,224,-1123.278937,3.999125,A,clean_slab__afm2424_net4_basinA,-944.896111,mol__ptfe_c10__box24,-177.970639,-0.412187,
ptfe_c10__fib04vfib04_r090__Litop__afm2424_pm1,complex,ptfe_c10,Litop,pm1,dense,224,-1123.360537,0.000456,pm1,clean_slab__afm2424_pm1,-944.977299,mol__ptfe_c10__box24,-177.970639,-0.412599,"dense-k: 슬랩은 dense, 분자는 static(Γ 하나라 k 무관)"
ptfe_c10__fib04vfib04_r090__Litop__afm2424_pm1,complex,ptfe_c10,Litop,pm1,static,224,-1123.357704,0.000719,pm1,clean_slab__afm2424_pm1,-944.974686,mol__ptfe_c10__box24,-177.970639,-0.412380,
