# li2s_mp-1153 total DOS (QE dos.x, degauss 0.007 Ry). VBM 2.243 / CBM 5.681 / gap 3.438 eV from fixed-occ nscf eigenvalues. DO NOT read the gap off this curve (smearing underestimates ~0.3 eV).
E_eV,E_minus_VBM_eV,DOS_states_per_eV,integrated_DOS_states
-42.19,-44.4334,0.0008225,8.225e-06
-42.18,-44.4234,0.001586,2.408e-05
-42.17,-44.4134,0.002991,5.4e-05
-42.16,-44.4034,0.005522,0.0001092
-42.15,-44.3934,0.009975,0.000209
-42.14,-44.3834,0.01763,0.0003853
-42.13,-44.3734,0.0305,0.0006902
-42.12,-44.3634,0.05162,0.001206
-42.11,-44.3534,0.08549,0.002061
-42.1,-44.3434,0.1385,0.003447
-42.09,-44.3334,0.2197,0.005644
-42.08,-44.3234,0.3409,0.009053
-42.07,-44.3134,0.5177,0.01423
-42.06,-44.3034,0.7693,0.02192
-42.05,-44.2934,1.119,0.03311
-42.04,-44.2834,1.592,0.04902
-42.03,-44.2734,2.216,0.07118
-42.02,-44.2634,3.019,0.1014
-42.01,-44.2534,4.025,0.1416
-42,-44.2434,5.25,0.1941
-41.99,-44.2334,6.703,0.2612
-41.98,-44.2234,8.373,0.3449
-41.97,-44.2134,10.23,0.4472
-41.96,-44.2034,12.24,0.5696
-41.95,-44.1934,14.33,0.7129
-41.94,-44.1834,16.41,0.877
-41.93,-44.1734,18.39,1.061
-41.92,-44.1634,20.17,1.263
-41.91,-44.1534,21.65,1.479
-41.9,-44.1434,22.73,1.706
-41.89,-44.1334,23.36,1.94
-41.88,-44.1234,23.49,2.175
-41.87,-44.1134,23.11,2.406
-41.86,-44.1034,22.26,2.629
-41.85,-44.0934,20.97,2.838
-41.84,-44.0834,19.33,3.032
-41.83,-44.0734,17.44,3.206
-41.82,-44.0634,15.4,3.36
-41.81,-44.0534,13.3,3.493
-41.8,-44.0434,11.24,3.605
-41.79,-44.0334,9.299,3.698
-41.78,-44.0234,7.527,3.774
-41.77,-44.0134,5.961,3.833
-41.76,-44.0034,4.62,3.88
-41.75,-43.9934,3.504,3.915
-41.74,-43.9834,2.6,3.941
-41.73,-43.9734,1.888,3.959
-41.72,-43.9634,1.342,3.973
-41.71,-43.9534,0.9327,3.982
-41.7,-43.9434,0.6346,3.989
-41.69,-43.9334,0.4225,3.993
-41.68,-43.9234,0.2752,3.996
-41.67,-43.9134,0.1754,3.997
-41.66,-43.9034,0.1094,3.998
-41.65,-43.8934,0.06678,3.999
-41.64,-43.8834,0.03988,3.999
-41.63,-43.8734,0.02331,4
-41.62,-43.8634,0.01333,4
-41.61,-43.8534,0.007457,4
-41.6,-43.8434,0.004083,4
-41.59,-43.8334,0.002187,4
-41.58,-43.8234,0.001147,4
-41.57,-43.8134,0.0005881,4
-41.56,-43.8034,0.0002952,4
-41.55,-43.7934,0.000145,4
-41.54,-43.7834,6.966e-05,4
-41.53,-43.7734,3.275e-05,4
-41.52,-43.7634,1.507e-05,4
-41.51,-43.7534,6.784e-06,4
-41.5,-43.7434,2.989e-06,4
-41.49,-43.7334,1.288e-06,4
-41.48,-43.7234,5.433e-07,4
-41.47,-43.7134,2.242e-07,4
-41.46,-43.7034,9.053e-08,4
-41.45,-43.6934,3.577e-08,4
-41.44,-43.6834,1.383e-08,4
-41.43,-43.6734,5.231e-09,4
-41.42,-43.6634,1.936e-09,4
-41.41,-43.6534,7.011e-10,4
-41.4,-43.6434,2.484e-10,4
-41.39,-43.6334,8.614e-11,4
-41.38,-43.6234,2.922e-11,4
-41.37,-43.6134,9.7e-12,4
-41.36,-43.6034,3.15e-12,4
-41.35,-43.5934,1.001e-12,4
-41.34,-43.5834,3.113e-13,4
-41.33,-43.5734,9.471e-14,4
-41.32,-43.5634,2.819e-14,4
-41.31,-43.5534,8.212e-15,4
-41.3,-43.5434,2.34e-15,4
-41.29,-43.5334,6.525e-16,4
-41.28,-43.5234,1.78e-16,4
-41.27,-43.5134,4.752e-17,4
-41.26,-43.5034,1.241e-17,4
-41.25,-43.4934,3.172e-18,4
-41.24,-43.4834,7.93e-19,4
-41.23,-43.4734,1.94e-19,4
-41.22,-43.4634,4.644e-20,4
-41.21,-43.4534,1.087e-20,4
-41.2,-43.4434,2.492e-21,4
-41.19,-43.4334,5.587e-22,4
-41.18,-43.4234,1.225e-22,4
-41.17,-43.4134,2.63e-23,4
-41.16,-43.4034,5.522e-24,4
-41.15,-43.3934,1.135e-24,4
-41.14,-43.3834,2.281e-25,4
-41.13,-43.3734,4.485e-26,4
-41.12,-43.3634,8.631e-27,4
-41.11,-43.3534,1.625e-27,4
-41.1,-43.3434,2.993e-28,4
-41.09,-43.3334,5.394e-29,4
-41.08,-43.3234,9.51e-30,4
-41.07,-43.3134,1.641e-30,4
-41.06,-43.3034,2.769e-31,4
-41.05,-43.2934,4.573e-32,4
-41.04,-43.2834,7.388e-33,4
-41.03,-43.2734,1.168e-33,4
-41.02,-43.2634,1.806e-34,4
-41.01,-43.2534,2.733e-35,4
-41,-43.2434,4.046e-36,4
-40.99,-43.2334,5.86e-37,4
-40.98,-43.2234,8.303e-38,4
-40.97,-43.2134,1.151e-38,4
-40.96,-43.2034,1.561e-39,4
-40.95,-43.1934,2.072e-40,4
-40.94,-43.1834,2.69e-41,4
-40.93,-43.1734,3.417e-42,4
-40.92,-43.1634,4.247e-43,4
-40.91,-43.1534,5.163e-44,4
-40.9,-43.1434,6.142e-45,4
-40.89,-43.1334,7.148e-46,4
-40.88,-43.1234,8.138e-47,4
-40.87,-43.1134,9.065e-48,4
-40.86,-43.1034,9.879e-49,4
-40.85,-43.0934,1.053e-49,4
-40.84,-43.0834,1.099e-50,4
-40.83,-43.0734,1.121e-51,4
-40.82,-43.0634,1.12e-52,4
-40.81,-43.0534,1.094e-53,4
-40.8,-43.0434,1.045e-54,4
-40.79,-43.0334,9.771e-56,4
-40.78,-43.0234,8.937e-57,4
-40.77,-43.0134,7.997e-58,4
-40.76,-43.0034,7.001e-59,4
-40.75,-42.9934,5.997e-60,4
-40.74,-42.9834,5.025e-61,4
-40.73,-42.9734,4.119e-62,4
-40.72,-42.9634,3.303e-63,4
-40.71,-42.9534,2.592e-64,4
-40.7,-42.9434,1.99e-65,4
-40.69,-42.9334,1.494e-66,4
-40.68,-42.9234,1.098e-67,4
-40.67,-42.9134,7.89e-69,4
-40.66,-42.9034,5.548e-70,4
-40.65,-42.8934,3.816e-71,4
-40.64,-42.8834,2.568e-72,4
-40.63,-42.8734,1.691e-73,4
-40.62,-42.8634,1.089e-74,4
-40.61,-42.8534,6.863e-76,4
-40.6,-42.8434,4.231e-77,4
-40.59,-42.8334,2.552e-78,4
-40.58,-42.8234,1.506e-79,4
-40.57,-42.8134,8.69e-81,4
-40.56,-42.8034,4.91e-82,4
-40.55,-42.7934,2.734e-83,4
-40.54,-42.7834,1.701e-84,4
-40.53,-42.7734,3.263e-85,4
-40.52,-42.7634,2.632e-85,4
-40.51,-42.7534,2.623e-85,4
-40.5,-42.7434,2.623e-85,4
-40.49,-42.7334,2.623e-85,4
-40.48,-42.7234,2.623e-85,4
-40.47,-42.7134,2.623e-85,4
-40.46,-42.7034,2.623e-85,4
-40.45,-42.6934,2.623e-85,4
-40.44,-42.6834,2.623e-85,4
-40.43,-42.6734,2.623e-85,4
-40.42,-42.6634,2.623e-85,4
-40.41,-42.6534,2.623e-85,4
-40.4,-42.6434,2.623e-85,4
-40.39,-42.6334,2.623e-85,4
-40.38,-42.6234,2.623e-85,4
-40.37,-42.6134,2.623e-85,4
-40.36,-42.6034,2.623e-85,4
-40.35,-42.5934,2.623e-85,4
-40.34,-42.5834,2.623e-85,4
-40.33,-42.5734,2.623e-85,4
-40.32,-42.5634,2.623e-85,4
-40.31,-42.5534,2.623e-85,4
-40.3,-42.5434,2.623e-85,4
-40.29,-42.5334,2.623e-85,4
-40.28,-42.5234,2.623e-85,4
-40.27,-42.5134,2.623e-85,4
-40.26,-42.5034,2.623e-85,4
-40.25,-42.4934,2.623e-85,4
-40.24,-42.4834,2.623e-85,4
-40.23,-42.4734,2.623e-85,4
-40.22,-42.4634,2.623e-85,4
-40.21,-42.4534,2.623e-85,4
-40.2,-42.4434,2.623e-85,4
-40.19,-42.4334,2.623e-85,4
-40.18,-42.4234,2.623e-85,4
-40.17,-42.4134,2.623e-85,4
-40.16,-42.4034,2.623e-85,4
-40.15,-42.3934,2.623e-85,4
-40.14,-42.3834,2.623e-85,4
-40.13,-42.3734,2.623e-85,4
-40.12,-42.3634,2.623e-85,4
-40.11,-42.3534,2.623e-85,4
-40.1,-42.3434,2.623e-85,4
-40.09,-42.3334,2.623e-85,4
-40.08,-42.3234,2.623e-85,4
-40.07,-42.3134,2.623e-85,4
-40.06,-42.3034,2.623e-85,4
-40.05,-42.2934,2.623e-85,4
-40.04,-42.2834,2.623e-85,4
-40.03,-42.2734,2.623e-85,4
-40.02,-42.2634,2.623e-85,4
-40.01,-42.2534,2.623e-85,4
-40,-42.2434,2.623e-85,4
-39.99,-42.2334,2.623e-85,4
-39.98,-42.2234,2.623e-85,4
-39.97,-42.2134,2.623e-85,4
-39.96,-42.2034,2.623e-85,4
-39.95,-42.1934,2.623e-85,4
-39.94,-42.1834,2.623e-85,4
-39.93,-42.1734,2.623e-85,4
-39.92,-42.1634,2.623e-85,4
-39.91,-42.1534,2.623e-85,4
-39.9,-42.1434,2.623e-85,4
-39.89,-42.1334,2.623e-85,4
-39.88,-42.1234,2.623e-85,4
-39.87,-42.1134,2.623e-85,4
-39.86,-42.1034,2.623e-85,4
-39.85,-42.0934,2.623e-85,4
-39.84,-42.0834,2.623e-85,4
-39.83,-42.0734,2.623e-85,4
-39.82,-42.0634,2.623e-85,4
-39.81,-42.0534,2.623e-85,4
-39.8,-42.0434,2.623e-85,4
-39.79,-42.0334,2.623e-85,4
-39.78,-42.0234,2.623e-85,4
-39.77,-42.0134,2.623e-85,4
-39.76,-42.0034,2.623e-85,4
-39.75,-41.9934,2.623e-85,4
-39.74,-41.9834,2.623e-85,4
-39.73,-41.9734,2.623e-85,4
-39.72,-41.9634,2.623e-85,4
-39.71,-41.9534,2.623e-85,4
-39.7,-41.9434,2.623e-85,4
-39.69,-41.9334,2.623e-85,4
-39.68,-41.9234,2.623e-85,4
-39.67,-41.9134,2.623e-85,4
-39.66,-41.9034,2.623e-85,4
-39.65,-41.8934,2.623e-85,4
-39.64,-41.8834,2.623e-85,4
-39.63,-41.8734,2.623e-85,4
-39.62,-41.8634,2.623e-85,4
-39.61,-41.8534,2.623e-85,4
-39.6,-41.8434,2.623e-85,4
-39.59,-41.8334,2.623e-85,4
-39.58,-41.8234,2.623e-85,4
-39.57,-41.8134,2.623e-85,4
-39.56,-41.8034,2.623e-85,4
-39.55,-41.7934,2.623e-85,4
-39.54,-41.7834,2.623e-85,4
-39.53,-41.7734,2.623e-85,4
-39.52,-41.7634,2.623e-85,4
-39.51,-41.7534,2.623e-85,4
-39.5,-41.7434,2.623e-85,4
-39.49,-41.7334,2.623e-85,4
-39.48,-41.7234,2.623e-85,4
-39.47,-41.7134,2.623e-85,4
-39.46,-41.7034,2.623e-85,4
-39.45,-41.6934,2.623e-85,4
-39.44,-41.6834,2.623e-85,4
-39.43,-41.6734,2.623e-85,4
-39.42,-41.6634,2.623e-85,4
-39.41,-41.6534,2.623e-85,4
-39.4,-41.6434,2.623e-85,4
-39.39,-41.6334,2.623e-85,4
-39.38,-41.6234,2.623e-85,4
-39.37,-41.6134,2.623e-85,4
-39.36,-41.6034,2.623e-85,4
-39.35,-41.5934,2.623e-85,4
-39.34,-41.5834,2.623e-85,4
-39.33,-41.5734,2.623e-85,4
-39.32,-41.5634,2.623e-85,4
-39.31,-41.5534,2.623e-85,4
-39.3,-41.5434,2.623e-85,4
-39.29,-41.5334,2.623e-85,4
-39.28,-41.5234,2.623e-85,4
-39.27,-41.5134,2.623e-85,4
-39.26,-41.5034,2.623e-85,4
-39.25,-41.4934,2.623e-85,4
-39.24,-41.4834,2.623e-85,4
-39.23,-41.4734,2.623e-85,4
-39.22,-41.4634,2.623e-85,4
-39.21,-41.4534,2.623e-85,4
-39.2,-41.4434,2.623e-85,4
-39.19,-41.4334,2.623e-85,4
-39.18,-41.4234,2.623e-85,4
-39.17,-41.4134,2.623e-85,4
-39.16,-41.4034,2.623e-85,4
-39.15,-41.3934,2.623e-85,4
-39.14,-41.3834,2.623e-85,4
-39.13,-41.3734,2.623e-85,4
-39.12,-41.3634,2.623e-85,4
-39.11,-41.3534,2.623e-85,4
-39.1,-41.3434,2.623e-85,4
-39.09,-41.3334,2.623e-85,4
-39.08,-41.3234,2.623e-85,4
-39.07,-41.3134,2.623e-85,4
-39.06,-41.3034,2.623e-85,4
-39.05,-41.2934,2.623e-85,4
-39.04,-41.2834,2.623e-85,4
-39.03,-41.2734,2.623e-85,4
-39.02,-41.2634,2.623e-85,4
-39.01,-41.2534,2.623e-85,4
-39,-41.2434,2.623e-85,4
-38.99,-41.2334,2.623e-85,4
-38.98,-41.2234,2.623e-85,4
-38.97,-41.2134,2.623e-85,4
-38.96,-41.2034,2.623e-85,4
-38.95,-41.1934,2.623e-85,4
-38.94,-41.1834,2.623e-85,4
-38.93,-41.1734,2.623e-85,4
-38.92,-41.1634,2.623e-85,4
-38.91,-41.1534,2.623e-85,4
-38.9,-41.1434,2.623e-85,4
-38.89,-41.1334,2.623e-85,4
-38.88,-41.1234,2.623e-85,4
-38.87,-41.1134,2.623e-85,4
-38.86,-41.1034,2.623e-85,4
-38.85,-41.0934,2.623e-85,4
-38.84,-41.0834,2.623e-85,4
-38.83,-41.0734,2.623e-85,4
-38.82,-41.0634,2.623e-85,4
-38.81,-41.0534,2.623e-85,4
-38.8,-41.0434,2.623e-85,4
-38.79,-41.0334,2.623e-85,4
-38.78,-41.0234,2.623e-85,4
-38.77,-41.0134,2.623e-85,4
-38.76,-41.0034,2.623e-85,4
-38.75,-40.9934,2.623e-85,4
-38.74,-40.9834,2.623e-85,4
-38.73,-40.9734,2.623e-85,4
-38.72,-40.9634,2.623e-85,4
-38.71,-40.9534,2.623e-85,4
-38.7,-40.9434,2.623e-85,4
-38.69,-40.9334,2.623e-85,4
-38.68,-40.9234,2.623e-85,4
-38.67,-40.9134,2.623e-85,4
-38.66,-40.9034,2.623e-85,4
-38.65,-40.8934,2.623e-85,4
-38.64,-40.8834,2.623e-85,4
-38.63,-40.8734,2.623e-85,4
-38.62,-40.8634,2.623e-85,4
-38.61,-40.8534,2.623e-85,4
-38.6,-40.8434,2.623e-85,4
-38.59,-40.8334,2.623e-85,4
-38.58,-40.8234,2.623e-85,4
-38.57,-40.8134,2.623e-85,4
-38.56,-40.8034,2.623e-85,4
-38.55,-40.7934,2.623e-85,4
-38.54,-40.7834,2.623e-85,4
-38.53,-40.7734,2.623e-85,4
-38.52,-40.7634,2.623e-85,4
-38.51,-40.7534,2.623e-85,4
-38.5,-40.7434,2.623e-85,4
-38.49,-40.7334,2.623e-85,4
-38.48,-40.7234,2.623e-85,4
-38.47,-40.7134,2.623e-85,4
-38.46,-40.7034,2.623e-85,4
-38.45,-40.6934,2.623e-85,4
-38.44,-40.6834,2.623e-85,4
-38.43,-40.6734,2.623e-85,4
-38.42,-40.6634,2.623e-85,4
-38.41,-40.6534,2.623e-85,4
-38.4,-40.6434,2.623e-85,4
-38.39,-40.6334,2.623e-85,4
-38.38,-40.6234,2.623e-85,4
-38.37,-40.6134,2.623e-85,4
-38.36,-40.6034,2.623e-85,4
-38.35,-40.5934,2.623e-85,4
-38.34,-40.5834,2.623e-85,4
-38.33,-40.5734,2.623e-85,4
-38.32,-40.5634,2.623e-85,4
-38.31,-40.5534,2.623e-85,4
-38.3,-40.5434,2.623e-85,4
-38.29,-40.5334,2.623e-85,4
-38.28,-40.5234,2.623e-85,4
-38.27,-40.5134,2.623e-85,4
-38.26,-40.5034,2.623e-85,4
-38.25,-40.4934,2.623e-85,4
-38.24,-40.4834,2.623e-85,4
-38.23,-40.4734,2.623e-85,4
-38.22,-40.4634,2.623e-85,4
