# li2s_mp-1153 PDOS summed by element+orbital (QE projwfc.x). Columns are states/eV. VBM 2.243 eV. Gap is the fixed-occ nscf value (3.438 eV), not a DOS threshold.
E_eV,E_minus_VBM_eV,Li_p,Li_s,S_p,S_s
-42.19,-44.4334,2.3e-05,0.00079678,2.97e-06,4.09e-08
-42.18,-44.4234,4.38e-05,0.0015353,5.71e-06,7.85e-08
-42.17,-44.4134,8.22e-05,0.00289772,1.08e-05,1.48e-07
-42.16,-44.4034,0.0001506,0.005353,1.98e-05,2.71e-07
-42.15,-44.3934,0.00027,0.0096604,3.57e-05,4.87e-07
-42.14,-44.3834,0.000474,0.017088,6.3e-05,8.57e-07
-42.13,-44.3734,0.000814,0.029589,0.000109,1.47e-06
-42.12,-44.3634,0.001368,0.050124,0.000184,2.48e-06
-42.11,-44.3534,0.00224,0.082942,0.000303,4.09e-06
-42.1,-44.3434,0.00362,0.13449,0.00049,6.58e-06
-42.09,-44.3334,0.00568,0.21343,0.000774,1.04e-05
-42.08,-44.3234,0.00876,0.33024,0.0012,1.6e-05
-42.07,-44.3134,0.01318,0.50346,0.00181,2.41e-05
-42.06,-44.3034,0.01942,0.7472,0.00268,3.56e-05
-42.05,-44.2934,0.028,1.08566,0.00389,5.14e-05
-42.04,-44.2834,0.0396,1.54704,0.00551,7.26e-05
-42.03,-44.2734,0.0546,2.15558,0.00763,0.0001
-42.02,-44.2634,0.0736,2.9416,0.0104,0.000136
-42.01,-44.2534,0.0974,3.909,0.0137,0.000179
-42,-44.2434,0.126,5.0984,0.0178,0.000232
-41.99,-44.2334,0.1594,6.5298,0.0226,0.000294
-41.98,-44.2234,0.1972,8.143,0.0281,0.000363
-41.97,-44.2134,0.238,9.958,0.0342,0.00044
-41.96,-44.2034,0.284,11.9146,0.0407,0.000522
-41.95,-44.1934,0.328,13.9522,0.0473,0.000605
-41.94,-44.1834,0.372,15.9904,0.0539,0.000686
-41.93,-44.1734,0.414,17.9282,0.06,0.000762
-41.92,-44.1634,0.45,19.6648,0.0654,0.000827
-41.91,-44.1534,0.478,21.1792,0.0697,0.000878
-41.9,-44.1434,0.496,22.1908,0.0727,0.000912
-41.89,-44.1334,0.506,22.7988,0.0742,0.000927
-41.88,-44.1234,0.504,23.002,0.0741,0.000922
-41.87,-44.1134,0.49,22.602,0.0724,0.000897
-41.86,-44.1034,0.468,21.7974,0.0692,0.000854
-41.85,-44.0934,0.436,20.3884,0.0647,0.000795
-41.84,-44.0834,0.398,18.8762,0.0591,0.000724
-41.83,-44.0734,0.356,17.041,0.0529,0.000646
-41.82,-44.0634,0.31,15.0442,0.0463,0.000563
-41.81,-44.0534,0.266,12.9862,0.0397,0.00048
-41.8,-44.0434,0.222,10.988,0.0333,0.000401
-41.79,-44.0334,0.1818,9.0906,0.0273,0.000327
-41.78,-44.0234,0.1456,7.3544,0.0219,0.000261
-41.77,-44.0134,0.114,5.8396,0.0172,0.000204
-41.76,-44.0034,0.0874,4.5268,0.0132,0.000156
-41.75,-43.9934,0.0656,3.436,0.0099,0.000117
-41.74,-43.9834,0.0482,2.547,0.00728,8.54e-05
-41.73,-43.9734,0.0346,1.84788,0.00523,6.11e-05
-41.72,-43.9634,0.0244,1.31432,0.00368,4.28e-05
-41.71,-43.9534,0.01672,0.91408,0.00253,2.93e-05
-41.7,-43.9434,0.01126,0.62094,0.00171,1.97e-05
-41.69,-43.9334,0.0074,0.41468,0.00112,1.29e-05
-41.68,-43.9234,0.00478,0.26908,0.000724,8.27e-06
-41.67,-43.9134,0.003,0.171992,0.000457,5.19e-06
-41.66,-43.9034,0.001856,0.107258,0.000282,3.19e-06
-41.65,-43.8934,0.00112,0.065576,0.00017,1.91e-06
-41.64,-43.8834,0.000662,0.03907,0.0001,1.12e-06
-41.63,-43.8734,0.000382,0.022878,5.8e-05,6.46e-07
-41.62,-43.8634,0.000216,0.0130806,3.28e-05,3.63e-07
-41.61,-43.8534,0.0001196,0.0073108,1.81e-05,2e-07
-41.6,-43.8434,6.48e-05,0.0040104,9.82e-06,1.08e-07
-41.59,-43.8334,3.42e-05,0.0021472,5.2e-06,5.67e-08
-41.58,-43.8234,1.776e-05,0.00112646,2.69e-06,2.92e-08
-41.57,-43.8134,9e-06,0.0005775,1.36e-06,1.47e-08
-41.56,-43.8034,4.48e-06,0.0002898,6.76e-07,7.26e-09
-41.55,-43.7934,2.18e-06,0.000142488,3.28e-07,3.5e-09
-41.54,-43.7834,1.032e-06,6.8518e-05,1.56e-07,1.65e-09
-41.53,-43.7734,4.8e-07,3.2236e-05,7.22e-08,7.63e-10
-41.52,-43.7634,2.18e-07,1.4822e-05,3.28e-08,3.45e-10
-41.51,-43.7534,9.7e-08,6.6722e-06,1.46e-08,1.52e-10
-41.5,-43.7434,4.22e-08,2.941e-06,6.34e-09,6.59e-11
