# li3p_mp-736 total DOS (QE dos.x, degauss 0.007 Ry). VBM 3.252 / CBM 3.961 / gap 0.709 eV from fixed-occ nscf eigenvalues. DO NOT read the gap off this curve (smearing underestimates ~0.3 eV).
E_eV,E_minus_VBM_eV,DOS_states_per_eV,integrated_DOS_states
-42.512,-45.7641,0.001417,1.417e-05
-42.502,-45.7541,0.002726,4.143e-05
-42.492,-45.7441,0.005132,9.275e-05
-42.482,-45.7341,0.009456,0.0001873
-42.472,-45.7241,0.01705,0.0003578
-42.462,-45.7141,0.03011,0.0006589
-42.452,-45.7041,0.05203,0.001179
-42.442,-45.6941,0.08801,0.002059
-42.432,-45.6841,0.1457,0.003517
-42.422,-45.6741,0.2362,0.005879
-42.412,-45.6641,0.3749,0.009628
-42.402,-45.6541,0.5824,0.01545
-42.392,-45.6441,0.8857,0.02431
-42.382,-45.6341,1.319,0.03749
-42.372,-45.6241,1.922,0.05672
-42.362,-45.6141,2.743,0.08414
-42.352,-45.6041,3.832,0.1225
-42.342,-45.5941,5.243,0.1749
-42.332,-45.5841,7.022,0.2451
-42.322,-45.5741,9.209,0.3372
-42.312,-45.5641,11.82,0.4554
-42.302,-45.5541,14.87,0.6041
-42.292,-45.5441,18.3,0.7871
-42.282,-45.5341,22.06,1.008
-42.272,-45.5241,26.04,1.268
-42.262,-45.5141,30.1,1.569
-42.252,-45.5041,34.06,1.91
-42.242,-45.4941,37.75,2.287
-42.232,-45.4841,40.97,2.697
-42.222,-45.4741,43.54,3.132
-42.212,-45.4641,45.31,3.585
-42.202,-45.4541,46.17,4.047
-42.192,-45.4441,46.07,4.508
-42.182,-45.4341,45.02,4.958
-42.172,-45.4241,43.08,5.389
-42.162,-45.4141,40.36,5.792
-42.152,-45.4041,37.04,6.163
-42.142,-45.3941,33.28,6.496
-42.132,-45.3841,29.28,6.788
-42.122,-45.3741,25.23,7.041
-42.112,-45.3641,21.29,7.254
-42.102,-45.3541,17.6,7.429
-42.092,-45.3441,14.25,7.572
-42.082,-45.3341,11.33,7.685
-42.072,-45.3241,8.842,7.774
-42.062,-45.3141,6.81,7.842
-42.052,-45.3041,5.214,7.894
-42.042,-45.2941,4.028,7.934
-42.032,-45.2841,3.221,7.966
-42.022,-45.2741,2.763,7.994
-42.012,-45.2641,2.628,8.02
-42.002,-45.2541,2.8,8.048
-41.992,-45.2441,3.267,8.081
