# li3p_mp-736 PDOS summed by element+orbital (QE projwfc.x). Columns are states/eV. VBM 3.252 eV. Gap is the fixed-occ nscf value (0.709 eV), not a DOS threshold.
E_eV,E_minus_VBM_eV,Li_p,Li_s,P_p,P_s
-42.512,-45.7641,5.536e-05,0.0013559,3.94e-06,3.58e-07
-42.502,-45.7541,0.0001062,0.00261093,7.58e-06,6.88e-07
-42.492,-45.7441,0.000199,0.00492338,1.42e-05,1.29e-06
-42.482,-45.7341,0.0003652,0.00908046,2.6e-05,2.36e-06
-42.472,-45.7241,0.0006544,0.0163459,4.68e-05,4.24e-06
-42.462,-45.7141,0.00115,0.0288588,8.24e-05,7.46e-06
-42.452,-45.7041,0.001978,0.0500502,0.0001418,1.282e-05
-42.442,-45.6941,0.003324,0.0843688,0.000238,2.16e-05
-42.432,-45.6841,0.005468,0.13968,0.000392,3.54e-05
-42.422,-45.6741,0.00882,0.226893,0.000634,5.7e-05
-42.412,-45.6641,0.01386,0.35975,0.000998,8.98e-05
-42.402,-45.6541,0.0214,0.56125,0.00154,0.0001384
-42.392,-45.6441,0.03228,0.852046,0.00232,0.000208
-42.382,-45.6341,0.04768,1.26812,0.00344,0.000308
-42.372,-45.6241,0.06892,1.84587,0.00496,0.000444
-42.362,-45.6141,0.0974,2.63781,0.00702,0.000628
-42.352,-45.6041,0.135,3.68846,0.00972,0.000866
-42.342,-45.5941,0.1828,5.05048,0.01318,0.001172
-42.332,-45.5841,0.2426,6.74854,0.01748,0.00155
-42.322,-45.5741,0.3148,8.85122,0.0226,0.002
-42.312,-45.5641,0.4,11.3983,0.0288,0.00254
-42.302,-45.5541,0.498,14.3108,0.0358,0.00314
-42.292,-45.5441,0.6048,17.6684,0.0434,0.00382
-42.282,-45.5341,0.72,21.2707,0.0518,0.00452
-42.272,-45.5241,0.842,25.116,0.0602,0.00524
-42.262,-45.5141,0.958,29.0439,0.0686,0.00596
-42.252,-45.5041,1.07,32.8919,0.0766,0.00662
-42.242,-45.4941,1.172,36.4986,0.0836,0.0072
-42.232,-45.4841,1.256,39.6211,0.0892,0.00766
-42.222,-45.4741,1.312,42.096,0.0934,0.00798
-42.212,-45.4641,1.346,43.7245,0.0956,0.00814
-42.202,-45.4541,1.352,44.543,0.0956,0.0081
-42.192,-45.4441,1.33,44.552,0.0938,0.0079
-42.182,-45.4341,1.278,43.7472,0.09,0.00754
-42.172,-45.4241,1.204,41.7333,0.0844,0.00706
-42.162,-45.4141,1.112,39.1866,0.0776,0.00644
-42.152,-45.4041,1.002,35.9515,0.0698,0.00576
-42.142,-45.3941,0.886,32.3118,0.0614,0.00504
-42.132,-45.3841,0.764,28.468,0.053,0.00432
-42.122,-45.3741,0.65,24.5429,0.0448,0.00362
-42.112,-45.3641,0.5388,20.7004,0.037,0.00298
-42.102,-45.3541,0.4376,17.1442,0.03,0.00238
-42.092,-45.3441,0.3486,13.8775,0.0238,0.001874
-42.082,-45.3341,0.2722,11.0261,0.01856,0.001442
-42.072,-45.3241,0.2088,8.6354,0.01434,0.001086
-42.062,-45.3141,0.1578,6.63402,0.01106,0.000802
-42.052,-45.3041,0.1192,5.07178,0.00872,0.00058
-42.042,-45.2941,0.0908,3.93086,0.00722,0.000412
-42.032,-45.2841,0.072,3.1427,0.00658,0.00029
-42.022,-45.2741,0.06168,2.69498,0.00676,0.000204
-42.012,-45.2641,0.05924,2.56134,0.0078,0.0001478
-42.002,-45.2541,0.06388,2.72748,0.0097,0.0001128
-41.992,-45.2441,0.07528,3.17322,0.01254,9.52e-05
-41.982,-45.2341,0.09356,3.91916,0.01638,9.1e-05
-41.972,-45.2241,0.11814,4.92876,0.0212,9.74e-05
-41.962,-45.2141,0.14964,6.20524,0.0272,0.000112
-41.952,-45.2041,0.18676,7.73404,0.0342,0.0001336
-41.942,-45.1941,0.229,9.48456,0.042,0.0001602
-41.932,-45.1841,0.27588,11.41,0.0508,0.0001908
-41.922,-45.1741,0.3249,13.4441,0.0598,0.000224
-41.912,-45.1641,0.37478,15.504,0.069,0.000258
-41.902,-45.1541,0.4242,17.5053,0.0778,0.00029
-41.892,-45.1441,0.46588,19.3264,0.086,0.00032
-41.882,-45.1341,0.50332,20.8647,0.0928,0.000346
-41.872,-45.1241,0.5324,22.0792,0.098,0.000366
-41.862,-45.1141,0.549,22.6882,0.1014,0.000378
-41.852,-45.1041,0.5574,23.0912,0.1024,0.000382
-41.842,-45.0941,0.549,22.6884,0.1012,0.000378
-41.832,-45.0841,0.5324,22.0787,0.098,0.000366
-41.822,-45.0741,0.5033,20.8638,0.0926,0.000346
-41.812,-45.0641,0.46588,19.3044,0.0858,0.00032
-41.802,-45.0541,0.42418,17.4812,0.0776,0.00029
-41.792,-45.0441,0.37394,15.4758,0.0688,0.000258
-41.782,-45.0341,0.32402,13.4099,0.0596,0.000222
-41.772,-45.0241,0.27454,11.3638,0.0504,0.0001888
-41.762,-45.0141,0.22754,9.41936,0.0418,0.0001566
-41.752,-45.0041,0.18468,7.63684,0.034,0.000127
-41.742,-44.9941,0.14642,6.05688,0.0268,0.0001008
-41.732,-44.9841,0.11356,4.69956,0.0208,7.82e-05
-41.722,-44.9741,0.08612,3.56532,0.01584,5.94e-05
-41.712,-44.9641,0.06406,2.65358,0.01176,4.4e-05
-41.702,-44.9541,0.046586,1.9244,0.00854,3.2e-05
-41.692,-44.9441,0.033028,1.36734,0.00606,2.28e-05
-41.682,-44.9341,0.022962,0.95006,0.00422,1.582e-05
-41.672,-44.9241,0.0156,0.646188,0.00286,1.076e-05
-41.662,-44.9141,0.010358,0.429456,0.001904,7.16e-06
-41.652,-44.9041,0.00674,0.279546,0.001238,4.66e-06
-41.642,-44.8941,0.0042852,0.177856,0.000788,2.96e-06
-41.632,-44.8841,0.0026708,0.110604,0.00049,1.844e-06
-41.622,-44.8741,0.0016266,0.0674556,0.000298,1.122e-06
-41.612,-44.8641,0.0009692,0.0401096,0.0001776,6.68e-07
-41.602,-44.8541,0.0005658,0.0232968,0.0001034,3.9e-07
-41.592,-44.8441,0.00032158,0.0133293,5.9e-05,2.22e-07
-41.582,-44.8341,0.0001793,0.00743436,3.28e-05,1.238e-07
-41.572,-44.8241,9.776e-05,0.00405144,1.792e-05,6.76e-08
-41.562,-44.8141,5.2e-05,0.00216745,9.56e-06,3.6e-08
-41.552,-44.8041,2.7208e-05,0.00112834,4.98e-06,1.88e-08
-41.542,-44.7941,1.3894e-05,0.000575324,2.54e-06,9.6e-09
-41.532,-44.7841,6.948e-06,0.000287652,1.27e-06,4.8e-09
-41.522,-44.7741,3.3824e-06,0.000140386,6.2e-07,2.34e-09
