# li3po4_mp-13725 total DOS (QE dos.x, degauss 0.007 Ry). VBM 2.892 / CBM 8.804 / gap 5.912 eV from fixed-occ nscf eigenvalues. DO NOT read the gap off this curve (smearing underestimates ~0.3 eV).
E_eV,E_minus_VBM_eV,DOS_states_per_eV,integrated_DOS_states
-39.768,-42.6599,0.002825,2.825e-05
-39.758,-42.6499,0.005253,8.078e-05
-39.748,-42.6399,0.009553,0.0001763
-39.738,-42.6299,0.017,0.0003463
-39.728,-42.6199,0.02958,0.000642
-39.718,-42.6099,0.05035,0.001145
-39.708,-42.5999,0.08383,0.001984
-39.698,-42.5899,0.1366,0.003349
-39.688,-42.5799,0.2176,0.005525
-39.678,-42.5699,0.3391,0.008916
-39.668,-42.5599,0.517,0.01409
-39.658,-42.5499,0.771,0.0218
-39.648,-42.5399,1.125,0.03304
-39.638,-42.5299,1.605,0.04909
-39.628,-42.5199,2.24,0.0715
-39.618,-42.5099,3.059,0.1021
-39.608,-42.4999,4.086,0.143
-39.598,-42.4899,5.339,0.1963
-39.588,-42.4799,6.823,0.2646
-39.578,-42.4699,8.53,0.3499
-39.568,-42.4599,10.43,0.4542
-39.558,-42.4499,12.48,0.579
-39.548,-42.4399,14.6,0.725
-39.538,-42.4299,16.71,0.8921
-39.528,-42.4199,18.71,1.079
-39.518,-42.4099,20.5,1.284
-39.508,-42.3999,21.96,1.504
-39.498,-42.3899,23.01,1.734
-39.488,-42.3799,23.59,1.97
-39.478,-42.3699,23.66,2.207
-39.468,-42.3599,23.21,2.439
-39.458,-42.3499,22.27,2.661
-39.448,-42.3399,20.91,2.87
-39.438,-42.3299,19.2,3.062
-39.428,-42.3199,17.26,3.235
-39.418,-42.3099,15.18,3.387
-39.408,-42.2999,13.08,3.518
-39.398,-42.2899,11.05,3.628
-39.388,-42.2799,9.176,3.72
-39.378,-42.2699,7.529,3.795
-39.368,-42.2599,6.159,3.857
-39.358,-42.2499,5.104,3.908
-39.348,-42.2399,4.396,3.952
-39.338,-42.2299,4.059,3.992
-39.328,-42.2199,4.118,4.033
-39.318,-42.2099,4.599,4.079
-39.308,-42.1999,5.53,4.135
-39.298,-42.1899,6.94,4.204
-39.288,-42.1799,8.851,4.293
-39.278,-42.1699,11.27,4.405
-39.268,-42.1599,14.2,4.547
-39.258,-42.1499,17.6,4.723
-39.248,-42.1399,21.39,4.937
-39.238,-42.1299,25.48,5.192
-39.228,-42.1199,29.7,5.489
-39.218,-42.1099,33.88,5.828
-39.208,-42.0999,37.82,6.206
-39.198,-42.0899,41.3,6.619
-39.188,-42.0799,44.13,7.06
-39.178,-42.0699,46.12,7.522
-39.168,-42.0599,47.16,7.993
-39.158,-42.0499,47.17,8.465
-39.148,-42.0399,46.16,8.927
-39.138,-42.0299,44.19,9.369
-39.128,-42.0199,41.39,9.782
-39.118,-42.0099,37.92,10.16
-39.108,-41.9999,33.99,10.5
-39.098,-41.9899,29.8,10.8
-39.088,-41.9799,25.56,11.06
-39.078,-41.9699,21.45,11.27
-39.068,-41.9599,17.61,11.45
-39.058,-41.9499,14.14,11.59
-39.048,-41.9399,11.11,11.7
-39.038,-41.9299,8.539,11.78
-39.028,-41.9199,6.42,11.85
-39.018,-41.9099,4.722,11.9
-39.008,-41.8999,3.398,11.93
-38.998,-41.8899,2.392,11.95
-38.988,-41.8799,1.647,11.97
-38.978,-41.8699,1.11,11.98
-38.968,-41.8599,0.7313,11.99
-38.958,-41.8499,0.4715,11.99
-38.948,-41.8399,0.2974,12
-38.938,-41.8299,0.1835,12
-38.928,-41.8199,0.1108,12
-38.918,-41.8099,0.06541,12
-38.908,-41.7999,0.03779,12
-38.898,-41.7899,0.02135,12
-38.888,-41.7799,0.01181,12
-38.878,-41.7699,0.006385,12
-38.868,-41.7599,0.003378,12
-38.858,-41.7499,0.001749,12
-38.848,-41.7399,0.0008854,12
-38.838,-41.7299,0.0004386,12
-38.828,-41.7199,0.0002125,12
-38.818,-41.7099,0.0001008,12
-38.808,-41.6999,4.673e-05,12
-38.798,-41.6899,2.12e-05,12
-38.788,-41.6799,9.409e-06,12
-38.778,-41.6699,4.085e-06,12
-38.768,-41.6599,1.735e-06,12
-38.758,-41.6499,7.211e-07,12
-38.748,-41.6399,2.931e-07,12
-38.738,-41.6299,1.166e-07,12
-38.728,-41.6199,4.535e-08,12
-38.718,-41.6099,1.726e-08,12
-38.708,-41.5999,6.425e-09,12
-38.698,-41.5899,2.34e-09,12
-38.688,-41.5799,8.338e-10,12
-38.678,-41.5699,2.906e-10,12
-38.668,-41.5599,9.911e-11,12
-38.658,-41.5499,3.306e-11,12
-38.648,-41.5399,1.079e-11,12
-38.638,-41.5299,3.444e-12,12
-38.628,-41.5199,1.076e-12,12
-38.618,-41.5099,3.286e-13,12
-38.608,-41.4999,9.822e-14,12
-38.598,-41.4899,2.872e-14,12
-38.588,-41.4799,8.214e-15,12
-38.578,-41.4699,2.298e-15,12
-38.568,-41.4599,6.291e-16,12
-38.558,-41.4499,1.685e-16,12
-38.548,-41.4399,4.414e-17,12
-38.538,-41.4299,1.131e-17,12
-38.528,-41.4199,2.836e-18,12
-38.518,-41.4099,6.954e-19,12
-38.508,-41.3999,1.669e-19,12
-38.498,-41.3899,3.916e-20,12
-38.488,-41.3799,8.992e-21,12
-38.478,-41.3699,2.02e-21,12
-38.468,-41.3599,4.438e-22,12
-38.458,-41.3499,9.54e-23,12
-38.448,-41.3399,2.006e-23,12
-38.438,-41.3299,4.127e-24,12
-38.428,-41.3199,8.306e-25,12
-38.418,-41.3099,1.635e-25,12
-38.408,-41.2999,3.149e-26,12
-38.398,-41.2899,5.933e-27,12
-38.388,-41.2799,1.094e-27,12
-38.378,-41.2699,1.972e-28,12
-38.368,-41.2599,3.478e-29,12
-38.358,-41.2499,6.001e-30,12
-38.348,-41.2399,1.013e-30,12
-38.338,-41.2299,1.673e-31,12
-38.328,-41.2199,2.702e-32,12
-38.318,-41.2099,4.27e-33,12
-38.308,-41.1999,6.602e-34,12
-38.298,-41.1899,9.984e-35,12
-38.288,-41.1799,1.477e-35,12
-38.278,-41.1699,2.138e-36,12
-38.268,-41.1599,3.027e-37,12
-38.258,-41.1499,4.192e-38,12
-38.248,-41.1399,5.68e-39,12
-38.238,-41.1299,7.528e-40,12
-38.228,-41.1199,9.762e-41,12
-38.218,-41.1099,1.238e-41,12
-38.208,-41.0999,1.536e-42,12
-38.198,-41.0899,1.865e-43,12
-38.188,-41.0799,2.215e-44,12
-38.178,-41.0699,2.573e-45,12
-38.168,-41.0599,2.924e-46,12
-38.158,-41.0499,3.251e-47,12
-38.148,-41.0399,3.535e-48,12
-38.138,-41.0299,3.761e-49,12
-38.128,-41.0199,3.914e-50,12
-38.118,-41.0099,3.985e-51,12
-38.108,-40.9999,3.969e-52,12
-38.098,-40.9899,3.867e-53,12
-38.088,-40.9799,3.686e-54,12
-38.078,-40.9699,3.437e-55,12
-38.068,-40.9599,3.135e-56,12
-38.058,-40.9499,2.797e-57,12
-38.048,-40.9399,2.441e-58,12
-38.038,-40.9299,2.085e-59,12
-38.028,-40.9199,1.741e-60,12
-38.018,-40.9099,1.423e-61,12
-38.008,-40.8999,1.137e-62,12
-37.998,-40.8899,8.895e-64,12
-37.988,-40.8799,6.804e-65,12
-37.978,-40.8699,5.092e-66,12
-37.968,-40.8599,3.728e-67,12
-37.958,-40.8499,2.669e-68,12
-37.948,-40.8399,1.87e-69,12
-37.938,-40.8299,1.282e-70,12
-37.928,-40.8199,8.592e-72,12
-37.918,-40.8099,5.635e-73,12
-37.908,-40.7999,3.615e-74,12
-37.898,-40.7899,2.269e-75,12
-37.888,-40.7799,1.393e-76,12
-37.878,-40.7699,8.367e-78,12
-37.868,-40.7599,4.916e-79,12
