# li3po4_mp-13725 PDOS summed by element+orbital (QE projwfc.x). Columns are states/eV. VBM 2.892 eV. Gap is the fixed-occ nscf value (5.912 eV), not a DOS threshold.
E_eV,E_minus_VBM_eV,Li_p,Li_s,O_p,O_s,P_p,P_s
-39.768,-42.6599,5.6729e-05,0.002752,1.302e-05,5.812e-07,1.835e-06,1.081e-07
-39.758,-42.6499,0.00010519,0.00512094,2.422e-05,1.0808e-06,3.41e-06,2.01e-07
-39.748,-42.6399,0.00019132,0.0093043,4.407e-05,1.966e-06,6.2e-06,3.66e-07
-39.738,-42.6299,0.0003404,0.0165621,7.833e-05,3.497e-06,1.103e-05,6.51e-07
-39.728,-42.6199,0.0005922,0.0288302,0.0001365,6.087e-06,1.921e-05,1.133e-06
-39.718,-42.6099,0.0010063,0.0490916,0.0002322,1.0358e-05,3.27e-05,1.928e-06
-39.708,-42.5999,0.0016772,0.0816523,0.0003868,1.726e-05,5.44e-05,3.21e-06
-39.698,-42.5899,0.0027332,0.133063,0.0006299,2.811e-05,8.87e-05,5.23e-06
-39.688,-42.5799,0.0043484,0.211691,0.001004,4.481e-05,0.0001413,8.33e-06
-39.678,-42.5699,0.006791,0.330636,0.001564,6.99e-05,0.00022,1.299e-05
-39.668,-42.5599,0.010353,0.50302,0.002385,0.00010652,0.000336,1.981e-05
-39.658,-42.5499,0.015445,0.750987,0.003557,0.0001588,0.0005,2.96e-05
-39.648,-42.5399,0.022527,1.09674,0.005188,0.0002318,0.00073,4.31e-05
-39.638,-42.5299,0.032134,1.56346,0.0074,0.0003308,0.001042,6.15e-05
-39.628,-42.5199,0.044726,2.1774,0.01033,0.0004616,0.001455,8.58e-05
-39.618,-42.5099,0.06128,2.98378,0.01411,0.0006302,0.001987,0.0001172
-39.608,-42.4999,0.08198,3.98175,0.01886,0.0008414,0.00266,0.0001565
-39.598,-42.4899,0.10684,5.20142,0.02462,0.0010998,0.00346,0.000204
-39.588,-42.4799,0.13665,6.64298,0.03147,0.001407,0.00443,0.000262
-39.578,-42.4699,0.17101,8.31618,0.03936,0.001758,0.00554,0.000326
-39.568,-42.4599,0.2091,10.171,0.04812,0.002151,0.00678,0.0004
-39.558,-42.4499,0.25009,12.1668,0.05757,0.002573,0.0081,0.000478
-39.548,-42.4399,0.29234,14.2235,0.06732,0.003012,0.00948,0.00056
-39.538,-42.4299,0.33497,16.2798,0.07713,0.003448,0.01086,0.00064
-39.528,-42.4199,0.37473,18.2351,0.08642,0.003861,0.01216,0.000718
-39.518,-42.4099,0.41074,19.9689,0.0944,0.004227,0.01331,0.000786
-39.508,-42.3999,0.43894,21.3706,0.1014,0.00453,0.01426,0.000842
-39.498,-42.3899,0.45966,22.3788,0.1062,0.00475,0.01494,0.000882
-39.488,-42.3799,0.47204,22.9834,0.1088,0.00487,0.01532,0.000904
-39.478,-42.3699,0.4721,22.9844,0.1092,0.004884,0.01536,0.000906
-39.468,-42.3599,0.4638,22.5816,0.107,0.004792,0.01508,0.00089
-39.458,-42.3499,0.44717,21.776,0.1027,0.004598,0.01446,0.000854
-39.448,-42.3399,0.41827,20.3681,0.0964,0.004317,0.01358,0.000802
-39.438,-42.3299,0.38476,18.7101,0.08862,0.003967,0.01248,0.000736
-39.428,-42.3199,0.34593,16.8241,0.07973,0.003565,0.01121,0.000662
-39.418,-42.3099,0.30428,14.7837,0.07001,0.00314,0.00986,0.000582
-39.408,-42.2999,0.26192,12.7432,0.0604,0.002709,0.0085,0.0005
-39.398,-42.2899,0.22138,10.7609,0.0511,0.002294,0.00718,0.000422
-39.388,-42.2799,0.184,8.93572,0.04253,0.001916,0.00598,0.00035
-39.378,-42.2699,0.15117,7.33134,0.03504,0.001586,0.00492,0.000285
-39.368,-42.2599,0.1235,6.00762,0.02888,0.001323,0.00404,0.00023
-39.358,-42.2499,0.10244,4.9656,0.02428,0.001132,0.00338,0.0001868
-39.348,-42.2399,0.08833,4.28222,0.02138,0.001024,0.00296,0.000155
-39.338,-42.2299,0.08155,3.9535,0.0204,0.001014,0.00278,0.0001354
-39.328,-42.2199,0.083,4.01065,0.02145,0.001103,0.00288,0.0001284
-39.318,-42.2099,0.0922,4.4779,0.02471,0.001304,0.00328,0.0001342
-39.308,-42.1999,0.1108,5.38339,0.03042,0.001635,0.00398,0.0001531
-39.298,-42.1899,0.1386,6.76539,0.03876,0.002104,0.00502,0.0001854
-39.288,-42.1799,0.176,8.6111,0.04987,0.002716,0.0064,0.000232
-39.278,-42.1699,0.223,10.9794,0.06387,0.003485,0.00814,0.000292
-39.268,-42.1599,0.2802,13.8348,0.08074,0.004402,0.01022,0.000364
-39.258,-42.1499,0.3456,17.1235,0.1003,0.005457,0.01262,0.000448
-39.248,-42.1399,0.4184,20.8361,0.1223,0.006633,0.01528,0.000542
-39.238,-42.1299,0.4972,24.8045,0.146,0.007903,0.0181,0.000644
-39.228,-42.1199,0.5772,28.9231,0.1705,0.009224,0.021,0.000748
-39.218,-42.1099,0.6568,33.0073,0.1946,0.01048,0.0238,0.000852
-39.208,-42.0999,0.7296,36.8331,0.2176,0.0117,0.0266,0.000948
-39.198,-42.0899,0.794,40.2178,0.2384,0.01274,0.0288,0.001032
-39.188,-42.0799,0.842,43.1388,0.2548,0.01362,0.0306,0.001098
-39.178,-42.0699,0.88,44.7545,0.2668,0.01424,0.0318,0.001144
-39.168,-42.0599,0.896,45.9632,0.2733,0.01452,0.0324,0.001166
-39.158,-42.0499,0.894,45.9643,0.274,0.01454,0.0324,0.001164
-39.148,-42.0399,0.87,45.1574,0.2684,0.0142,0.0314,0.001134
-39.138,-42.0299,0.83,43.1431,0.2573,0.01358,0.03,0.001084
-39.128,-42.0199,0.7744,40.3225,0.2415,0.0127,0.028,0.001011
-39.118,-42.0099,0.7068,36.9565,0.2216,0.01162,0.0254,0.000924
-39.108,-41.9999,0.6308,33.1265,0.1988,0.01038,0.0228,0.000824
-39.098,-41.9899,0.5512,29.0544,0.1748,0.009118,0.01982,0.00072
-39.088,-41.9799,0.4708,24.9018,0.1502,0.007809,0.01692,0.000616
-39.078,-41.9699,0.3928,20.9099,0.1263,0.006548,0.01412,0.000516
-39.068,-41.9599,0.3212,17.1599,0.1036,0.005369,0.01154,0.000422
-39.058,-41.9499,0.2572,13.7926,0.08342,0.004307,0.00922,0.000338
-39.048,-41.9399,0.201,10.829,0.06567,0.003379,0.0072,0.000264
-39.038,-41.9299,0.154,8.32852,0.05056,0.002596,0.00552,0.000202
-39.028,-41.9199,0.1152,6.25173,0.03808,0.001949,0.00412,0.0001516
-39.018,-41.9099,0.0844,4.59814,0.02802,0.00143,0.00302,0.0001111
-39.008,-41.8999,0.06048,3.31553,0.0202,0.001031,0.00216,7.96e-05
-38.998,-41.8899,0.04232,2.33344,0.01425,0.0007231,0.001512,5.58e-05
-38.988,-41.8799,0.02906,1.60743,0.00983,0.0004976,0.001036,3.84e-05
-38.978,-41.8699,0.0195,1.08308,0.006631,0.0003346,0.000694,2.58e-05
-38.968,-41.8599,0.0128,0.714012,0.004377,0.0002204,0.000456,1.689e-05
-38.958,-41.8499,0.00822,0.459888,0.002824,0.000142,0.000292,1.084e-05
-38.948,-41.8399,0.005152,0.290259,0.001782,8.928e-05,0.0001832,6.82e-06
-38.938,-41.8299,0.003172,0.179122,0.001102,5.505e-05,0.0001124,4.18e-06
-38.928,-41.8199,0.001904,0.107923,0.0006667,3.321e-05,6.75e-05,2.52e-06
-38.918,-41.8099,0.00112,0.0639466,0.0003943,1.959e-05,3.96e-05,1.481e-06
-38.908,-41.7999,0.0006438,0.0368769,0.0002282,1.128e-05,2.28e-05,8.52e-07
-38.898,-41.7899,0.0003624,0.0208396,0.000129,6.372e-06,1.28e-05,4.8e-07
-38.888,-41.7799,0.0001996,0.0115195,7.151e-05,3.518e-06,7.04e-06,2.64e-07
-38.878,-41.7699,0.0001074,0.00623408,3.872e-05,1.901e-06,3.78e-06,1.423e-07
-38.868,-41.7599,5.668e-05,0.00329671,2.052e-05,1.0025e-06,1.993e-06,7.5e-08
-38.858,-41.7499,2.916e-05,0.0017069,1.062e-05,5.187e-07,1.026e-06,3.86e-08
-38.848,-41.7399,1.47e-05,0.000865581,5.392e-06,2.622e-07,5.16e-07,1.949e-08
-38.838,-41.7299,7.256e-06,0.000427765,2.673e-06,1.297e-07,2.54e-07,9.62e-09
-38.828,-41.7199,3.498e-06,0.000207632,1.297e-06,6.277e-08,1.226e-07,4.64e-09
-38.818,-41.7099,1.65e-06,9.8471e-05,6.164e-07,2.969e-08,5.78e-08,2.19e-09
-38.808,-41.6999,7.616e-07,4.56055e-05,2.862e-07,1.375e-08,2.66e-08,1.012e-09
-38.798,-41.6899,3.442e-07,2.07248e-05,1.3e-07,6.233e-09,1.203e-08,4.57e-10
-38.788,-41.6799,1.522e-07,9.18206e-06,5.779e-08,2.76e-09,5.31e-09,2.02e-10
-38.778,-41.6699,6.564e-08,3.99181e-06,2.512e-08,1.196e-09,2.3e-09,8.73e-11
-38.768,-41.6599,2.778e-08,1.69526e-06,1.068e-08,5.077e-10,9.68e-10,3.69e-11
-38.758,-41.6499,1.148e-08,7.04371e-07,4.445e-09,2.105e-10,4e-10,1.527e-11
-38.748,-41.6399,4.656e-09,2.86396e-07,1.809e-09,8.545e-11,1.617e-10,6.18e-12
-38.738,-41.6299,1.84e-09,1.13835e-07,7.202e-10,3.393e-11,6.4e-11,2.44e-12
-38.728,-41.6199,7.128e-10,4.42043e-08,2.807e-10,1.319e-11,2.48e-11,9.48e-13
-38.718,-41.6099,2.7e-10,1.68544e-08,1.07e-10,5.006e-12,9.36e-12,3.59e-13
-38.708,-41.5999,1e-10,6.27775e-09,3.988e-11,1.86e-12,3.46e-12,1.331e-13
-38.698,-41.5899,3.627e-11,2.28706e-09,1.456e-11,6.763e-13,1.254e-12,4.82e-14
-38.688,-41.5799,1.286e-11,8.15524e-10,5.19e-12,2.405e-13,4.44e-13,1.711e-14
-38.678,-41.5699,2.114e-12,1.96172e-10,1.349e-12,5.531e-14,6.57e-14,2.64e-15
-38.668,-41.5599,0,0,0,0,0,0
-38.658,-41.5499,0,0,0,0,0,0
-38.648,-41.5399,0,0,0,0,0,0
-38.638,-41.5299,0,0,0,0,0,0
-38.628,-41.5199,0,0,0,0,0,0
-38.618,-41.5099,0,0,0,0,0,0
-38.608,-41.4999,0,0,0,0,0,0
-38.598,-41.4899,0,0,0,0,0,0
-38.588,-41.4799,0,0,0,0,0,0
-38.578,-41.4699,0,0,0,0,0,0
-38.568,-41.4599,0,0,0,0,0,0
-38.558,-41.4499,0,0,0,0,0,0
-38.548,-41.4399,0,0,0,0,0,0
-38.538,-41.4299,0,0,0,0,0,0
-38.528,-41.4199,0,0,0,0,0,0
-38.518,-41.4099,0,0,0,0,0,0
-38.508,-41.3999,0,0,0,0,0,0
-38.498,-41.3899,0,0,0,0,0,0
-38.488,-41.3799,0,0,0,0,0,0
-38.478,-41.3699,0,0,0,0,0,0
-38.468,-41.3599,0,0,0,0,0,0
-38.458,-41.3499,0,0,0,0,0,0
-38.448,-41.3399,0,0,0,0,0,0
-38.438,-41.3299,0,0,0,0,0,0
-38.428,-41.3199,0,0,0,0,0,0
-38.418,-41.3099,0,0,0,0,0,0
-38.408,-41.2999,0,0,0,0,0,0
