# licl_mp-22905 total DOS (QE dos.x, degauss 0.007 Ry). VBM 1.576 / CBM 7.836 / gap 6.260 eV from fixed-occ nscf eigenvalues. DO NOT read the gap off this curve (smearing underestimates ~0.3 eV).
E_eV,E_minus_VBM_eV,DOS_states_per_eV,integrated_DOS_states
-42.208,-43.7836,0.004984,4.984e-05
-42.198,-43.7736,0.009307,0.0001429
-42.188,-43.7636,0.017,0.0003129
-42.178,-43.7536,0.03038,0.0006167
-42.168,-43.7436,0.05309,0.001148
-42.158,-43.7336,0.09077,0.002055
-42.148,-43.7236,0.1518,0.003573
-42.138,-43.7136,0.2483,0.006057
-42.128,-43.7036,0.3974,0.01003
-42.118,-43.6936,0.6221,0.01625
-42.108,-43.6836,0.9526,0.02578
-42.098,-43.6736,1.427,0.04004
-42.088,-43.6636,2.091,0.06095
-42.078,-43.6536,2.996,0.09091
-42.068,-43.6436,4.201,0.1329
-42.058,-43.6336,5.761,0.1905
-42.048,-43.6236,7.728,0.2678
-42.038,-43.6136,10.14,0.3692
-42.028,-43.6036,13.02,0.4994
-42.018,-43.5936,16.35,0.6629
-42.008,-43.5836,20.08,0.8637
-41.998,-43.5736,24.12,1.105
-41.988,-43.5636,28.35,1.388
-41.978,-43.5536,32.6,1.714
-41.968,-43.5436,36.66,2.081
-41.958,-43.5336,40.33,2.484
-41.948,-43.5236,43.39,2.918
-41.938,-43.5136,45.68,3.375
-41.928,-43.5036,47.03,3.845
-41.918,-43.4936,47.37,4.319
-41.908,-43.4836,46.67,4.786
-41.898,-43.4736,44.98,5.236
-41.888,-43.4636,42.41,5.66
-41.878,-43.4536,39.11,6.051
-41.868,-43.4436,35.28,6.404
-41.858,-43.4336,31.13,6.715
-41.848,-43.4236,26.87,6.984
-41.838,-43.4136,22.69,7.21
-41.828,-43.4036,18.74,7.398
-41.818,-43.3936,15.14,7.549
-41.808,-43.3836,11.97,7.669
-41.798,-43.3736,9.251,7.761
-41.788,-43.3636,6.996,7.831
-41.778,-43.3536,5.175,7.883
-41.768,-43.3436,3.745,7.921
-41.758,-43.3336,2.651,7.947
-41.748,-43.3236,1.835,7.965
-41.738,-43.3136,1.243,7.978
-41.728,-43.3036,0.8235,7.986
-41.718,-43.2936,0.5337,7.991
-41.708,-43.2836,0.3384,7.995
-41.698,-43.2736,0.2098,7.997
-41.688,-43.2636,0.1273,7.998
-41.678,-43.2536,0.07552,7.999
-41.668,-43.2436,0.04384,7.999
-41.658,-43.2336,0.02489,8
-41.648,-43.2236,0.01382,8
-41.638,-43.2136,0.00751,8
-41.628,-43.2036,0.003991,8
-41.618,-43.1936,0.002075,8
-41.608,-43.1836,0.001055,8
