# Interpolated MEP from QE neb.x <case>.int (251 pts). E relative to initial image [eV].
# NOT cell-converged — see db/properties/sei_neb.json (citable=false, cell_convergence_status=untested).
reaction_coord,E_eV__li2s,E_eV__li3nd_ccc,E_eV__li3nd_ccb
0.000000,0.000000,0.000000,0.000000
0.004000,0.000061,0.000097,0.000102
0.008000,0.000243,0.000385,0.000401
0.012000,0.000543,0.000860,0.000891
0.016000,0.000960,0.001517,0.001564
0.020000,0.001493,0.002351,0.002410
0.024000,0.002139,0.003358,0.003424
0.028000,0.002895,0.004533,0.004595
0.032000,0.003762,0.005871,0.005918
0.036000,0.004736,0.007368,0.007383
0.040000,0.005815,0.009020,0.008984
0.044000,0.006998,0.010821,0.010711
0.048000,0.008283,0.012767,0.012558
0.052000,0.009668,0.014854,0.014515
0.056000,0.011152,0.017076,0.016576
0.060000,0.012731,0.019430,0.018733
0.064000,0.014405,0.021910,0.020977
0.068000,0.016171,0.024512,0.023301
0.072000,0.018028,0.027231,0.025696
0.076000,0.019974,0.030064,0.028156
0.080000,0.022006,0.033004,0.030671
0.084000,0.024124,0.036048,0.033234
0.088000,0.026324,0.039190,0.035838
0.092000,0.028606,0.042427,0.038474
0.096000,0.030967,0.045754,0.041134
0.100000,0.033405,0.049165,0.043811
0.104000,0.035919,0.052657,0.046497
0.108000,0.038507,0.056225,0.049183
0.112000,0.041166,0.059864,0.051862
0.116000,0.043896,0.063570,0.054525
0.120000,0.046693,0.067338,0.057166
0.124000,0.049557,0.071163,0.059776
0.128000,0.052485,0.075040,0.062348
0.132000,0.055475,0.078966,0.064872
0.136000,0.058525,0.082936,0.067342
0.140000,0.061635,0.086944,0.069750
0.144000,0.064801,0.090986,0.072087
0.148000,0.068022,0.095059,0.074346
0.152000,0.071296,0.099156,0.076519
0.156000,0.074621,0.103274,0.078597
0.160000,0.077995,0.107407,0.080574
0.164000,0.081417,0.111552,0.082441
0.168000,0.084884,0.115704,0.084190
0.172000,0.088394,0.119857,0.085814
0.176000,0.091947,0.124008,0.087304
0.180000,0.095539,0.128152,0.088653
0.184000,0.099169,0.132283,0.089852
0.188000,0.102835,0.136399,0.090868
0.192000,0.106536,0.140493,0.091379
0.196000,0.110268,0.144506,0.091302
0.200000,0.114024,0.148396,0.090646
0.204000,0.117792,0.152164,0.089424
0.208000,0.121571,0.155813,0.087645
0.212000,0.125360,0.159345,0.085320
0.216000,0.129155,0.162763,0.082460
0.220000,0.132956,0.166069,0.079077
0.224000,0.136761,0.169267,0.075179
0.228000,0.140567,0.172359,0.070779
0.232000,0.144373,0.175346,0.065887
0.236000,0.148176,0.178232,0.060513
0.240000,0.151975,0.181020,0.054669
0.244000,0.155768,0.183711,0.048366
0.248000,0.159553,0.186309,0.041613
0.252000,0.163328,0.188816,0.034421
0.256000,0.167091,0.191234,0.026802
0.260000,0.170840,0.193567,0.018767
0.264000,0.174574,0.195816,0.010325
0.268000,0.178290,0.197984,0.001487
0.272000,0.181987,0.200074,-0.007735
0.276000,0.185662,0.202088,-0.017331
0.280000,0.189314,0.204029,-0.027291
0.284000,0.192940,0.205900,-0.037602
0.288000,0.196539,0.207702,-0.048256
0.292000,0.200110,0.209440,-0.059241
0.296000,0.203649,0.211114,-0.070546
0.300000,0.207155,0.212727,-0.082160
0.304000,0.210627,0.214283,-0.094074
0.308000,0.214062,0.215784,-0.106275
0.312000,0.217458,0.217232,-0.118754
0.316000,0.220814,0.218630,-0.131500
0.320000,0.224127,0.219980,-0.144501
0.324000,0.227396,0.221286,-0.157748
0.328000,0.230618,0.222548,-0.171229
0.332000,0.233793,0.223771,-0.184934
0.336000,0.236917,0.224957,-0.198852
0.340000,0.239989,0.226107,-0.212972
0.344000,0.243008,0.227226,-0.227283
0.348000,0.245970,0.228315,-0.241775
0.352000,0.248875,0.229362,-0.256438
0.356000,0.251720,0.230253,-0.271260
0.360000,0.254502,0.230970,-0.286230
0.364000,0.257218,0.231521,-0.301338
0.368000,0.259867,0.231915,-0.316573
0.372000,0.262447,0.232160,-0.331925
0.376000,0.264959,0.232264,-0.347377
0.380000,0.267401,0.232237,-0.362375
0.384000,0.269773,0.232086,-0.376547
0.388000,0.272074,0.231819,-0.389894
0.392000,0.274304,0.231446,-0.402414
0.396000,0.276461,0.230975,-0.414107
0.400000,0.278546,0.230414,-0.424972
0.404000,0.280557,0.229771,-0.435008
