"# Slide: Step 3 - volume change vs relative energy, one row per structure.",,,
# dV_pct = |screen_dV_over_V0| x 100.  dE_per_atom = screen_de_per_atom.,,,
# ** dE compares structures INSIDE this screen only ** - not a formation energy or hull distance.,,,
"# group: 'carried_forward' if dV_pct <= 25, else 'dropped'.",,,
# In Origin: plot dE vs dV as two scatter series split by the group column.,,,
dV_pct,dE_per_atom,group,dopant
0.000,0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,Li2S
0.000,-0.0000,carried_forward,LiCl
0.000,0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,LiCl
0.000,0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,LiCl
0.000,0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,LiCl
0.000,0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,Li2S
0.000,-0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,LiCl
0.000,0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,LiCl
0.000,0.0000,carried_forward,LiCl
0.000,0.0000,carried_forward,LiCl
0.000,0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,LiCl
0.000,0.0000,carried_forward,LiCl
0.000,0.0000,carried_forward,LiCl
0.000,0.0000,carried_forward,LiCl
0.000,0.0000,carried_forward,LiCl
0.000,0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,Li2S
0.000,-0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,LiCl
0.000,0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,LiCl
0.000,-0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,Li2S
0.000,-0.0000,carried_forward,LiCl
0.000,-0.0000,carried_forward,LiCl
0.000,0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,LiCl
0.000,0.0000,carried_forward,LiCl
0.000,0.0000,carried_forward,LiCl
0.000,0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,Li2S
0.000,-0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,LiCl
0.000,-0.0000,carried_forward,LiCl
0.000,0.0000,carried_forward,LiCl
0.000,-0.0000,carried_forward,Li2S
0.000,-0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,LiCl
0.000,0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,Li2S
0.000,-0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,LiCl
0.000,0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,Li2S
0.000,-0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,LiCl
0.000,0.0000,carried_forward,Li2S
0.000,-0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,Li2S
0.000,0.0000,carried_forward,Li2S
0.000,-0.0000,carried_forward,Li2S
