# Step 8 - electrochemical stability window (seminar 2026-08).
# Grand-potential window on the MP GGA/GGA+U hull - NOT our DFT and NOT the
#   screening MLIP. Third engine in this deck; quote the engine with the number.
# The cascade's own stage 09f is NOT a real ESW (see cascade_pipeline_anatomy).
# Undoped host oxidation onset = 2.140 V for all 84 phase sets.
# window_V = ox_V - red_V. Minimum over 90 species is 0.004 V, so NO species
#   reaches zero - 'loses the window entirely' would be an overstatement.
# narrow_flag = window <= 0.05 V (5 species, all 3d metals Mn..Ni).
dopant,chemical_group,anion,red_V,ox_V,window_V,narrow_flag
MnO,TM,,1.755,1.794,0.039,narrow
Fe2O3,TM,,1.804,1.808,0.004,narrow
FeCl3,TM,,1.804,1.808,0.004,narrow
NiO,TM,,1.816,1.838,0.022,narrow
CoO,TM,,1.861,1.873,0.012,narrow
AlBr3,main-group,,1.372,1.717,0.345,
GaCl3,main-group,,1.578,1.717,0.139,
NbCl5,TM,,1.610,1.717,0.107,
TaCl5,TM,,1.590,1.717,0.127,
Cu2O,TM,,1.751,1.864,0.113,
ZrBr4,TM,,1.713,1.878,0.165,
ZrCl4,TM,,1.713,1.878,0.165,
ZrF4,TM,,1.713,1.878,0.165,
ZrO2,TM,,1.713,1.878,0.165,
La2O3,lanthanide,,1.523,1.893,0.370,
LaCl3,lanthanide,,1.475,1.893,0.418,
LaF3,lanthanide,,1.475,1.893,0.418,
Nd2O3,lanthanide,,1.518,1.920,0.402,
NdCl3,lanthanide,,1.518,1.920,0.402,
NdF3,lanthanide,,1.518,1.920,0.402,
Sb2S3,main-group,,1.777,1.957,0.180,
HfCl4,TM,,1.515,1.977,0.462,
Sm2O3,lanthanide,,1.488,1.989,0.501,
SmCl3,lanthanide,,1.488,1.989,0.501,
HfO2,TM,,1.242,1.996,0.754,
TiCl4,TM,,1.717,2.024,0.307,
TiF4,TM,,1.717,2.024,0.307,
TiO2,TM,,1.717,2.024,0.307,
Ta2O5,TM,,1.717,2.027,0.310,
V2O5,TM,,1.736,2.042,0.306,
Na2O,alkali,,1.717,2.060,0.343,
Na2S,alkali,,1.717,2.060,0.343,
SrCl2,alk.earth,,1.717,2.060,0.343,
SrO,alk.earth,,1.717,2.060,0.343,
Nb2O5,TM,,1.738,2.061,0.323,
BaCl2,alk.earth,,1.717,2.071,0.354,
BaO,alk.earth,,1.717,2.071,0.354,
AlN,main-group,,1.717,2.091,0.374,
Ca3N2,alk.earth,,1.717,2.091,0.374,
GaN,main-group,,1.717,2.091,0.374,
Li3N,alkali,,1.717,2.091,0.374,
NaI,alkali,,1.242,2.092,0.850,
Mg3N2,alk.earth,,1.717,2.108,0.391,
Gd2O3,lanthanide,,1.398,2.118,0.720,
Ag2O,TM,,1.723,2.140,0.417,
Al2O3,main-group,,1.372,2.140,0.768,
AlCl3,main-group,,1.372,2.140,0.768,
AlF3,main-group,,1.372,2.140,0.768,
AlI3,main-group,,1.372,2.140,0.768,
CaBr2,alk.earth,,1.242,2.140,0.898,
CaCl2,alk.earth,,1.242,2.140,0.898,
CaF2,alk.earth,,1.242,2.140,0.898,
CaO,alk.earth,,1.242,2.140,0.898,
CaS,alk.earth,,1.242,2.140,0.898,
CrCl3,TM,,1.053,2.140,1.087,
CrO3,TM,,1.729,2.140,0.411,
GeO2,main-group,,1.622,2.140,0.518,
GeS2,main-group,,1.622,2.140,0.518,
Li2O,alkali,,1.242,2.140,0.898,
Li2S,alkali,,1.242,2.140,0.898,
LiBr,alkali,,1.242,2.140,0.898,
LiCl,alkali,,1.242,2.140,0.898,
LiF,alkali,,1.242,2.140,0.898,
LiI,alkali,,1.242,2.140,0.898,
MgBr2,alk.earth,,1.343,2.140,0.797,
MgCl2,alk.earth,,1.343,2.140,0.797,
MgF2,alk.earth,,1.343,2.140,0.797,
MgI2,alk.earth,,1.343,2.140,0.797,
MgO,alk.earth,,1.405,2.140,0.735,
MgS,alk.earth,,1.343,2.140,0.797,
MoO3,TM,,1.726,2.140,0.414,
Sb2O5,main-group,,1.777,2.140,0.363,
ScCl3,TM,,1.306,2.140,0.834,
ScF3,TM,,1.306,2.140,0.834,
SiO2,main-group,,1.414,2.140,0.726,
SiS2,main-group,,1.717,2.140,0.423,
SnO2,main-group,,1.717,2.140,0.423,
SnS2,main-group,,1.717,2.140,0.423,
WO3,TM,,1.717,2.140,0.423,
YCl3,TM,,1.292,2.140,0.848,
YF3,TM,,1.292,2.140,0.848,
ZnO,TM,,1.565,2.140,0.575,
Y2O3,TM,,1.391,2.282,0.891,
B2O3,main-group,,2.043,2.317,0.274,
Al2S3,main-group,,1.372,2.356,0.984,
Cr2O3,TM,,1.723,2.356,0.633,
Ga2O3,main-group,,1.578,2.356,0.778,
Ga2S3,main-group,,1.578,2.356,0.778,
In2O3,main-group,,1.565,2.356,0.791,
Sc2O3,TM,,1.386,2.356,0.970,
