# Step 1 site preference. Source: db/properties/site_preference_raw_78.csv (78 systems).
# ** The three points per element are three DOPING LEVELS (labels x002 / x005 / x010), NOT repeat runs. **
#   The old slide caption said 'spread across our three runs' - that was wrong (fixed 2026-08-18).
# ** DO NOT read the labels as x = 0.02 / 0.05 / 0.10. ** They are folder labels, not the actual
#   loading. Measured for one case (kb/results/site_preference_findings_2026_06_19.md):
#   Y2O3_x005 = 2 Y in a 47-atom cell = 4.3 at% of the cell = 33% of the P sites.
#   A DIFFERENT campaign (cascade multi_category_v23) reused the same x002/x005/x010 labels while
#   actual_x was 0.25 for all three - that series was voided (hard_dopant_handling_protocol.md).
#   This one is NOT that: 25 of 26 elements give three DISTINCT dE values (median spread 1.53 eV),
#   so the three points really are three different loadings.
#   So a bar crossing zero is not scatter: the preferred site actually changes with x.
# dE = [E(M@P) - E(M@Li)] / n_dopant.  dE<0 -> P framework, dE>0 -> Li site.
# unconverged_x lists doping levels whose relaxation did not converge (kept in the plot, flagged here).
element,radius_A,valence,n_x,dE_x002,dE_x005,dE_x010,dE_mean,verdict,sites_seen,unconverged_x
B,0.27,3,3,0.76,-0.413,-0.213,0.045,changes with x,Li|P,
Si,0.4,4,3,-0.58,-0.332,-1.925,-0.946,P framework,P,
Ge,0.53,4,3,-1.301,-0.797,0.023,-0.692,changes with x,Li|P,
Al,0.535,3,3,0.304,1.445,-0.787,0.321,changes with x,Li|P,0.02
Cr,0.615,3,3,0.949,1.599,-0.633,0.638,changes with x,Li|P,
Ga,0.62,3,3,0.769,1.29,1.292,1.117,Li site,Li,
Fe,0.645,3,3,1.182,3.383,0.91,1.825,Li site,Li,
Sn,0.69,4,3,-2.017,0.032,-1.701,-1.229,changes with x,Li|P,
Ni,0.69,2,3,-0.66,1.824,1.142,0.769,changes with x,Li|P,
Mg,0.72,2,3,1.942,2.712,1.817,2.157,Li site,Li,
Zn,0.74,2,3,0.423,1.721,1.723,1.289,Li site,Li,
Co,0.745,2,3,0.064,1.027,1.653,0.915,Li site,Li,
Sc,0.745,3,3,1.988,1.02,0.404,1.137,Li site,Li,
Cu,0.77,1,3,1.488,2.616,0.988,1.697,Li site,Li,
In,0.8,3,3,1.176,1.824,0.369,1.123,Li site,Li,
Mn,0.83,2,3,0.912,0.657,0.912,0.827,Li site,Li,
Y,0.9,3,3,0.465,2.306,2.506,1.759,Li site,Li,
Gd,0.938,3,3,0.985,1.833,0.356,1.058,Li site,Li,
Sm,0.958,3,3,0.368,0.354,0.263,0.328,Li site,Li,
Nd,0.983,3,3,0.33,0.924,2.42,1.225,Li site,Li,
Ca,1.0,2,3,1.344,1.829,2.205,1.793,Li site,Li,
Na,1.02,1,3,1.947,1.887,2.91,2.248,Li site,Li,
La,1.032,3,3,1.056,0.671,1.784,1.17,Li site,Li,
Ag,1.15,1,3,2.48,2.443,0.883,1.935,Li site,Li,0.02|0.10
Sr,1.18,2,3,0.638,2.03,2.26,1.643,Li site,Li,
Ba,1.35,2,3,2.85,2.432,2.814,2.699,Li site,Li,
