# Step 4 — representative structure selection (seminar 2026-08)
# de = rerank_de_post_anneal, host-relative stability (NOT hull distance).
# The three values per species are the three top-ranked structures whose folder
#   labels read x020/x050/x100 (or x002/x005/x010 in concentration_label).
# !! THOSE LABELS ARE NOT CONCENTRATIONS — the `concentration` column is 0.25 for
#    all 270 rows. The three differ by substitution SITE and SEED, not by doping
#    level, and they are NOT repeat runs of the same structure.
# band_width = max - min. wide flag = width > 0.10 eV/atom.
species,de_min_eV_per_atom,de_max_eV_per_atom,de_mean_eV_per_atom,band_width_eV_per_atom,band_wide_flag
Gd2O3,-1.2876,-1.2537,-1.2694,0.0340,
Ta2O5,-1.0646,-1.0185,-1.0414,0.0461,
Nb2O5,-1.0189,-0.9562,-0.9869,0.0627,
Sc2O3,-0.9544,-0.9338,-0.9445,0.0206,
Y2O3,-0.9919,-0.9065,-0.9378,0.0854,
V2O5,-0.9822,-0.8185,-0.9265,0.1637,wide
Nd2O3,-0.9264,-0.9074,-0.9155,0.0190,
Cr2O3,-0.9458,-0.8667,-0.9121,0.0791,
La2O3,-0.9280,-0.8809,-0.8979,0.0471,
Sm2O3,-0.9146,-0.8876,-0.8969,0.0271,
WO3,-0.9108,-0.8011,-0.8599,0.1096,wide
MoO3,-0.8616,-0.7566,-0.8256,0.1049,wide
HfO2,-0.8326,-0.7689,-0.8097,0.0636,
Fe2O3,-0.8371,-0.7674,-0.8008,0.0697,
Al2O3,-0.8177,-0.7691,-0.7985,0.0486,
B2O3,-0.8297,-0.7312,-0.7685,0.0985,
CrO3,-0.8031,-0.7304,-0.7612,0.0728,
ZrF4,-0.8329,-0.7138,-0.7578,0.1191,wide
LaF3,-0.7321,-0.7237,-0.7273,0.0084,
ScF3,-0.7419,-0.7145,-0.7254,0.0273,
Sb2O5,-0.7268,-0.7175,-0.7213,0.0093,
ZrO2,-0.8032,-0.6229,-0.7194,0.1803,wide
YF3,-0.7519,-0.6466,-0.7135,0.1053,wide
TiF4,-0.7064,-0.7030,-0.7052,0.0034,
NdF3,-0.7102,-0.6919,-0.7029,0.0182,
Ca3N2,-0.7046,-0.6983,-0.7006,0.0063,
HfCl4,-0.6826,-0.6400,-0.6666,0.0425,
In2O3,-0.7057,-0.6201,-0.6646,0.0856,
MnO,-0.6623,-0.6394,-0.6511,0.0229,
AlF3,-0.6447,-0.6351,-0.6407,0.0096,
TiO2,-0.6682,-0.6134,-0.6320,0.0549,
Ga2O3,-0.5972,-0.5899,-0.5931,0.0072,
Al2S3,-0.6024,-0.5718,-0.5903,0.0306,
SiO2,-0.6013,-0.5805,-0.5899,0.0208,
Mg3N2,-0.5985,-0.5796,-0.5898,0.0189,
NdCl3,-0.6063,-0.5784,-0.5888,0.0279,
CaF2,-0.5881,-0.5842,-0.5860,0.0038,
SmCl3,-0.6017,-0.5724,-0.5849,0.0293,
