# h-BN@VGCF Li migration MEP - QE neb.x cubic interpolation, 7-image CI-NEB, hollow->hollow 2.46 A. Energies in meV relative to the first image.
reaction_coordinate,E_meV_Li_on_graphene_1L,E_meV_Li_in_gallery_2L2L
0.00,0.0000,0.0000
0.02,1.7512,0.6419
0.04,6.7720,2.6652
0.06,14.7134,6.2164
0.08,25.2264,11.4418
0.10,37.9620,18.4881
0.12,52.5712,27.5015
0.14,68.7049,38.6286
0.16,86.0142,52.0158
0.18,104.1500,67.8095
0.20,122.7104,85.4467
0.22,140.4385,101.1056
0.24,156.9639,114.2395
0.26,172.3414,124.9025
0.28,186.6259,133.1488
0.30,199.8722,139.0325
0.32,212.1352,142.6077
0.34,223.4698,143.9284
0.36,233.9283,143.3413
0.38,243.4525,141.7410
0.40,251.8937,139.5183
0.42,259.1117,137.0395
0.44,264.9664,134.6709
0.46,269.3177,132.7789
0.48,272.0256,131.7296
0.50,272.9499,131.8919
0.52,271.9992,133.3331
0.54,269.2699,135.6881
0.56,264.9033,138.5670
0.58,259.0409,141.5797
0.60,251.8241,144.3365
0.62,243.3943,146.4474
0.64,233.8929,147.4752
0.66,223.4679,146.4797
0.68,212.1723,143.2085
0.70,199.9535,137.6505
0.72,186.7568,129.7946
0.74,172.5275,119.6299
0.76,157.2108,107.1453
0.78,140.7521,92.3297
0.80,123.0965,75.1866
0.82,104.6136,58.5884
0.84,86.5556,44.5565
0.86,69.3221,32.8981
0.88,53.2603,23.4202
0.90,38.7172,15.9298
0.92,26.0400,10.2339
0.94,15.5757,6.1397
0.96,7.6715,3.4542
0.98,2.6744,1.9844
1.00,0.9316,1.5373
