# XPS reference binding-energy positions for Nd2O3-doped LPSCl SEI / decomposition products.
# Literature/handbook values (NIST XPS DB + solid-state-battery XPS literature), charge-referenced to C 1s = 284.8 eV.
# Read with pandas.read_csv(comment='#'). 2p entries are the 2p3/2 component.
# spin-orbit doublet splits (2p1/2 sits higher by): P 2p ~0.86, S 2p ~1.18, Cl 2p ~1.60 eV ; Nd 3d3/2 = 3d5/2 + ~22.5 eV.
# conf = confidence: A well-established / B good / C uncertain (esp. Nd 3d: open-4f multiplet + shake-up satellite, single value insufficient).
# BE_pm = +/- spread of reported literature values (NOT an experimental error bar).
# diagnostic = what the peak tells us about OUR SEI story (O-doping conversion / Nd3+ survival / e- leak).
# These are the validation anchors for the ORCA dSCF core-hole calc (gabia /data/apps/orca-6.1.1).
# WEB-VERIFIED 2026-06-26 (spot-check): S 2p PS4 thiophosphate 161.7 eV [argyrodite XPS, Auvergniot/Hakari et al.] == our 161.6 OK;
#   Nd 3d5/2 Nd2O3 ~982.5 + 3d3/2 ~1005 + COMPLEX multiplet (unscreened 3d9-4f3 main; screened ~977 lower-BE satellite) [Intl XPS DB].
# TRUST: conf A = standard & spot-checked. conf C (Nd phases) = Nd3+ center ~982.5 OK, but per-ligand shifts are ESTIMATES and the
#   3d lineshape is multiplet/satellite-dominated -> use for orientation, NOT for citation (that is exactly why we cross-check with ORCA).
#
# Nd 3d SOURCES (web-verified 2026-06-30; full discussion kb/results/nd_xps_literature_basis_2026_06_30.md):
#   Range Nd3+ 3d5/2 = 980.7 (Intl XPS DB ref) - 982.5 (oxide studies); 3d3/2 ~1003-1005; satellite ~972-977.
#   [1] NIST XPS Database SRD 20  https://srdata.nist.gov/xps/
#   [2] International XPS Database Nd Z=60 (3d5/2 980.7+-0.2)  https://xpsdatabase.com/neodymium-nd-z60/
#   [3] Surface Science Spectra 26, 014001 (2019) Eu2O3/Nd2O3 by XPS  https://pubs.aip.org/avs/sss/article/26/1/014001
#   [4] Uwamino et al., J. Electron Spectrosc. Relat. Phenom. 34 (1984)  https://www.sciencedirect.com/science/article/abs/pii/0368204884800602
#   [5] de Groot & Kotani, Core Level Spectroscopy of Solids, CRC (2008) -- CTM (quantitative)
#   [6] J.ESRP (1999) rare-earth oxide core-hole  https://www.sciencedirect.com/science/article/abs/pii/S0301010499003808
#   [7] arXiv:2505.14284 (2025) lanthanide dioxide core-level photoemission
# NOTE: Nd 3d = literature only (multiplet, not DFT). B/O/S/P/Cl peaks ARE computable (dSCF core-hole / Bader).
product,element,core_level,BE_eV,BE_pm,role_side,conf,diagnostic
host_PS4_thiophosphate,P,2p3/2,131.7,0.3,host-backbone,A,baseline P-S; conversion to 133.3 = O-doping worked
host_PS4_thiophosphate,S,2p3/2,161.6,0.4,host-backbone,A,terminal P-S (bridging P-S-P ~163)
Li3PO4,P,2p3/2,133.3,0.3,bulk-GB+cathode,A,phosphate P; +1.6 eV vs thiophosphate = KEY O-doping signature
Li3PO4,O,1s,531.5,0.4,bulk-GB+cathode,A,phosphate O; e-blocking passivation
NdPO4,P,2p3/2,133.3,0.3,cathode,B,monazite phosphate ~ same as Li3PO4
NdPO4,O,1s,531.5,0.5,cathode,B,phosphate O
NdPO4,Nd,3d5/2,982.5,1.0,cathode,C,Nd3+ (~same as Nd2O3, ligand shift unresolved); survival = cathode anchor
Li2O,O,1s,528.5,0.3,anode,A,oxide O (low BE); O-derived anode SEI
Li2O,Li,1s,53.8,0.3,anode,B,oxide Li
Nd2O3,Nd,3d5/2,982.5,1.0,cathode,C,Nd3+ REF (web-verified); 3d3/2 ~1005; main 3d9-4f3 + screened satellite ~977
Nd2O3,O,1s,529.8,0.5,cathode,B,RE-oxide O (between Li2O and phosphate)
LiCl,Cl,2p3/2,198.6,0.3,anode+cathode,A,lattice/SEI chloride; anode SEI with Li2O
LiCl,Li,1s,56.0,0.4,anode+cathode,B,chloride Li
NdCl3,Cl,2p3/2,199.2,0.4,cathode,B,metal chloride ~+0.6 eV vs LiCl
NdCl3,Nd,3d5/2,982.5,1.0,cathode,C,Nd3+ chloride (ligand shift unresolved, estimate)
NdOCl,Cl,2p3/2,198.8,0.4,cathode,C,oxychloride Cl
NdOCl,O,1s,530.0,0.6,cathode,C,oxychloride O
NdOCl,Nd,3d5/2,982.5,1.0,cathode,C,Nd3+ oxychloride (estimate)
LiNdO2,Nd,3d5/2,982.5,1.0,cathode,C,Nd3+ ternary oxide (estimate)
LiNdO2,O,1s,529.5,0.6,cathode,C,ternary oxide O
Li2S,S,2p3/2,160.2,0.3,anode+cathode,A,sulfide S (low BE); semi-insulating SEI
Li2S,Li,1s,54.5,0.4,anode+cathode,B,sulfide Li
Nd2S3,S,2p3/2,161.5,0.5,avoid,C,Nd sulfide; conductive -> avoid
Nd2S3,Nd,3d5/2,981.5,1.2,avoid,C,Nd3+ sulfide (may shift slightly lower; estimate)
Li3P,P,2p3/2,128.0,0.5,anode-LEAK,B,phosphide (reduced P, low BE); UNDOPED anode e-leak product
NdS,S,2p3/2,161.0,0.6,avoid,C,near-metallic NdS; avoid
Li2SO4_oxidizedS_marker,S,2p3/2,168.0,0.4,marker,A,sulfate; high-BE S-oxidation marker (overcharge)
Li2SO4_oxidizedS_marker,O,1s,531.8,0.4,marker,B,sulfate O
