      Step     Time          Energy          fmax
FIRE:    0 22:27:59     -110.741866        0.068831
FIRE:    1 22:27:59     -110.742065        0.056662
FIRE:    2 22:28:00     -110.742359        0.040512
FIRE:    3 22:28:00     -110.742628        0.039220
FIRE:    4 22:28:00     -110.742792        0.037063
FIRE:    5 22:28:00     -110.742882        0.043963
FIRE:    6 22:28:00     -110.742985        0.053534
FIRE:    7 22:28:00     -110.743156        0.050835
FIRE:    8 22:28:00     -110.743391        0.035194
FIRE:    9 22:28:01     -110.743593        0.015121
