job	rc	done	wall_s	peak_total_MiB	peak_self_MiB	killed	start	host_avail_min_MiB
V2_top_fcc_dft_bound	0	1	179	2750	—	0	2026-09-26 19:43:12	118528
V2_top_fcc_dft_far	0	1	140	2750	—	0	2026-09-26 19:46:13	118521
V2_top_fcc_Ed_m03	0	1	172	2750	—	0	2026-09-26 19:48:37	118520
V2_top_fcc_Ed_p03	0	1	171	2750	—	0	2026-09-26 19:51:33	118518
V2_top_fcc_Ed_p06	0	1	147	2750	—	0	2026-09-26 19:54:29	118529
V2_top_fcc_G3_c2_bound	0	1	289	2872	—	0	2026-09-26 19:57:04	118474
V2_top_fcc_G3_c2_far_i	0	1	218	2872	—	0	2026-09-26 20:02:00	118468
V2_top_fcc_G3_c2_far_ii	0	1	155	2872	—	0	2026-09-26 20:05:44	118505
V2_top_fcc_G4_e70_bound	0	1	221	3808	—	0	2026-09-26 20:08:27	118346
V2_top_fcc_G4_e70_far	0	1	179	3808	—	0	2026-09-26 20:12:14	118348
V2_top_fcc_G4_k1_bound	0	1	175	2754	—	0	2026-09-26 20:15:22	118537
V2_top_fcc_G4_k1_far	0	0	1212	2494	—	0	2026-09-26 20:18:25	118495
V2_top_fcc_G4_s05_bound	1	0	3	0	—	0	2026-09-26 21:34:19	119426
V2_top_fcc_G4_k1_far_b01	0	0	1191	2494	—	0	2026-09-26 21:34:26	118475
V2_top_fcc_G4_s05_bound_r1	0	1	209	2750	—	0	2026-09-26 22:00:40	118541
V2_top_fcc_G4_s05_far_r1	0	1	503	2750	—	0	2026-09-26 22:04:14	118521
