# SDCP v7c computed IR (ORCA r2SCAN-3c freq -> mapspc, FWHM 25 cm-1), UNSCALED wavenumbers.
# Multiply wavenumber by 0.965 to compare with experiment (report kb/projects/sdcp_v7c_structure_spectroscopy_report_2026_07_10.md uses scaled values; e.g. O-H 3754 raw -> 3624 scaled).
# Uploaded by user 2026-07-12 (a429bee4-sdcp_v7c_IR.csv). A = 1000 - mapspc transmittance-like value.
# wavenumber_cm-1,A_neutral,A_doped,T_neutral,T_doped  (A = 1000 - mapspc value; FWHM 25; r2SCAN-3c freq)
300.0000,0.0012,0.0033,999.9988,999.9967
303.6200,0.0010,0.0035,999.9990,999.9965
307.2300,0.0008,0.0036,999.9992,999.9964
310.8500,0.0007,0.0036,999.9993,999.9964
314.4700,0.0006,0.0033,999.9994,999.9967
318.0800,0.0004,0.0029,999.9996,999.9971
321.7000,0.0003,0.0024,999.9997,999.9976
325.3200,0.0003,0.0018,999.9997,999.9982
328.9300,0.0002,0.0013,999.9998,999.9987
332.5500,0.0003,0.0009,999.9997,999.9991
336.1700,0.0004,0.0006,999.9996,999.9994
339.7800,0.0007,0.0003,999.9993,999.9997
343.4000,0.0009,0.0002,999.9991,999.9998
347.0200,0.0012,0.0001,999.9988,999.9999
350.6400,0.0013,0.0001,999.9987,999.9999
354.2500,0.0014,0.0001,999.9986,999.9999
357.8700,0.0014,0.0001,999.9986,999.9999
361.4900,0.0015,0.0001,999.9985,999.9999
365.1000,0.0017,0.0002,999.9983,999.9998
368.7200,0.0022,0.0002,999.9978,999.9998
372.3400,0.0030,0.0002,999.9970,999.9998
375.9500,0.0039,0.0002,999.9961,999.9998
379.5700,0.0047,0.0002,999.9953,999.9998
383.1900,0.0051,0.0002,999.9949,999.9998
386.8000,0.0050,0.0004,999.9950,999.9996
390.4200,0.0044,0.0007,999.9956,999.9993
394.0400,0.0036,0.0012,999.9964,999.9988
397.6500,0.0028,0.0019,999.9972,999.9981
401.2700,0.0022,0.0028,999.9978,999.9972
404.8900,0.0018,0.0036,999.9982,999.9964
408.5000,0.0017,0.0044,999.9983,999.9956
412.1200,0.0018,0.0050,999.9982,999.9950
415.7400,0.0018,0.0056,999.9982,999.9944
419.3500,0.0019,0.0061,999.9981,999.9939
422.9700,0.0021,0.0064,999.9979,999.9936
426.5900,0.0023,0.0066,999.9977,999.9934
430.2100,0.0025,0.0064,999.9975,999.9936
433.8200,0.0026,0.0057,999.9974,999.9943
437.4400,0.0025,0.0046,999.9975,999.9954
441.0600,0.0024,0.0035,999.9976,999.9965
444.6700,0.0022,0.0025,999.9978,999.9975
448.2900,0.0021,0.0018,999.9979,999.9982
451.9100,0.0020,0.0014,999.9980,999.9986
455.5200,0.0020,0.0014,999.9980,999.9986
459.1400,0.0021,0.0016,999.9979,999.9984
462.7600,0.0021,0.0018,999.9979,999.9982
466.3700,0.0021,0.0020,999.9979,999.9980
469.9900,0.0019,0.0022,999.9981,999.9978
473.6100,0.0015,0.0026,999.9985,999.9974
477.2200,0.0012,0.0035,999.9988,999.9965
480.8400,0.0008,0.0051,999.9992,999.9949
484.4600,0.0005,0.0076,999.9995,999.9924
488.0700,0.0003,0.0107,999.9997,999.9893
491.6900,0.0002,0.0138,999.9998,999.9862
495.3100,0.0001,0.0162,999.9999,999.9838
498.9200,0.0002,0.0169,999.9998,999.9831
502.5400,0.0003,0.0159,999.9997,999.9841
506.1600,0.0005,0.0133,999.9995,999.9867
509.7800,0.0009,0.0099,999.9991,999.9901
513.3900,0.0015,0.0066,999.9985,999.9934
517.0100,0.0021,0.0040,999.9979,999.9960
520.6300,0.0028,0.0021,999.9972,999.9979
524.2400,0.0034,0.0010,999.9966,999.9990
527.8600,0.0037,0.0005,999.9963,999.9995
531.4800,0.0038,0.0003,999.9962,999.9997
535.0900,0.0036,0.0003,999.9964,999.9997
538.7100,0.0035,0.0006,999.9965,999.9994
542.3300,0.0035,0.0011,999.9965,999.9989
545.9400,0.0036,0.0020,999.9964,999.9980
549.5600,0.0038,0.0032,999.9962,999.9968
553.1800,0.0038,0.0046,999.9962,999.9954
556.7900,0.0035,0.0059,999.9965,999.9941
560.4100,0.0030,0.0070,999.9970,999.9930
564.0300,0.0023,0.0075,999.9977,999.9925
567.6400,0.0016,0.0076,999.9984,999.9924
571.2600,0.0010,0.0073,999.9990,999.9927
574.8800,0.0006,0.0070,999.9994,999.9930
578.4900,0.0003,0.0070,999.9997,999.9930
582.1100,0.0002,0.0076,999.9998,999.9924
585.7300,0.0001,0.0088,999.9999,999.9912
589.3500,0.0001,0.0102,999.9999,999.9898
592.9600,0.0001,0.0113,999.9999,999.9887
596.5800,0.0001,0.0114,999.9999,999.9886
600.2000,0.0001,0.0105,999.9999,999.9895
603.8100,0.0002,0.0086,999.9998,999.9914
607.4300,0.0003,0.0064,999.9997,999.9936
611.0500,0.0006,0.0042,999.9994,999.9958
614.6600,0.0011,0.0027,999.9989,999.9973
618.2800,0.0018,0.0019,999.9982,999.9981
621.9000,0.0029,0.0021,999.9971,999.9979
625.5100,0.0041,0.0037,999.9959,999.9963
629.1300,0.0055,0.0070,999.9945,999.9930
632.7500,0.0066,0.0124,999.9934,999.9876
636.3600,0.0074,0.0196,999.9926,999.9804
639.9800,0.0077,0.0277,999.9923,999.9723
643.6000,0.0074,0.0349,999.9926,999.9651
647.2100,0.0065,0.0392,999.9935,999.9608
650.8300,0.0053,0.0391,999.9947,999.9609
654.4500,0.0039,0.0348,999.9961,999.9652
658.0600,0.0027,0.0275,999.9973,999.9725
661.6800,0.0016,0.0194,999.9984,999.9806
665.3000,0.0009,0.0122,999.9991,999.9878
668.9100,0.0004,0.0068,999.9996,999.9932
672.5300,0.0002,0.0034,999.9998,999.9966
676.1500,0.0001,0.0016,999.9999,999.9984
679.7700,0.0000,0.0008,1000.0000,999.9992
683.3800,0.0001,0.0006,999.9999,999.9994
687.0000,0.0001,0.0008,999.9999,999.9992
690.6200,0.0002,0.0013,999.9998,999.9987
694.2300,0.0003,0.0019,999.9997,999.9981
697.8500,0.0005,0.0026,999.9995,999.9974
701.4700,0.0007,0.0031,999.9993,999.9969
705.0800,0.0009,0.0034,999.9991,999.9966
708.7000,0.0010,0.0034,999.9990,999.9966
712.3200,0.0012,0.0030,999.9988,999.9970
715.9300,0.0014,0.0025,999.9986,999.9975
719.5500,0.0020,0.0021,999.9980,999.9979
723.1700,0.0032,0.0018,999.9968,999.9982
726.7800,0.0059,0.0020,999.9941,999.9980
730.4000,0.0106,0.0029,999.9894,999.9971
734.0200,0.0179,0.0046,999.9821,999.9954
737.6300,0.0275,0.0073,999.9725,999.9927
741.2500,0.0377,0.0104,999.9623,999.9896
744.8700,0.0463,0.0135,999.9537,999.9865
748.4800,0.0507,0.0156,999.9493,999.9844
752.1000,0.0495,0.0162,999.9505,999.9838
755.7200,0.0431,0.0149,999.9569,999.9851
759.3400,0.0334,0.0123,999.9666,999.9877
762.9500,0.0231,0.0092,999.9769,999.9908
766.5700,0.0142,0.0064,999.9858,999.9936
770.1900,0.0079,0.0046,999.9921,999.9954
773.8000,0.0040,0.0041,999.9960,999.9959
777.4200,0.0020,0.0047,999.9980,999.9953
781.0400,0.0011,0.0060,999.9989,999.9940
784.6500,0.0010,0.0076,999.9990,999.9924
788.2700,0.0011,0.0087,999.9989,999.9913
791.8900,0.0013,0.0090,999.9987,999.9910
795.5000,0.0014,0.0083,999.9986,999.9917
799.1200,0.0015,0.0069,999.9985,999.9931
802.7400,0.0014,0.0051,999.9986,999.9949
806.3500,0.0014,0.0035,999.9986,999.9965
809.9700,0.0014,0.0023,999.9986,999.9977
813.5900,0.0015,0.0017,999.9985,999.9983
817.2000,0.0016,0.0015,999.9984,999.9985
820.8200,0.0016,0.0016,999.9984,999.9984
824.4400,0.0016,0.0019,999.9984,999.9981
828.0500,0.0016,0.0025,999.9984,999.9975
831.6700,0.0017,0.0031,999.9983,999.9969
835.2900,0.0020,0.0040,999.9980,999.9960
838.9100,0.0026,0.0053,999.9974,999.9947
842.5200,0.0036,0.0071,999.9964,999.9929
846.1400,0.0049,0.0095,999.9951,999.9905
849.7600,0.0063,0.0122,999.9937,999.9878
853.3700,0.0074,0.0146,999.9926,999.9854
856.9900,0.0079,0.0160,999.9921,999.9840
860.6100,0.0077,0.0158,999.9923,999.9842
864.2200,0.0067,0.0140,999.9933,999.9860
867.8400,0.0053,0.0113,999.9947,999.9887
871.4600,0.0037,0.0082,999.9963,999.9918
875.0700,0.0024,0.0055,999.9976,999.9945
878.6900,0.0014,0.0035,999.9986,999.9965
882.3100,0.0008,0.0022,999.9992,999.9978
885.9200,0.0005,0.0016,999.9995,999.9984
889.5400,0.0005,0.0014,999.9995,999.9986
893.1600,0.0006,0.0012,999.9994,999.9988
896.7700,0.0008,0.0011,999.9992,999.9989
900.3900,0.0011,0.0009,999.9989,999.9991
904.0100,0.0014,0.0007,999.9986,999.9993
907.6200,0.0016,0.0006,999.9984,999.9994
911.2400,0.0020,0.0005,999.9980,999.9995
914.8600,0.0025,0.0007,999.9975,999.9993
918.4800,0.0033,0.0011,999.9967,999.9989
922.0900,0.0044,0.0016,999.9956,999.9984
925.7100,0.0058,0.0022,999.9942,999.9978
929.3300,0.0072,0.0027,999.9928,999.9973
932.9400,0.0082,0.0030,999.9918,999.9970
936.5600,0.0084,0.0030,999.9916,999.9970
940.1800,0.0079,0.0027,999.9921,999.9973
943.7900,0.0066,0.0023,999.9934,999.9977
947.4100,0.0050,0.0019,999.9950,999.9981
951.0300,0.0034,0.0016,999.9966,999.9984
954.6400,0.0022,0.0016,999.9978,999.9984
958.2600,0.0014,0.0018,999.9986,999.9982
961.8800,0.0010,0.0026,999.9990,999.9974
965.4900,0.0008,0.0040,999.9992,999.9960
969.1100,0.0008,0.0065,999.9992,999.9935
972.7300,0.0007,0.0103,999.9993,999.9897
976.3400,0.0006,0.0154,999.9994,999.9846
979.9600,0.0005,0.0213,999.9995,999.9787
