objective,w_dqdv,noise,n,degenerate_frac,degenerate_frac_corrected,mean_abs_err,pe_ne_antisym_frac,mean_abs_err_lli,mean_abs_err_lam_pe,mean_abs_err_lam_ne
wdqdv_0.00,0.0,0.0,79,0.6962025316455697,0.8734177215189873,0.04973184888189471,0.4810126582278481,0.012294258824509257,0.02033553997306784,0.043217951486806634
wdqdv_0.25,0.25,0.0,79,0.6708860759493671,0.24050632911392406,0.03215943035781252,0.620253164556962,0.01563134491560573,0.02195942664262675,0.019691146244673278
wdqdv_0.50,0.5,0.0,79,0.6582278481012658,0.26582278481012656,0.03260463073404279,0.620253164556962,0.01652787198402728,0.02272713491183358,0.01977695420570163
wdqdv_0.75,0.75,0.0,79,0.6075949367088608,0.2911392405063291,0.029054366218839854,0.5443037974683544,0.016384209821920438,0.0216895324566115,0.018286446878934996
wdqdv_1.00,1.0,0.0,79,0.6329113924050633,0.22784810126582278,0.03069885990540296,0.4050632911392405,0.018047324301243603,0.0226811070222669,0.019496910923991837
wdqdv_1.25,1.25,0.0,79,0.620253164556962,0.3924050632911392,0.03275229547945662,0.4050632911392405,0.020142755712137268,0.026474037487519576,0.021770700629906995
wdqdv_1.50,1.5,0.0,79,0.620253164556962,0.34177215189873417,0.03144137004894302,0.45569620253164556,0.020642628028733033,0.025719080060602622,0.02181472049795179
wdqdv_1.75,1.75,0.0,79,0.5949367088607594,0.379746835443038,0.0321202284798556,0.3924050632911392,0.019453025761030654,0.024219086090194967,0.02329097638398425
wdqdv_2.00,2.0,0.0,79,0.6075949367088608,0.4050632911392405,0.03274177544120348,0.4430379746835443,0.02113904868043038,0.02543981737110002,0.02340183471566322
wdqdv_0.00,0.0,0.001,79,0.7088607594936709,0.8607594936708861,0.04913664894582605,0.5189873417721519,0.012065719541847209,0.018102931190316227,0.04296861325568617
wdqdv_0.25,0.25,0.001,79,0.6455696202531646,0.21518987341772153,0.0316536939771354,0.6329113924050633,0.017275407987309872,0.023025185874644197,0.017980285238945883
wdqdv_0.50,0.5,0.001,79,0.6329113924050633,0.22784810126582278,0.031463957084916054,0.620253164556962,0.018998862351967228,0.0242640812614588,0.01977742018957458
wdqdv_0.75,0.75,0.001,79,0.6455696202531646,0.22784810126582278,0.03228684824319606,0.6708860759493671,0.020989496729852297,0.027068343786936736,0.01991982352289794
wdqdv_1.00,1.0,0.001,79,0.6329113924050633,0.26582278481012656,0.03084568678688847,0.46835443037974683,0.020966595068293264,0.026252440615631163,0.019415199048382015
wdqdv_1.25,1.25,0.001,79,0.6075949367088608,0.3924050632911392,0.031905538052507426,0.4936708860759494,0.021120858753298354,0.02719866722543427,0.021410217812095168
wdqdv_1.50,1.5,0.001,79,0.620253164556962,0.43037974683544306,0.033857083668091814,0.43037974683544306,0.022021743646883994,0.02636316379525599,0.02490093997768422
wdqdv_1.75,1.75,0.001,79,0.569620253164557,0.35443037974683544,0.03269255495474807,0.43037974683544306,0.021299158796589217,0.02677125579123912,0.022986093448382157
wdqdv_2.00,2.0,0.001,79,0.6455696202531646,0.4050632911392405,0.033651014900159495,0.379746835443038,0.023240992392644055,0.029041768719550373,0.022336994500827535
wdqdv_0.00,0.0,0.005,79,0.6582278481012658,0.8481012658227848,0.04950946733875533,0.4810126582278481,0.012618841818119262,0.019280551622893567,0.04371438747798066
wdqdv_0.25,0.25,0.005,79,0.6835443037974683,0.3291139240506329,0.03232667536938429,0.6455696202531646,0.01603266556009404,0.020803145455659016,0.021067286716813936
wdqdv_0.50,0.5,0.005,79,0.6835443037974683,0.27848101265822783,0.029224025215976522,0.5822784810126582,0.01733035417512104,0.022266545291916667,0.016651555852217857
wdqdv_0.75,0.75,0.005,79,0.620253164556962,0.26582278481012656,0.02505459186900731,0.5316455696202531,0.018071674046925643,0.021514997160257038,0.01332970694146403
wdqdv_1.00,1.0,0.005,79,0.6329113924050633,0.3291139240506329,0.03083215178241821,0.43037974683544306,0.017472303002580594,0.021239171520663482,0.020187337477615114
wdqdv_1.25,1.25,0.005,79,0.5822784810126582,0.3670886075949367,0.025780246958702166,0.43037974683544306,0.017426360307758838,0.020793278149479302,0.014768420382354623
wdqdv_1.50,1.5,0.005,79,0.5822784810126582,0.4430379746835443,0.025209545953153913,0.3291139240506329,0.017098445741366725,0.020123112865766662,0.016492204930078927
wdqdv_1.75,1.75,0.005,79,0.6075949367088608,0.4050632911392405,0.024823576933581424,0.35443037974683544,0.017447790543735187,0.020400124423242252,0.01519116063893844
wdqdv_2.00,2.0,0.005,79,0.569620253164557,0.4050632911392405,0.024298671973720952,0.3670886075949367,0.016994165440192055,0.019694126739957414,0.015145358067690769
