run,table,mu_pp,mu_pw,cor,roll,E_GPa,n_atom_types,desc
orig_1type,control,0.5,0.5,0.3,0.1,1.35,1,"⚠ 빌드 대조 — 원본 1-type 그대로 (출력 경로만 변경)"
base,control,0.5,0.5,0.3,0.1,1.35,2,"기준선 — 생산값, 2-type (⚠ type 리팩터 음성 대조)"
oat_mu_pp0p2,A,0.2,0.5,0.3,0.1,1.35,2,"표A · mu_pp = 0.2"
oat_mu_pp0p4,A,0.4,0.5,0.3,0.1,1.35,2,"표A · mu_pp = 0.4"
oat_mu_pp0p6,A,0.6,0.5,0.3,0.1,1.35,2,"표A · mu_pp = 0.6"
oat_mu_pw0p2,A,0.5,0.2,0.3,0.1,1.35,2,"표A · mu_pw = 0.2"
oat_mu_pw0p4,A,0.5,0.4,0.3,0.1,1.35,2,"표A · mu_pw = 0.4"
oat_mu_pw0p6,A,0.5,0.6,0.3,0.1,1.35,2,"표A · mu_pw = 0.6"
oat_cor0p2,A,0.5,0.5,0.2,0.1,1.35,2,"표A · cor = 0.2"
oat_cor0p4,A,0.5,0.5,0.4,0.1,1.35,2,"표A · cor = 0.4"
oat_cor0p6,A,0.5,0.5,0.6,0.1,1.35,2,"표A · cor = 0.6"
esweep_E5p0,B,0.5,0.5,0.3,0.1,5.0,2,"표B · E = 5.0 GPa"
esweep_E24p0,B,0.5,0.5,0.3,0.1,24.0,2,"표B · E = 24.0 GPa"
