column	n_filled	pct_filled	verdict	class	why
case	163	100.0	· 식별자	META	식별자·판정 플래그
name	163	100.0	· 식별자	META	식별자·판정 플래그
p_frac	72	44.2	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
AM_P_n_particles	121	74.2	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
AM_P_se_cn_max	121	74.2	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
AM_P_se_cn_mean	121	74.2	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
AM_P_se_cn_median	121	74.2	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
AM_P_se_cn_std	121	74.2	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
AM_P_vulnerable_pct	121	74.2	🔶 채널 종속	COND_cov	coverage 문턱 기반 → Hertz(기하 교차 원판) 채널에 종속
AM_S_n_particles	138	84.7	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
AM_S_se_cn_max	138	84.7	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
AM_S_se_cn_mean	138	84.7	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
AM_S_se_cn_median	138	84.7	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
AM_S_se_cn_std	138	84.7	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
AM_S_vulnerable_pct	138	84.7	🔶 채널 종속	COND_cov	coverage 문턱 기반 → Hertz(기하 교차 원판) 채널에 종속
A_binding_AM_SE_n_contacts	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
A_binding_share_AM_SE_pct.elastic	163	100.0	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
A_binding_share_AM_SE_pct.geom	163	100.0	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
A_binding_share_AM_SE_pct.hertzian	163	100.0	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
A_binding_share_AM_SE_pct.liggghts	163	100.0	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
A_binding_share_AM_SE_pct.other	163	100.0	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
A_binding_share_AM_SE_pct.tabor	163	100.0	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
A_binding_share_AM_SE_pct.volume	163	100.0	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
A_binding_share_total_pct.elastic	163	100.0	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
A_binding_share_total_pct.geom	163	100.0	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
A_binding_share_total_pct.hertzian	163	100.0	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
A_binding_share_total_pct.liggghts	163	100.0	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
A_binding_share_total_pct.other	163	100.0	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
A_binding_share_total_pct.tabor	163	100.0	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
A_binding_share_total_pct.volume	163	100.0	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
A_binding_total_n_contacts	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
F_mN_median_AM_P-AM_P	120	73.6	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
F_mN_median_AM_P-AM_S	96	58.9	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
F_mN_median_AM_S-AM_S	138	84.7	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
F_over_Pc_median_AM_P-AM_P	120	73.6	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
F_over_Pc_median_AM_P-AM_S	96	58.9	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
F_over_Pc_median_AM_S-AM_S	138	84.7	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
P_c_mN_median_AM_P-AM_P	120	73.6	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
