name,r_AM_P,r_AM_S,r_SE,ratio_P,ratio_S,phi_am,phi_se,AM_wt,PS,mAh,thickness_um,P_MPa,dem_porosity,e_se_gpa
260418_172642_6968ef,6.0,2.0,1.5,4.0,1.333,0.5396333351355785,0.28844321592543115,81.8,3:7,,,300,17.192,1.35
260418_172652_159cd6,6.0,2.0,1.5,4.0,1.333,0.5564086393288684,0.2986164330018452,81.7,7:3,,,300,14.497,1.35
260418_172719_58c2b6,6.0,2.0,1.5,4.0,1.333,0.5388806729245335,0.28970848918014386,81.7,3:7,,,300,17.141,1.35
260418_172728_e2b523,6.0,2.0,1.5,4.0,1.333,0.556840810330935,0.2999805181040116,81.7,7:3,,,300,14.318,1.35
260420_072030_f40682,0,4.0,0.5,0.0,8.0,0.3256680208396875,0.4770159978289678,62.1,0:10,,,300,19.732,1.35
260420_115455_8c26b6,5.0,2.5,0.5,10.0,5.0,0.5216254307141354,0.3135051636285378,80.0,7:3,,,300,16.487,1.35
260420_115511_5077f5,5.0,2.5,0.5,10.0,5.0,0.5463548903978918,0.23085662194296155,85.0,7:3,,,300,22.279,1.35
260421_084342_e59a3f,0,3.0,1.0,0.0,3.0,0.5639698481761367,0.2963805508432649,82.0,0:10,,,300,13.965,0.675
260421_084542_0284d5,0,3.0,1.0,0.0,3.0,0.5436789405642385,0.2857171609571442,82.0,0:10,,,300,17.06,1.35
260421_084607_5619fb,0,3.0,1.0,0.0,3.0,0.5265999857958217,0.276741734277035,82.0,0:10,,,300,19.666,2.025
260421_125423_7a8b97,0,3.0,0.5,0.0,6.0,0.5506280209868759,0.28867233825388083,82.1,0:10,,,300,16.07,1.35
260421_125452_ae93d9,0,3.0,1.5,0.0,2.0,0.5236459509091816,0.2751714441049142,82.0,0:10,,,300,20.118,1.35
260421_144730_0ab338,0,3.0,0.5,0.0,6.0,0.31910381406691335,0.4686358671176589,62.0,0:10,,,300,21.226,1.35
260421_170458_e7ffe7,6.0,2.0,0.5,12.0,4.0,0.551559894794409,0.29607465920343917,81.7,7:3,,,300,15.237,1.35
260421_192023_761ec5,5.0,2.5,0.5,10.0,5.0,0.5931363014362302,0.24968407140601565,85.1,7:3,,,300,15.718,1.35
260421_192503_d33327,0,3.0,1.0,0.0,3.0,0.4639932678721568,0.4317293932177312,72.1,0:10,,,300,10.428,1.35
260421_192558_1d6404,0,3.0,1.0,0.0,3.0,0.3794366848010121,0.5544350584880933,62.2,0:10,,,300,6.613,1.35
260421_192638_5ebcec,0,3.0,0.5,0.0,6.0,0.42881104091117017,0.39900330175183957,72.1,0:10,,,300,17.219,1.35
260421_192712_db852c,0,3.0,1.5,0.0,2.0,0.3833770040010688,0.5600242549321782,62.2,0:10,,,300,5.66,1.35
260421_192738_e49c83,0,3.0,1.5,0.0,2.0,0.4591071601216459,0.4270371746719514,72.1,0:10,,,300,11.386,1.35
260421_192830_1202a1,0,3.0,0.25,0.0,12.0,0.3400392703001264,0.49172882224725967,62.4,0:10,,,300,16.823,1.35
260421_193325_babbcb,0,4.0,0.5,0.0,8.0,0.5577296167706203,0.29092913671053344,82.1,0:10,,,300,15.134,1.35
260421_193341_7d6e3a,0,4.0,0.5,0.0,8.0,0.4355000585425546,0.40085089799366486,72.3,0:10,,,300,16.365,1.35
260421_194825_5bc534,5.0,2.5,0.5,10.0,5.0,0.5282805764464618,0.31174317071234126,80.3,7:3,,,300,15.998,1.35
260421_210727_8d6ec1,5.0,0,0.5,10.0,0.0,0.5786598017786033,0.24453456462901513,85.0,10:0,,,300,17.681,1.35
260421_212503_cb59a9,0,2.5,0.5,0.0,5.0,0.5632178680812004,0.23847556308345697,85.0,0:10,,,300,19.831,1.35
260421_212704_8d08ed,5.0,2.5,0.5,10.0,5.0,0.585165807476038,0.24712820590742893,85.0,5:5,,,300,16.771,1.35
260421_212911_9cdaf6,5.0,2.5,0.5,10.0,5.0,0.5808605495064123,0.24445967924436413,85.1,3:7,,,300,17.468,1.35
260421_212956_6cc584,5.0,2.5,0.5,10.0,5.0,0.5288595623414669,0.3081839538543469,80.5,7:3,,,300,16.296,1.35
260421_213135_501fc1,0,2.5,0.5,0.0,5.0,0.506777193250985,0.3039824177809516,80.0,0:10,,,300,18.924,1.35
260421_213256_c6d656,5.0,0,0.5,10.0,0.0,0.5234393524502219,0.3128586381350629,80.1,10:0,,,300,16.37,1.35
260421_213335_73e117,5.0,2.5,0.5,10.0,5.0,0.5261601513165625,0.3077479851292002,80.4,5:5,,,300,16.609,1.35
260421_213412_207164,5.0,2.5,0.5,10.0,5.0,0.5181943343809713,0.303755393545029,80.4,3:7,,,300,17.805,1.35
260421_213505_8b88bf,5.0,2.5,0.5,10.0,5.0,0.4597023064930085,0.36066363996890144,75.4,7:3,,,300,17.963,1.35
260421_213555_ba2a64,5.0,2.5,0.5,10.0,5.0,0.4604390444552071,0.3573484477302696,75.6,5:5,,,300,18.221,1.35
260421_213656_78ec86,5.0,2.5,0.5,10.0,5.0,0.45408103059340144,0.3573729987444817,75.3,3:7,,,300,18.855,1.35
260421_213959_3800d8,5.0,2.5,0.5,10.0,5.0,0.5646375985502681,0.226024855239377,85.7,3:7,,,300,20.934,1.35
260421_214128_1129da,0,2.5,0.5,0.0,5.0,0.5235987755977176,0.3130900215436843,80.1,0:10,,,300,16.331,1.35
260421_214224_6e270f,5.0,2.5,0.5,10.0,5.0,0.5304164679883128,0.30980685053695434,80.4,5:5,,,300,15.978,1.35
260421_214255_54799a,5.0,2.5,0.5,10.0,5.0,0.48369401902799003,0.36459887766322857,76.1,7:3,,,300,15.171,1.35
260421_214325_4478d8,5.0,2.5,0.5,10.0,5.0,0.52763681242754,0.30585706163703047,80.5,3:7,,,300,16.651,1.35
260421_214433_b890e5,5.0,2.5,0.5,10.0,5.0,0.49450995473124504,0.381382265650246,75.7,3:7,,,300,12.411,1.35
260421_214540_c7c589,5.0,2.5,0.5,10.0,5.0,0.4871854314914703,0.3786485534038528,75.5,5:5,,,300,13.417,1.35
