case_id,block,am_pct,ps_frac,d_am_p_um,d_am_s_um,d_se_um,loading_mAh_cm2,rve_area_cm2,am_loading_mg_cm2,w_am,w_se,m_am_g,m_se_g,m_total_g,v_needed_cm3,h_am_um,h_se_um,h_solid_um,thickness_target_um,sim_rve_m,sim_v_needed_m3,sim_h_set_m,insert_volfrac,sim_E_am_Pa,sim_E_se_Pa,sim_press_MPa,sim_radius_p_m,sim_radius_s_m,sim_radius_se_m,h_set_recommended_m,sim_thickness_target_m,sim_plate_z_m,n_am_p,n_am_s,n_se,n_total
lhs00_000,bimodal,95,0.2,10.0000,4.0000,0.5000,2,2.5e-05,10,0.95,0.05,2.5e-07,1.31579e-08,2.63158e-07,5.86623e-08,20.8333,2.63158,23.4649,28.7208,0.05,5.86623e-05,0.133,0.176428,1.4e+08,2.4e+07,0.3,0.005,0.002,0.00025,0.0938596,0.0287208,0.0287208,19.8944,1243.4,100519,101782
lhs00_001,bimodal,85,0.4,8.0000,5.0000,1.5000,2,2.5e-05,10,0.85,0.15,2.5e-07,4.41176e-08,2.94118e-07,7.41422e-08,20.8333,8.82353,29.6569,36.2997,0.05,7.41422e-05,0.133,0.222984,1.4e+08,2.4e+07,0.3,0.004,0.0025,0.00075,0.118627,0.0362997,0.0362997,77.7124,477.465,12482.7,13037.9
lhs00_002,bimodal,75,0.8,10.0000,4.0000,1.5000,2,2.5e-05,10,0.75,0.25,2.5e-07,8.33333e-08,3.33333e-07,9.375e-08,20.8333,16.6667,37.5,45.8996,0.05,9.375e-05,0.133,0.281955,1.4e+08,2.4e+07,0.3,0.005,0.002,0.00075,0.15,0.0458996,0.0458996,79.5775,310.849,23578.5,23968.9
lhs00_003,bimodal,95,0.3,8.0000,2.0000,1.0000,2,2.5e-05,10,0.95,0.05,2.5e-07,1.31579e-08,2.63158e-07,5.86623e-08,20.8333,2.63158,23.4649,28.7208,0.05,5.86623e-05,0.133,0.176428,1.4e+08,2.4e+07,0.3,0.004,0.001,0.0005,0.0938596,0.0287208,0.0287208,58.2843,8703.79,12564.9,21326.9
lhs00_004,bimodal,90,0.2,5.0000,4.0000,1.5000,2,2.5e-05,10,0.9,0.1,2.5e-07,2.77778e-08,2.77778e-07,6.59722e-08,20.8333,5.55556,26.3889,32.2997,0.05,6.59722e-05,0.133,0.198413,1.4e+08,2.4e+07,0.3,0.0025,0.002,0.00075,0.105556,0.0322997,0.0322997,159.155,1243.4,7859.5,9262.06
lhs00_005,bimodal,85,0.3,13.0000,2.0000,2.0000,2,2.5e-05,10,0.85,0.15,2.5e-07,4.41176e-08,2.94118e-07,7.41422e-08,20.8333,8.82353,29.6569,36.2997,0.05,7.41422e-05,0.133,0.222984,1.4e+08,2.4e+07,0.3,0.0065,0.001,0.001,0.118627,0.0362997,0.0362997,13.5829,8703.79,5266.16,13983.5
lhs00_006,bimodal,75,0.3,13.0000,1.0000,0.5000,2,2.5e-05,10,0.75,0.25,2.5e-07,8.33333e-08,3.33333e-07,9.375e-08,20.8333,16.6667,37.5,45.8996,0.05,9.375e-05,0.133,0.281955,1.4e+08,2.4e+07,0.3,0.0065,0.0005,0.00025,0.15,0.0458996,0.0458996,13.5829,69630.3,636620,706264
lhs00_007,bimodal,95,0.8,10.0000,4.0000,1.0000,2,2.5e-05,10,0.95,0.05,2.5e-07,1.31579e-08,2.63158e-07,5.86623e-08,20.8333,2.63158,23.4649,28.7208,0.05,5.86623e-05,0.133,0.176428,1.4e+08,2.4e+07,0.3,0.005,0.002,0.0005,0.0938596,0.0287208,0.0287208,79.5775,310.849,12564.9,12955.3
lhs00_008,bimodal,85,0.7,6.0000,4.0000,1.5000,2,2.5e-05,10,0.85,0.15,2.5e-07,4.41176e-08,2.94118e-07,7.41422e-08,20.8333,8.82353,29.6569,36.2997,0.05,7.41422e-05,0.133,0.222984,1.4e+08,2.4e+07,0.3,0.003,0.002,0.00075,0.118627,0.0362997,0.0362997,322.362,466.274,12482.7,13271.4
lhs00_009,bimodal,80,0.3,11.0000,4.0000,0.5000,2,2.5e-05,10,0.8,0.2,2.5e-07,6.25e-08,3.125e-07,8.33333e-08,20.8333,12.5,33.3333,40.7997,0.05,8.33333e-05,0.133,0.250627,1.4e+08,2.4e+07,0.3,0.0055,0.002,0.00025,0.133333,0.0407997,0.0407997,22.4204,1087.97,477465,478575
lhs00_010,bimodal,90,0.3,9.0000,1.0000,1.0000,2,2.5e-05,10,0.9,0.1,2.5e-07,2.77778e-08,2.77778e-07,6.59722e-08,20.8333,5.55556,26.3889,32.2997,0.05,6.59722e-05,0.133,0.198413,1.4e+08,2.4e+07,0.3,0.0045,0.0005,0.0005,0.105556,0.0322997,0.0322997,40.9349,69630.3,26525.8,96197
lhs00_011,bimodal,95,0.5,15.0000,5.0000,1.0000,2,2.5e-05,10,0.95,0.05,2.5e-07,1.31579e-08,2.63158e-07,5.86623e-08,20.8333,2.63158,23.4649,28.7208,0.05,5.86623e-05,0.133,0.176428,1.4e+08,2.4e+07,0.3,0.0075,0.0025,0.0005,0.0938596,0.0287208,0.0287208,14.7366,397.887,12564.9,12977.5
lhs00_012,bimodal,85,0.8,8.0000,5.0000,1.0000,2,2.5e-05,10,0.85,0.15,2.5e-07,4.41176e-08,2.94118e-07,7.41422e-08,20.8333,8.82353,29.6569,36.2997,0.05,7.41422e-05,0.133,0.222984,1.4e+08,2.4e+07,0.3,0.004,0.0025,0.0005,0.118627,0.0362997,0.0362997,155.425,159.155,42129.2,42443.8
lhs00_013,bimodal,80,0.6,12.0000,4.0000,1.0000,2,2.5e-05,10,0.8,0.2,2.5e-07,6.25e-08,3.125e-07,8.33333e-08,20.8333,12.5,33.3333,40.7997,0.05,8.33333e-05,0.133,0.250627,1.4e+08,2.4e+07,0.3,0.006,0.002,0.0005,0.133333,0.0407997,0.0407997,34.5388,621.699,59683.1,60339.3
lhs00_014,bimodal,75,0.8,12.0000,5.0000,0.5000,2,2.5e-05,10,0.75,0.25,2.5e-07,8.33333e-08,3.33333e-07,9.375e-08,20.8333,16.6667,37.5,45.8996,0.05,9.375e-05,0.133,0.281955,1.4e+08,2.4e+07,0.3,0.006,0.0025,0.00025,0.15,0.0458996,0.0458996,46.0518,159.155,636620,636825
lhs00_015,bimodal,80,0.9,5.0000,1.0000,0.5000,2,2.5e-05,10,0.8,0.2,2.5e-07,6.25e-08,3.125e-07,8.33333e-08,20.8333,12.5,33.3333,40.7997,0.05,8.33333e-05,0.133,0.250627,1.4e+08,2.4e+07,0.3,0.0025,0.0005,0.00025,0.133333,0.0407997,0.0407997,716.197,9947.18,477465,488128
lhs00_016,bimodal,70,0.9,9.0000,3.0000,2.0000,2,2.5e-05,10,0.7,0.3,2.5e-07,1.07143e-07,3.57143e-07,1.05655e-07,20.8333,21.4286,42.2619,51.7282,0.05,0.000105655,0.133,0.317759,1.4e+08,2.4e+07,0.3,0.0045,0.0015,0.001,0.169048,0.0517282,0.0517282,122.805,368.414,12789.2,13280.5
lhs00_017,bimodal,70,0.1,5.0000,5.0000,1.5000,2,2.5e-05,10,0.7,0.3,2.5e-07,1.07143e-07,3.57143e-07,1.05655e-07,20.8333,21.4286,42.2619,51.7282,0.05,0.000105655,0.133,0.317759,1.4e+08,2.4e+07,0.3,0.0025,0.0025,0.00075,0.169048,0.0517282,0.0517282,79.5775,716.197,30315.2,31111
lhs00_018,bimodal,70,0.9,15.0000,3.0000,1.0000,2,2.5e-05,10,0.7,0.3,2.5e-07,1.07143e-07,3.57143e-07,1.05655e-07,20.8333,21.4286,42.2619,51.7282,0.05,0.000105655,0.133,0.317759,1.4e+08,2.4e+07,0.3,0.0075,0.0015,0.0005,0.169048,0.0517282,0.0517282,26.5258,368.414,102314,102709
lhs00_019,bimodal,75,0.3,5.0000,4.0000,0.5000,2,2.5e-05,10,0.75,0.25,2.5e-07,8.33333e-08,3.33333e-07,9.375e-08,20.8333,16.6667,37.5,45.8996,0.05,9.375e-05,0.133,0.281955,1.4e+08,2.4e+07,0.3,0.0025,0.002,0.00025,0.15,0.0458996,0.0458996,238.732,1087.97,636620,637946
lhs00_020,bimodal,90,0.4,10.0000,4.0000,2.0000,2,2.5e-05,10,0.9,0.1,2.5e-07,2.77778e-08,2.77778e-07,6.59722e-08,20.8333,5.55556,26.3889,32.2997,0.05,6.59722e-05,0.133,0.198413,1.4e+08,2.4e+07,0.3,0.005,0.002,0.001,0.105556,0.0322997,0.0322997,39.7887,932.548,3315.73,4288.07
