source,structure,material_SE,E_SE_GPa,composition,pressure_MPa,porosity_pct,thickness_um_sim,thickness_um_exp,precision,note
varkey2026,separator,Li3YBrCl6,10.58,SE97_SBR3,0,45,,,porosity_digitized,initial loose
varkey2026,separator,Li3YBrCl6,10.58,SE97_SBR3,100,35,188.2,186,thickness_exact_porosity_digitized,elastic-plastic knee ~100MPa
varkey2026,separator,Li3YBrCl6,10.58,SE97_SBR3,200,31,170.3,171,thickness_exact_porosity_digitized,
varkey2026,separator,Li3YBrCl6,10.58,SE97_SBR3,300,25,152.7,154,thickness_exact_porosity_digitized,
varkey2026,separator,Li3YBrCl6,10.58,SE97_SBR3,350,21,143.5,145,thickness_exact_porosity_digitized,floor 21pct (stiff halide rigid-sphere)
varkey2026,cathode,Li3YBrCl6,10.58,NMC77.6_SE17.43_SBR3_CB0.97,0,49,,,porosity_digitized,initial loose bimodal
varkey2026,cathode,Li3YBrCl6,10.58,NMC77.6_SE17.43_SBR3_CB0.97,125,39,146.6,145.2,thickness_exact_porosity_digitized,
varkey2026,cathode,Li3YBrCl6,10.58,NMC77.6_SE17.43_SBR3_CB0.97,200,38,141.2,140.5,thickness_exact_porosity_digitized,
varkey2026,cathode,Li3YBrCl6,10.58,NMC77.6_SE17.43_SBR3_CB0.97,300,37.5,137.7,137.1,thickness_exact_porosity_digitized,
varkey2026,cathode,Li3YBrCl6,10.58,NMC77.6_SE17.43_SBR3_CB0.97,350,37,135.6,135.3,thickness_exact_porosity_digitized,floor 37pct (AM-rich stiff halide)
ours_minnmann,separator,Li6PS5Cl,1.35,pure_SE,300,10,,,experiment_anchor,LPSCl cold-press Minnmann (E_eff soft -> denser)
ours_real14,cathode,Li6PS5Cl,1.35,AM-rich_82_18,300,15.6,,30.28,dem_measured,real_14 DEM (soft E + MPM flow reach below rigid floor)
doux2020,separator,Li6PS5Cl,24,pure_SE_pellet,370,18,,1000,experiment_anchor,LPSCl pellet rel.density 82.1pct (TableS2 80.3-84.9) @370MPa cold-press = our LPSCl; ~20pct rigid-sphere floor analog (our soft+plastic pure-SE 10pct is BELOW). Li-metal cell paper -> SE pellet porosity only
sakuda2013,bulk_SE,75Li2S25P2S5_glass,24,pure_SE_glass,350,10,,,experiment_anchor_stated,STATED ">90pct at over 350 MPa" (porosity <10pct); 75Li2S25P2S5 GLASS not LPSCl; E_SE=24GPa(ultrasonic) origin of our real-bulk 24; same-sulfide-family densification physics TREND only
sakuda2013,bulk_SE,75Li2S25P2S5_glass,24,pure_SE_glass,300,13,,,trend_digitized,DIGITIZED from Fig2a ~87pct@~300MPa (porosity ~12-15pct) TREND ONLY not stated; 300MPa not a stated pressure in paper; glass not LPSCl -> same-family trend not absolute
lee2025,cathode_corolled,Li6PS5Cl,24,AM80_SSE17_VGCF3_PTFE0.5,500,,120,120,fabrication_press_NO_porosity,Lee 2025 co-rolled film FABRICATION press 500 MPa 3min (CIP 500 for pouch); =our 300MPa cold-press family (Doux 370/Minnmann 380/Sakuda >350). NO compaction porosity reported (void = post-cycle interface only) -> porosity_pct BLANK on purpose; SSE layer 50um + cathode 120um; do NOT compare absolute density (theirs 500MPa + no porosity number)
