freq_Hz,ReZ_ohm,negImZ_ohm,absZ_ohm,phase_deg,Ewe_V,I_mA,cycle
7.0000185e+06,9.871014,-10.429607,14.36014,46.57616,0.00017782002,0.039979238,1.0
5.553741e+06,9.373422,-9.190714,13.127462,44.436115,0.00024726597,0.034270614,1.0
4.406287e+06,9.997724,-6.773458,12.076183,34.11764,0.00017317919,0.032389477,1.0
3.4959082e+06,10.925914,-4.122625,11.677826,20.672766,0.00012908125,0.031678002,1.0
2.773623e+06,11.890598,-1.831226,12.030782,8.755121,0.0001122696,0.0310522,1.0
2.2005735e+06,12.902785,0.044568256,12.902863,-0.19790787,0.000101906764,0.030983282,1.0
1.7459175e+06,13.974638,1.5525327,14.060614,-6.339362,0.000102279526,0.030413352,1.0
1.3851971e+06,15.043682,2.7594552,15.294671,-10.394189,9.939062e-05,0.030485991,1.0
1.0990016e+06,16.084229,3.6809368,16.500051,-12.890376,0.00010144082,0.029960763,1.0
871938.1,17.156288,4.5188017,17.741415,-14.756021,9.676263e-05,0.02974471,1.0
691786.7,18.294247,5.11071,18.994705,-15.608323,9.2774055e-05,0.029187819,1.0
548860.6,19.348976,5.543867,20.127527,-15.988063,9.8663724e-05,0.029195268,1.0
435458.72,20.419512,6.028063,21.290703,-16.447176,0.00010617491,0.029020192,1.0
345494.38,21.58347,6.3105216,22.487082,-16.297735,0.00010369604,0.028066585,1.0
274105.56,22.71319,6.5479474,23.638203,-16.081654,0.000105392115,0.028131774,1.0
217478.84,23.775314,6.722173,24.707352,-15.787588,0.000108802895,0.027593508,1.0
172543.05,24.97347,6.771989,25.875357,-15.171894,0.00010090031,0.027695945,1.0
136895.03,26.05613,6.814132,26.932402,-14.655624,0.00010179495,0.02766242,1.0
108614.164,27.212263,6.89475,28.072136,-14.217787,0.00010583943,0.027628895,1.0
86169.46,28.30059,6.808244,29.108,-13.526553,0.00010160856,0.02748362,1.0
68364.016,29.494772,6.7707443,30.261932,-12.9286785,9.238265e-05,0.026740475,1.0
54242.133,30.533415,6.602817,31.239183,-12.202257,8.979195e-05,0.027902683,1.0
43033.695,31.557163,6.3788505,32.195408,-11.427581,8.466645e-05,0.028148534,1.0
34144.895,32.58568,6.163532,33.163467,-10.710872,8.945646e-05,0.028273324,1.0
27093.232,33.47772,6.0140643,34.013622,-10.184204,9.363142e-05,0.02821372,1.0
21489.018,34.376217,5.7368674,34.851627,-9.474481,9.7675904e-05,0.02809452,1.0
17053.887,35.23668,5.388748,35.646347,-8.694882,0.00010377059,0.028304987,1.0
13528.057,36.0727,4.985757,36.415623,-7.86923,0.00010149673,0.029143116,1.0
10735.229,36.817467,4.80936,37.130253,-7.442244,0.00011001437,0.027867295,1.0
8517.451,37.483414,4.4600496,37.747826,-6.7855663,0.00016775548,0.030133972,1.0
6753.7354,38.22074,4.1849933,38.449177,-6.2487283,0.00017252687,0.03043756,1.0
5359.6797,38.621857,3.70494,38.799156,-5.479536,0.00016587302,0.030208472,1.0
4253.6406,39.26204,3.6266901,39.429184,-5.2775164,0.00017131538,0.0033934405,1.0
3373.921,39.769287,3.3145583,39.907173,-4.764287,0.0001589769,0.0034618417,1.0
2677.5674,40.135777,3.117556,40.25667,-4.441545,0.00015221123,0.0033077062,1.0
2124.317,40.64403,2.9405622,40.750267,-4.1380925,0.00016061706,0.0035770235,1.0
1685.5374,41.00178,2.6592705,41.08793,-3.71086,0.00017379425,0.0035175683,1.0
1337.1407,41.27009,2.4882045,41.345028,-3.450229,0.0001701039,0.0036223133,1.0
1061.0223,41.654137,2.3487833,41.720306,-3.2273629,0.00016736408,0.0036361057,1.0
841.34937,41.85582,2.2002077,41.91361,-3.0090606,0.000171129,0.0035451525,1.0
667.64954,42.14414,2.1704578,42.199993,-2.948175,0.0001744466,0.0034741426,1.0
529.83014,42.414593,2.051054,42.464157,-2.7685108,0.0001679605,0.0035263286,1.0
420.40347,42.67545,2.0585742,42.72507,-2.7616875,0.0001692279,0.0035132822,1.0
333.39932,42.91267,2.0733013,42.962727,-2.766062,0.00016810962,0.0034719058,1.0
264.5768,43.12307,2.0922823,43.173798,-2.7777479,0.0001667863,0.0035785146,1.0
209.93277,43.39425,2.1332376,43.44665,-2.8143637,0.00016570528,0.0033863578,1.0
166.5458,43.59068,2.235912,43.647984,-2.9363194,0.00017109173,0.0034008955,1.0
132.1569,43.930294,2.3495834,43.993084,-3.0615106,0.00016997343,0.0034685507,1.0
104.8319,44.15546,2.52416,44.22755,-3.2717693,0.00015910737,0.0033119926,1.0
83.16338,44.496838,2.6441655,44.575333,-3.4007263,0.00016615259,0.0034707873,1.0
65.992546,44.835728,2.9182818,44.9306,-3.7240326,0.00016700996,0.003401641,1.0
52.362606,45.234142,3.1392007,45.34294,-3.9699001,0.00016212674,0.0034672464,1.0
41.52827,45.735683,3.368413,45.85956,-4.2122035,0.0001649784,0.0034789883,1.0
32.964127,46.39767,3.6969233,46.54472,-4.5556498,0.00017890111,0.0037399186,1.0
26.146248,47.049572,3.8492708,47.206768,-4.6771283,0.0001754717,0.0037708574,1.0
20.750315,47.742054,3.8762307,47.899155,-4.6417265,0.00017187452,0.0037270584,1.0
16.45893,48.52597,3.9356003,48.685303,-4.636709,0.00016915334,0.0037151303,1.0
13.064369,49.367825,3.7907183,49.513145,-4.390852,0.00016783936,0.0035247444,1.0
10.361374,50.011246,3.6888738,50.14711,-4.218548,0.00017060712,0.003724822,1.0
8.223653,50.721813,3.245136,50.825516,-3.6607432,0.000169815,0.0036969583,1.0
6.5212846,51.217266,3.0298445,51.306805,-3.3854837,0.00016822144,0.0038329216,1.0
5.1738396,51.73112,2.7063954,51.80187,-2.9947891,0.0001633196,0.0036700265,1.0
4.103206,52.111065,2.3428578,52.163704,-2.5742235,0.00017172542,0.0035750666,1.0
3.257923,52.33409,1.9662867,52.371017,-2.1516943,0.00016640422,0.0035347156,1.0
2.5834963,52.533436,1.6895769,52.5606,-1.842108,0.00017032144,0.0035998889,1.0
2.049446,52.677753,1.3881358,52.69604,-1.5094782,0.00017177669,0.0008873205,1.0
1.6259104,52.806755,1.1554155,52.819393,-1.2534357,0.00016399816,0.00082730554,1.0
1.2902544,52.891396,1.0015187,52.900875,-1.0847878,0.00015672176,0.0006641929,1.0
1.0236502,52.953114,0.80212396,52.959187,-0.8678395,0.00016113288,0.0007402928,1.0
0.8126199,53.025234,0.6797643,53.02959,-0.7344709,0.00015570008,0.0005197794,1.0
0.64438283,53.031475,0.5275552,53.0341,-0.56995755,0.00014576783,0.00029702645,1.0
0.51122236,53.08521,0.44610667,53.087082,-0.4814793,0.00015160773,0.00049589074,1.0
0.4058443,53.065018,0.3695682,53.066303,-0.39902663,0.0001570954,0.00074316654,1.0
