freq_Hz,ReZ_ohm,negImZ_ohm,absZ_ohm,phase_deg,Ewe_V,I_mA,cycle
7.0000185e+06,6.022948,-25.183107,25.893335,76.549446,3.667925,0.055353913,1.0
5.553741e+06,5.4523306,-22.888737,23.529177,76.601265,3.66796,0.038674243,1.0
4.406287e+06,5.2951894,-19.62553,20.327333,74.900505,3.6678975,0.036155425,1.0
3.4959082e+06,4.859489,-15.57409,16.314623,72.67083,3.6678863,0.034776784,1.0
2.773623e+06,4.613447,-12.369966,13.2022705,69.54672,3.6678724,0.035846163,1.0
2.2005735e+06,4.527379,-9.6964,10.701277,64.9715,3.6678739,0.03597099,1.0
1.7459175e+06,4.5145025,-7.570921,8.814736,59.192585,3.667871,0.035337564,1.0
1.3851971e+06,4.5416665,-5.9068356,7.4510026,52.44392,3.6678734,0.03500222,1.0
1.0990016e+06,4.568237,-4.582177,6.4703274,45.087288,3.6678658,0.036375277,1.0
871938.1,4.6034074,-3.5312274,5.8018036,37.49145,3.6678684,0.036708765,1.0
691786.7,4.66017,-2.708839,5.3902683,30.168354,3.667861,0.036136817,1.0
548860.6,4.7136397,-2.0440383,5.1377516,23.443642,3.6678603,0.0357344,1.0
435458.72,4.765094,-1.5219353,5.00224,17.713093,3.6678536,0.03625792,1.0
345494.38,4.834697,-1.0917182,4.956424,12.724497,3.6678526,0.036900662,1.0
274105.56,4.8958764,-0.7518484,4.95327,8.730575,3.667848,0.03754713,1.0
217478.84,4.969251,-0.46928185,4.9913607,5.39485,3.6678443,0.037565764,1.0
172543.05,5.0351276,-0.24604534,5.041136,2.7975764,3.667846,0.03734965,1.0
136895.03,5.111807,-0.060440786,5.112164,0.6774201,3.6678386,0.038275577,1.0
108614.164,5.1807637,0.10298963,5.1817875,-1.1388463,3.6678534,0.037286304,1.0
86169.46,5.2619348,0.2430146,5.2675433,-2.644241,3.6678452,0.03821037,1.0
68364.016,5.35596,0.35752004,5.3678794,-3.8189316,3.6678514,0.038411576,1.0
54242.133,5.45502,0.46522817,5.4748225,-4.874641,3.6678555,0.03779305,1.0
43033.695,5.5486655,0.55855423,5.576708,-5.748293,3.6678479,0.038091134,1.0
34144.895,5.6614294,0.6436035,5.697895,-6.4856644,3.6678495,0.0390301,1.0
27093.232,5.777668,0.7250219,5.822981,-7.1524854,3.6678543,0.039667256,1.0
21489.018,5.9093676,0.8013584,5.963455,-7.7226663,3.667856,0.040496305,1.0
17053.887,6.055384,0.8763344,6.118467,-8.234668,3.6678622,0.040492576,1.0
13528.057,6.198485,0.9477129,6.2705164,-8.692878,3.6678648,0.040781345,1.0
10735.229,6.3538394,1.0136234,6.4341826,-9.063978,3.667862,0.040432956,1.0
8517.451,6.5207195,1.0542865,6.6053996,-9.184248,3.6679509,0.04567925,1.0
6753.7354,6.694565,1.1069373,6.785463,-9.388831,3.667954,0.044988066,1.0
5359.6797,6.87692,1.1580992,6.9737525,-9.559133,3.667964,0.0459438,1.0
4253.6406,7.059378,1.1912194,7.159178,-9.578023,3.6679592,0.046981506,1.0
3373.921,7.2540326,1.2319596,7.3579016,-9.638633,3.667962,0.046409555,1.0
2677.5674,7.441166,1.2423831,7.5441675,-9.47872,3.667956,0.046765395,1.0
2124.317,7.61966,1.2628624,7.723603,-9.410509,3.667956,0.046977777,1.0
1685.5374,7.814922,1.2956856,7.9216037,-9.413798,3.667953,0.048032254,1.0
1337.1407,7.998944,1.3367155,8.109865,-9.487118,3.667958,0.04860234,1.0
1061.0223,8.199506,1.3486494,8.309678,-9.3403425,3.667965,0.049373634,1.0
841.34937,8.382707,1.3713038,8.49413,-9.290566,3.6679645,0.049176157,1.0
667.64954,8.599114,1.4157845,8.714885,-9.349475,3.6679583,0.04940158,1.0
529.83014,8.788831,1.4557269,8.908574,-9.404729,3.6679564,0.049338236,1.0
420.40347,8.975999,1.4945982,9.099582,-9.453616,3.6679547,0.04904388,1.0
333.39932,9.193719,1.557633,9.324736,-9.615945,3.6679778,0.04903643,1.0
264.5768,9.415073,1.6257645,9.554408,-9.797039,3.6679652,0.049356867,1.0
209.93277,9.647375,1.6988331,9.79581,-9.986985,3.667965,0.049580432,1.0
166.5458,9.887151,1.772296,10.044739,-10.162481,3.667962,0.05047469,1.0
132.1569,10.141259,1.8810571,10.314239,-10.508116,3.6679583,0.051661436,1.0
104.8319,10.413071,1.9635696,10.596586,-10.678745,3.6679564,0.052984186,1.0
83.16338,10.6886215,2.0889463,10.890837,-11.058298,3.6679642,0.052799746,1.0
65.992546,10.999862,2.1988876,11.217489,-11.3045,3.66797,0.05239733,1.0
52.362606,11.30593,2.3261614,11.54275,-11.626195,3.6679742,0.051650252,1.0
41.52827,11.675116,2.453695,11.930169,-11.868807,3.6679745,0.051810473,1.0
32.964127,12.034128,2.5649793,12.304444,-12.032095,3.6679795,0.05228927,1.0
26.146248,12.423685,2.7156358,12.717021,-12.330086,3.6679773,0.05248675,1.0
20.750315,12.861684,2.8215806,13.167544,-12.373465,3.6679647,0.052833278,1.0
16.45893,13.30594,2.949209,13.628861,-12.497346,3.6679718,0.05324128,1.0
13.064369,13.788488,3.0312052,14.117742,-12.398452,3.6679623,0.04296998,1.0
10.361374,14.2648945,3.1162274,14.601304,-12.322917,3.6679668,0.042849552,1.0
8.223653,14.791349,3.206064,15.134823,-12.229828,3.6679628,0.04302786,1.0
6.5212846,15.318628,3.2238665,15.654191,-11.884689,3.6679635,0.04289448,1.0
5.1738396,15.8389635,3.2619748,16.171371,-11.637145,3.6679595,0.04354394,1.0
4.103206,16.363823,3.2410674,16.681704,-11.203177,3.6679683,0.04347301,1.0
3.257923,16.902948,3.2384408,17.210379,-10.845883,3.66797,0.043546736,1.0
2.5834963,17.42719,3.1599889,17.711367,-10.277503,3.6679754,0.04358937,1.0
2.049446,17.958765,3.091889,18.22298,-9.76862,3.6679666,0.04379084,1.0
1.6259104,18.42244,2.982987,18.662382,-9.197584,3.66797,0.043777518,1.0
1.2902544,18.91578,2.860393,19.130827,-8.598965,3.66797,0.04505665,1.0
1.0236502,19.345955,2.7603838,19.541895,-8.120455,3.6679745,0.044630695,1.0
0.8126199,19.748987,2.608662,19.920532,-7.5246906,3.6679785,0.046071175,1.0
0.64438283,20.187685,2.4855967,20.340128,-7.0191817,3.6679785,0.047349546,1.0
0.51122236,20.53487,2.3893101,20.673405,-6.6367393,3.6679754,0.047766928,1.0
0.4058443,20.883749,2.2904263,21.008974,-6.2589025,3.6679802,0.04879292,1.0
0.32181963,21.195929,2.2097018,21.310799,-5.951657,3.6679764,0.050301544,1.0
0.25531054,21.516424,2.1768303,21.626259,-5.7769938,3.6679502,0.05230975,1.0
0.2025798,21.876982,2.1376588,21.981173,-5.5808086,3.667961,0.05472345,1.0
0.16068146,22.246914,2.17309,22.352797,-5.5789824,3.6679752,0.05770404,1.0
0.12750551,22.63949,2.2041469,22.746532,-5.560706,3.6679711,0.059759602,1.0
0.10123998,23.136106,2.3976762,23.260014,-5.9166427,3.6679738,0.061294463,1.0
0.08030087,23.707382,2.6009042,23.849627,-6.2608027,3.6679773,0.06297173,1.0
