freq_Hz,ReZ_ohm,negImZ_ohm,absZ_ohm,phase_deg,Ewe_V,I_mA,cycle
7.0000185e+06,8.429231,-15.524059,17.66489,61.49899,3.615876,0.049284346,1.0
5.553741e+06,6.400316,-14.843455,16.164536,66.67489,3.6159558,0.044827335,1.0
4.406287e+06,5.9880977,-13.023342,14.334042,65.30715,3.6158755,0.04102781,1.0
3.4959082e+06,5.7556424,-10.636463,12.093873,61.581127,3.615834,0.03843147,1.0
2.773623e+06,5.6501017,-8.443817,10.159808,56.21191,3.615808,0.038625177,1.0
2.2005735e+06,5.6239753,-6.6138387,8.681703,49.62434,3.6158023,0.036930293,1.0
1.7459175e+06,5.627446,-5.1260386,7.6121235,42.330376,3.6158,0.036341738,1.0
1.3851971e+06,5.676871,-3.9418557,6.911229,34.775,3.615797,0.03643673,1.0
1.0990016e+06,5.728555,-2.9935606,6.463571,27.590134,3.6157963,0.036511235,1.0
871938.1,5.796658,-2.2429662,6.215476,21.153511,3.6157904,0.035794165,1.0
691786.7,5.880219,-1.6478665,6.1067533,15.6549425,3.6157928,0.03641439,1.0
548860.6,5.9612083,-1.1708547,6.075105,11.1121435,3.6157837,0.036287736,1.0
435458.72,6.043793,-0.7766001,6.093484,7.322126,3.6157925,0.036142457,1.0
345494.38,6.133689,-0.46639922,6.151396,4.3483424,3.6158047,0.03598601,1.0
274105.56,6.2166295,-0.20479232,6.2200017,1.8867933,3.6158025,0.03604747,1.0
217478.84,6.3147635,0.0026422194,6.314764,-0.023973664,3.6157968,0.03614432,1.0
172543.05,6.4007964,0.18169779,6.4033747,-1.6260041,3.6158042,0.035511065,1.0
136895.03,6.493634,0.33209115,6.5021205,-2.9276147,3.6158032,0.035734568,1.0
108614.164,6.6036935,0.47503838,6.6207576,-4.114499,3.6158125,0.03636968,1.0
86169.46,6.7074842,0.6053705,6.734747,-5.157143,3.615815,0.03591709,1.0
68364.016,6.809936,0.7317883,6.8491416,-6.1334057,3.6158085,0.035743874,1.0
54242.133,6.9376426,0.8504293,6.989572,-6.9885597,3.6158004,0.036099613,1.0
43033.695,7.0554843,0.98826975,7.124362,-7.973608,3.6157956,0.03647212,1.0
34144.895,7.2116685,1.1104118,7.296655,-8.753336,3.6158009,0.03538627,1.0
27093.232,7.3756933,1.2503763,7.4809284,-9.621682,3.6157959,0.03500073,1.0
21489.018,7.567386,1.407764,7.697216,-10.538292,3.6157875,0.03481075,1.0
17053.887,7.7687807,1.5525752,7.9224014,-11.301558,3.6157954,0.03454069,1.0
13528.057,7.994568,1.7184447,8.177174,-12.131227,3.6157937,0.03514973,1.0
10735.229,8.239413,1.8763468,8.450361,-12.82908,3.6157956,0.034808893,1.0
8517.451,8.523248,2.0673537,8.770388,-13.634054,3.615855,0.036770117,1.0
6753.7354,8.824954,2.2483933,9.106871,-14.293541,3.6158514,0.037047632,1.0
5359.6797,9.168527,2.4215302,9.482916,-14.794748,3.6158507,0.037669707,1.0
4253.6406,9.53062,2.61279,9.882277,-15.3308,3.6158464,0.036531713,1.0
3373.921,9.93592,2.8235765,10.329331,-15.864019,3.6158528,0.037435032,1.0
2677.5674,10.3835945,3.0084999,10.810648,-16.1582,3.6158564,0.036812954,1.0
2124.317,10.887541,3.2283733,11.356097,-16.516142,3.6158485,0.036919113,1.0
1685.5374,11.419824,3.3813026,11.909894,-16.493526,3.615849,0.03621136,1.0
1337.1407,12.015763,3.5296915,12.52347,-16.370419,3.615847,0.03624861,1.0
1061.0223,12.685799,3.6374686,13.196995,-15.9994755,3.6158493,0.03633987,1.0
841.34937,13.362488,3.634134,13.847852,-15.21448,3.615862,0.0356973,1.0
667.64954,14.017282,3.5404706,14.457494,-14.175231,3.6158605,0.035298724,1.0
529.83014,14.674147,3.414007,15.066055,-13.097134,3.6158602,0.036196455,1.0
420.40347,15.250538,3.2167766,15.586102,-11.910734,3.6158533,0.03530617,1.0
333.39932,15.772099,2.9949985,16.053944,-10.752006,3.6158535,0.035315484,1.0
264.5768,16.220089,2.7212484,16.446777,-9.523833,3.6158519,0.035641424,1.0
209.93277,16.565464,2.4988601,16.752878,-8.578253,3.6158576,0.03521491,1.0
166.5458,16.9135,2.2852683,17.067188,-7.694922,3.6158571,0.034609593,1.0
132.1569,17.129517,2.1522388,17.264196,-7.161403,3.6158605,0.034432653,1.0
104.8319,17.406897,1.9835044,17.51954,-6.5007772,3.615856,0.035088256,1.0
83.16338,17.656868,1.8139647,17.749802,-5.865659,3.61586,0.035073355,1.0
65.992546,17.87857,1.7508019,17.964092,-5.5929933,3.6158583,0.034186803,1.0
52.362606,18.078667,1.6935625,18.157818,-5.3517017,3.6158562,0.03500817,1.0
41.52827,18.303825,1.6274116,18.37603,-5.0808654,3.6158564,0.007964756,1.0
32.964127,18.551023,1.6425159,18.623596,-5.0597997,3.6158564,0.007875108,1.0
26.146248,18.738075,1.6022629,18.806454,-4.887382,3.615861,0.008084413,1.0
20.750315,18.933144,1.5642674,18.997654,-4.7230835,3.6158648,0.008155422,1.0
16.45893,19.168259,1.5944961,19.234463,-4.7551556,3.6158702,0.008408898,1.0
13.064369,19.377089,1.5773872,19.441185,-4.6538873,3.6158564,0.007868585,1.0
10.361374,19.592422,1.6169696,19.659035,-4.7179484,3.6158566,0.007897847,1.0
8.223653,19.826447,1.6312988,19.893444,-4.70364,3.6158614,0.007915086,1.0
6.5212846,20.08203,1.6525373,20.149908,-4.7042336,3.6158638,0.0077181775,1.0
5.1738396,20.31461,1.6659862,20.382809,-4.688293,3.6158545,0.0078059616,1.0
4.103206,20.531649,1.686454,20.600794,-4.6956906,3.6158621,0.0076572313,1.0
3.257923,20.782673,1.7570921,20.856817,-4.8326373,3.6158624,0.0076980484,1.0
2.5834963,21.054207,1.800102,21.13102,-4.886816,3.6158588,0.0075929994,1.0
2.049446,21.308987,1.8853343,21.392227,-5.0561366,3.6158614,0.0075450316,1.0
1.6259104,21.594215,1.8964509,21.67733,-5.018963,3.6158497,0.0068723606,1.0
1.2902544,21.880663,2.008195,21.972626,-5.243883,3.6158507,0.0067188204,1.0
1.0236502,22.180592,2.0639331,22.276411,-5.316139,3.6158557,0.0041827513,1.0
0.8126199,22.51375,2.1530063,22.616463,-5.462625,3.6158664,0.0046266275,1.0
0.64438283,22.859547,2.2648885,22.971474,-5.6583104,3.615863,0.004332431,1.0
0.51122236,23.211824,2.3636234,23.331856,-5.814298,3.6158597,0.0042369636,1.0
0.4058443,23.594744,2.4555655,23.722178,-5.9415293,3.6158533,0.003743501,1.0
0.32181963,24.0219,2.5713024,24.159124,-6.109673,3.6158726,0.004143994,1.0
0.25531054,24.490784,2.7304149,24.642517,-6.3614902,3.615854,0.003118097,1.0
0.2025798,24.985504,2.8709006,25.1499,-6.5546913,3.615847,0.0028743325,1.0
0.16068146,25.529213,3.0409205,25.709684,-6.7928,3.6158557,0.0031286902,1.0
0.12750551,26.190392,3.1863909,26.383512,-6.9366617,3.6158557,0.003363953,1.0
0.10123998,26.905678,3.40523,27.120308,-7.2131047,3.6158626,0.0042840485,1.0
0.08030087,27.667145,3.6738842,27.910004,-7.563981,3.6158595,0.0052242707,1.0
0.063687116,28.586662,3.9171102,28.853786,-7.802409,3.615859,0.0059534796,1.0
0.050522164,29.69441,4.163137,29.984825,-7.980812,3.6158628,0.007956953,1.0
0.040071532,31.045357,4.6104703,31.385834,-8.447119,3.6158667,0.00879748,1.0
0.03180936,32.645172,5.141164,33.047523,-8.949786,3.615857,0.010148842,1.0
0.02525203,34.495846,5.7545037,34.972527,-9.470719,3.6158524,0.012063757,1.0
0.020016208,36.86838,6.3494434,37.411133,-9.771581,3.6158426,0.013442418,1.0
0.01587741,40.07529,7.170371,40.711708,-10.144164,3.6158478,0.015278765,1.0
0.01260668,44.03754,8.37723,44.827255,-10.770646,3.61585,0.016602106,1.0
0.009997264,49.02832,9.799086,49.997982,-11.302541,3.6158571,0.017542835,1.0
