source,level,property,material,value,unit,condition,precision,note
# Han 2025 (Adv. Mater. 37 2506266) doi 10.1002/adma.202506266. EXPERIMENT (no DEM/MPM; DFT adsorption only). LIQUID-electrolyte LIB (NCM811 + carbonate LiPF6 + Li-metal 100um) WET slurry process -- NOT ASSB/LPSCl/dry. Use ONLY as BINDER PROPERTY ANCHORS (SDCP conductive-binder modeling / A3 --coh / W2 binder-sigma class / coat-vs-fibril seeding). ICEP = [P(AN-co-AMPS)]2-b-PEO46 triblock (RAFT Mw~100kDa); champion = ICEP-8 ([AN]/[AMPS]~8). Composition/calendering/porosity are SI-only (n/a here).
# --- binder FILM properties (Fig 1) ---
han2025,film,sigma_ionic,ICEP-8,1.35e-4,S/cm,RT EIS SS|film|SS,exact_text,swelling state NOT stated in main text; PVDF value implies electrolyte-swollen films -> DO NOT transfer to dry ASSB binder
han2025,film,sigma_ionic,PVDF,0.65e-4,S/cm,RT EIS SS|film|SS,exact_text,impossibly high for dry PVDF (~1e-9) -> swollen inferred
han2025,film,E_nanoindent,ICEP-8,6.03,GPa,0.1 mN depth 96.5 nm,exact_text,surface/glassy hard-block dominated; bulk tensile is MPa-scale -> do NOT use 6 GPa as MPM binder E
han2025,film,E_nanoindent,PVDF,3.73,GPa,0.1 mN depth 120.0 nm,exact_text,
han2025,film,hardness,ICEP-8,0.42,GPa,nanoindent,exact_text,
han2025,film,hardness,PVDF,0.34,GPa,nanoindent,exact_text,
han2025,film,elongation_at_break,ICEP-8,283,%,tensile free-standing film,exact_text,ICEP-5 212 / ICEP-19 167
han2025,film,elongation_at_break,PVDF,31.8,%,tensile,exact_text,brittle
han2025,film,toughness,ICEP-8,601.2,J/m3(stated),tensile area,exact_text_unit_suspect,unit inconsistent with curve area ~7 MJ/m3 -> likely MJ/m3 typo; use RATIO vs PVDF (4.0x) only
han2025,film,toughness,PVDF,151.8,J/m3(stated),tensile area,exact_text_unit_suspect,
han2025,film,tensile_flow_stress,ICEP-8,~2.7,MPa,plateau Fig1a,digitized_trend,STAR MPM --coh / binder-bridge stress-scale anchor candidate
