# Choi, Ku, Kim, Gwon, Yoon, Yu, Kim — ACS Appl. Mater. Interfaces 16 (2024) 26066-26078
# DOI 10.1021/acsami.4c01322. "Formulating Interfacial Impedances for Designing High-Energy and High-Power All-Solid-State Battery Cathodes"
# Samsung Advanced Institute of Technology (SAIT). ANALYTICAL/EQUIVALENT-CIRCUIT formulation (TLM = de Levie / transmission-line) + EIS fits + cell tests.
# Materials: SE = LPSC argyrodite Li5.75PS4.75Cl1.25 (Mitsui M&S); CAM = NCM LiNi0.90Co0.05Mn0.05O2 (JX) and NCA LiNi0.94Co0.04Al0.02O2 (Samsung SDI); conductor = carbon fiber CF (Teijin). Composite cathode SSE:NCM = 50:50 v/v for symmetric cells.
# KEY: this is an IMPEDANCE FORMULATION paper (no DEM/MPM/FEM microstructure). r_i = bulk(intragrain) + GB(SE/SE) ionic resistivity; r_i,gb = grain-boundary; r_i/e = charge-transfer (SE/CAM); r_e = electronic.
# All r in Ohm.cm (resistivity) or Ohm.cm2 (areal R) as marked; z_i/e in Ohm.cm3 (charge-transfer impedance per unit volume); eps_pore dimensionless; alpha Bruggeman exponent.
# provenance: stated_text | digitized_figure(TREND only, approximate) | derived
quantity,cell_or_sample,CAM,SE_vol_frac_eps_i,pressure_MPa,temperature_C,value,unit,provenance,figure_table,note
# ============ PRISTINE SE (Li5.75PS4.75Cl1.25 pellet, 300 MPa) — Fig 2c,d ============
R_i_bulk_pristineSE,pristine_SSE_pellet,n/a,1.0,300,25,178,Ohm.cm,stated_text,Fig2c,resistivity r_i,bulk of pristine SE pellet
R_i_gb_pristineSE,pristine_SSE_pellet,n/a,1.0,300,25,631,Ohm.cm,stated_text,Fig2d,grain-boundary resistivity (small HF semicircle >100 kHz)
R_i_total_pristineSE,pristine_SSE_pellet,n/a,1.0,300,25,809,Ohm.cm,stated_text,Fig2c-d,r_i = R_i,bulk+R_i,gb = 178+631; pristine SE ionic resistivity
E_a_ionic_pristineSE,pristine_SSE_pellet,n/a,1.0,300,25,0.33,eV,stated_text,Fig2c_inset,Arrhenius activation energy of pristine SE ionic conduction (8-fold blocking)
# ============ COMPOSITE CATHODE total ionic resistivity (NCM 50:50 v/v) — text ============
R_i_composite,composite_cathode,NCM,0.5,300,25,12800,Ohm.cm,stated_text,Fig3a_text,r_i(=r_i,bulk) of composite ~16x higher than pristine SE r_i; LOW SE fraction extreme
R_i_composite_low_SE,composite_cathode,NCM,0.54,300,25,18400,Ohm.cm,stated_text,Fig3c,total r_i at eps_i=0.54 (LOW SE) - dominated by r_i,gb
R_i_bulk_composite_low_SE,composite_cathode,NCM,0.54,300,25,610,Ohm.cm,stated_text,Fig3c,0.61 kOhm.cm; bulk part at low SE (similar to high SE)
R_i_gb_composite_low_SE,composite_cathode,NCM,0.54,300,25,17700,Ohm.cm,stated_text,Fig3c,17.7 kOhm.cm; GB part 29x bulk at low SE -> r_i,gb DOMINATES composite resistivity
R_i_bulk_composite_high_SE,composite_cathode,NCM,1.0,300,25,170,Ohm.cm,stated_text,Fig3c,0.17 kOhm.cm at eps_i=1.0
R_i_gb_composite_high_SE,composite_cathode,NCM,1.0,300,25,630,Ohm.cm,stated_text,Fig3c,0.63 kOhm.cm at eps_i=1.0
# ============ Tortuosity factor (Bruggeman tau_eff^2 = eps_i^-alpha, eq 5) — Fig 3d ============
alpha_Bruggeman_bulk,composite_cathode,NCM,n/a,300,25,0.52,dimensionless,stated_text,Fig3d,alpha for r_i,bulk ~ ideal Bruggeman 0.5 (spherical insulating particles)
alpha_Bruggeman_gb,composite_cathode,NCM,n/a,300,25,4.3,dimensionless,stated_text,Fig3d,alpha for r_i,gb MUCH higher than ideal -> GB GROWTH not path elongation drives resistivity rise
