# Jackson & Green (2005) J. Tribology 127(2) 343-354
# A Finite Element Study of Elasto-Plastic Hemispherical Contact Against a Rigid Flat
# DOI 10.1115/1.1866166  (Auburn / Georgia Tech). FEM (ANSYS, confirmed by ABAQUS), axisymmetric 2D, elastic-perfectly-plastic, von Mises.
# Single-contact deformable hemisphere (R) vs RIGID FLAT (reverse of Mesarovic-Fleck dissimilar two-sphere). REFINES Kogut-Etsion 2002.
# KEY RESULT: mean contact pressure / hardness H is NOT a constant ~3*S_y; it EVOLVES with deformed geometry (a/R) and material (e_y=S_y/E').
# All values STATED unless marked digitized(approx, TREND-only). Normalized by Hertz critical values (omega_c, P_c, A_c). omega*=omega/omega_c etc.
# quantity,value,units,regime/condition,source,notes
# --- FEM model setup ---
fem_code,ANSYS,software,FE solver,stated,"axisymmetric 2D; confirmed identical by ABAQUS; mesh orders of magnitude finer than Kogut-Etsion[4]"
material_model,elastic-perfectly-plastic,constitutive,von Mises yield,stated,"NO strain hardening (cf Mesarovic-Fleck m=3/5/inf); tangential/sliding not modeled"
mesh_total_elements,11101,4-and-8-node elements,converged mesh,stated,"mesh refined x2 until force & area differ <1% between iterations"
mesh_contact_elements,100,contact elements,contact region,stated,">=30 contact elements in contact for each interference (max contact-radius error 3.3%)"
loading_method,displacement-controlled,BC,base nodes displaced by omega,stated,"displacement (not force) control; converges faster; radial displ of base restricted"
E_modulus,200,GPa,held constant,stated,"elastic modulus fixed for all 5 materials"
poisson_ratio,0.32,dimensionless,held constant,stated,"nu=0.32 (steel-like); C=1.295*exp(0.736*nu)=1.639"
sphere_radius_R,1,micron,tabulated results,stated_Table1,"R=1um, E=200GPa, nu=0.32 baseline"
material_yield_strengths_Sy,0.210;0.5608;0.9115;1.2653;1.619,GPa,5 materials (Mat.1-5),stated,"cover typical engineering steel yield range; Mat.1 weakest, Mat.5 strongest"
yield_strain_ey_range,0.00105-0.0081,dimensionless,e_y=S_y/E' for 5 mats,stated,"e_y=S_y/E'; Mat.1 ~0.00105, up to Mat.5; Table3 lists 0.00456/0.00633/0.00810"
contact_area_radius_error_max,8.1,percent,vs Hertz below critical,stated,"contact RADIUS differs from Hertz by max 8.1%, average 4.4%; FEM->Hertz below critical"
contact_force_error_max,2,percent,vs Hertz below critical,stated,"contact force differs from Hertz by no more than 2%"
# --- critical (onset of yield) values, derived analytically (Appendix B, von Mises) ---
critical_interference_omega_c,(pi*C*S_y/(2E'))^2*R,formula,onset of yielding,eq1,"omega_c critical interference; C from VM yield criterion solved numerically"
C_yield_coefficient,1.295*exp(0.736*nu),formula,critical yield stress coefficient,eq2,"C=p_oc/S_y at first yield; eq B6; for nu=0.32 C=1.639; differs from numerical avg 1.2% max 3.1%"
critical_force_Pc,(4/3)*(R/E')^2*(C*pi*S_y/2)^3,formula,critical contact force,eq3,"P_c at initial yielding"
