case	verdict	plate_z	box_lo_z	floor_gap	solid_top	solid_bot	plate_gap	lx	ly	square	eps_harvest	eps_webapp	phi_scale	resid	mesh_pick	floor_out_pct	plate_out_pct	floor_center_out	plate_center_out	floor_center_out_by_phase	floor_deepest_phase	floor_deepest_over_r	eps_pushback	dH_pushback	note
lhs00_000	SAME	0.0340041	-0.01	0.0	0.034607900000000004	-0.0019054299999999996	-0.0006038000000000016	0.05	0.05	True	11.882791979825246	11.882791979825246	1.0	0.0	exact	0.4666729255438247	0.11026001541025704	57	0	{'AM_S': 57}	AM_P	0.34644181818181813	12.328493927347505	0.00017286909136911277	
lhs00_001	SAME	0.0288022	-0.01	0.0	0.0292191	-0.001237014	-0.0004169000000000013	0.05	0.05	True	18.414998538963356	18.414998538963378	1.0	2.1316282072803006e-14	exact	0.43830055572734694	0.04821655273232744	56	0	{'AM_S': 56}	AM_S	2.474028	18.737549512471308	0.00011432312948274695	
lhs00_002	SAME	0.0416245	-0.01	0.0	0.0423173	-0.00289032	-0.0006928000000000004	0.05	0.05	True	-1.6914624257526878	-1.6914624257526878	1.0	0.0	exact	0.7785731640681761	0.17526019898057527	0	0	{}	AM_P	0.48172	-0.7145642912587791	0.0004037439538699464	
lhs00_003	SAME	0.0356405	-0.01	0.0	0.0360589	-0.00220635	-0.00041839999999999933	0.05	0.05	True	6.29704048722809	6.29704048722809	1.0	0.0	exact	0.7567490868400228	0.07469470511530012	0	0	{}	AM_P	0.6303857142857143	7.0214248875849705	0.00027767065896315557	
lhs00_004	SAME	0.0358282	-0.01	0.0	0.0363728	-0.0044509	-0.0005445999999999993	0.05	0.05	True	6.208123491082162	6.208123491082174	1.0	0.0	exact	1.0822927731076792	0.07412193671754778	15	0	{'AM_S': 1, 'SE': 14}	AM_P	0.5934533333333333	7.214496455678676	0.0003886009179540975	
lhs00_005	SAME	0.0417235	-0.01	0.0	0.042283	-0.0013522450000000002	-0.0005595000000000044	0.05	0.05	True	-1.3222329915639541	-1.3222329915639541	1.0	0.0	exact	0.365237170246196	0.14707451368416916	0	0	{}	AM_S	0.6761225000000001	-0.7989998600078208	0.00021658069618550602	
lhs00_006	SAME	0.0327898	-0.01	0.0	0.0331833	-0.00198017	-0.000393499999999998	0.05	0.05	True	9.856787168403924	9.856787168403958	1.0	3.375077994860476e-14	exact	0.41629781325024007	0.089860233750205	1	0	{'AM_S': 1}	AM_S	1.9801699999999998	10.266212939292584	0.00014960907794075995	
lhs00_007	SAME	0.03277170000000001	-0.01	0.0	0.0334772	-0.00284287	-0.0007054999999999909	0.05	0.05	True	8.93336930476043	8.93336930476043	1.0	0.0	exact	1.1462244758749114	0.07951222726918764	0	0	{}	AM_P	0.37904933333333335	9.938667327884687	0.0003658098791893827	
lhs00_008	SAME	0.0310216	-0.01	0.0	0.0315934	-0.0027507300000000003	-0.0005718000000000008	0.05	0.05	True	14.736455411314486	14.736455411314498	1.0	2.3092638912203256e-14	exact	1.361123255456366	0.06892254944840145	0	0	{}	AM_P	0.550146	15.763556884234653	0.0003782487706484976	
lhs00_009	SAME	0.03605629999999999	-0.01	0.0	0.0372399	-0.00455692	-0.0011836000000000069	0.05	0.05	True	6.630696118629864	6.630696118629864	1.0	0.0	exact	1.1307472950958792	0.08238712581605494	0	4	{}	AM_P	0.6075893333333333	7.676440611016099	0.00040840796639957794	
lhs00_010	SAME	0.0333038	-0.01	0.0	0.0337984	-0.001918512	-0.0004945999999999978	0.05	0.05	True	9.789036491902081	9.789036491902102	1.0	2.1316282072803006e-14	exact	0.596350703142395	0.04986436493919835	0	0	{}	AM_S	0.7674048	10.311879524211298	0.00019414677983044942	
lhs00_011	SAME	0.0413008	-0.01	0.0	0.0419808	-0.0018338900000000001	-0.00068	0.05	0.05	True	-2.314036497804217	-2.3140364978041728	1.0	4.440892098500626e-14	exact	0.5475006403748873	0.18040604549281727	0	0	{}	AM_S	0.916945	-1.5576849160487072	0.00030758800216438426	
lhs00_012	SAME	0.030887600000000005	-0.01	0.0	0.0312855	-0.002455212	-0.0003978999999999962	0.05	0.05	True	24.137542555669366	24.137542555669388	1.0	2.1316282072803006e-14	exact	1.8382750620029285	0.04860865711128857	0	0	{}	AM_P	0.818404	25.208140426752013	0.0004421363366485971	
lhs00_013	SAME	0.0410083	-0.01	0.0	0.0415474	-0.0012982599999999999	-0.0005391000000000007	0.05	0.05	True	8.151272982690772	8.151272982690772	1.0	0.0	exact	0.29563219071414515	0.13742464674372257	16	0	{'AM_S': 16}	AM_P	0.23604727272727272	8.515160511771603	0.00016311346275822702	
lhs00_014	SAME	0.0320925	-0.01	0.0	0.0324395	-0.0014113071000000001	-0.0003470000000000001	0.05	0.05	True	17.57706060700994	17.577060607009965	1.0	2.4868995751603507e-14	exact	0.6969103097613186	0.03715783849260209	0	0	{}	AM_S	0.9408714	18.07275366469028	0.00019417263688441266	
lhs00_015	SAME	0.0334355	-0.01	0.0	0.0338556	-0.0014151325	-0.00042009999999999964	0.05	0.05	True	11.257011455646493	11.257011455646493	1.0	0.0	exact	0.6823544423049941	0.06905692598917205	0	0	{}	AM_S	0.9434216666666667	11.844851937513889	0.00022295624093950084	
