case_id,block,d_am_p_um,d_am_s_um,ps_frac,ps_label,d_se_um,am_pct,rve_um,loading_mAh_cm2,pressure_MPa,e_se_gpa,thickness_est_um,phi_am_est,phi_se_est,se_percolation,d_am_max_um,sv_inv_um,r_AM_P_um,r_AM_S_um,r_SE_um,size_ratio_P_over_S,size_ratio_AM_over_SE,n_am_p_est,n_am_s_est,n_se_est,n_total_est,rve_min_um,rve_recommended_um,rve_over_d_am_max,thick_over_d_am_max,finite_size_flag,phi_se,phi_se_status,phi_am,phi_am_status,coverage_AM_P_hertz_pct,coverage_AM_P_hertz_pct_status,coverage_AM_S_hertz_pct,coverage_AM_S_hertz_pct_status,coverage_AM_total_hertz_pct,coverage_AM_total_hertz_pct_status,tortuosity_dijkstra_SE,tortuosity_dijkstra_SE_status,porosity_sphere_pct_RECORD_ONLY,porosity_sphere_pct_RECORD_ONLY_status
lhs00_000,bimodal,11.0000,1.0000,0.6000,6:4,2.0000,85.0000,50.0000,2.0000,300.0000,1.3500,36.2815,0.5739,0.2431,OK,11.0000,0.4545,5.5000,0.5000,1.0000,11.0000,5.5000,44.8183,39768.8052,5263.5183,45077.1419,40.9075,50.0000,4.5455,3.2983,,0.1539434730024577,OK,0.3689416876123715,OK,13.258474167299564,OK,13.64443515945266,OK,13.643988681252257,OK,,NOT_PERCOLATING,47.71148393851708,OK
lhs00_001,bimodal,8.0000,1.0000,0.6000,6:4,1.0000,95.0000,50.0000,2.0000,300.0000,1.3500,28.7064,0.7254,0.0916,BELOW_phic,8.0000,0.4750,4.0000,0.5000,0.5000,8.0000,8.0000,116.5102,39768.8052,12558.5701,52443.8854,25.3716,50.0000,6.2500,3.5883,se_BELOW_phic,0.05510527277584719,OK,0.43698253241031576,OK,6.818226574713381,OK,6.381801685377606,OK,6.383083194024921,OK,,NOT_PERCOLATING,50.7912194813837,OK
lhs00_002,bimodal,12.0000,3.0000,0.9000,9:1,2.0000,70.0000,50.0000,2.0000,300.0000,1.3500,51.7022,0.4027,0.4143,OK,12.0000,0.1083,6.0000,1.5000,1.0000,4.0000,6.0000,51.7823,368.2297,12782.8302,13202.8422,38.0575,50.0000,4.1667,4.3085,,0.26877779317029604,OK,0.2621576504813724,OK,48.40109326506657,OK,47.475450221737034,OK,47.59005364614926,OK,,NOT_PERCOLATING,46.90645563483316,OK
lhs00_003,bimodal,7.0000,5.0000,0.6000,6:4,1.5000,80.0000,50.0000,2.0000,300.0000,1.3500,40.7792,0.5106,0.3064,OK,7.0000,0.1657,3.5000,2.5000,0.7500,1.4000,4.6667,173.9161,318.1504,17675.0245,18167.0910,20.7664,50.0000,7.1429,5.8256,,0.2062926721354234,OK,0.3448861972442563,OK,29.82254672252859,OK,30.95242416787752,OK,30.55135205238855,OK,,NOT_PERCOLATING,44.88211306203203,OK
lhs00_004,bimodal,15.0000,2.0000,0.8000,8:2,1.0000,80.0000,50.0000,2.0000,300.0000,1.3500,40.7792,0.5106,0.3064,OK,15.0000,0.1533,7.5000,1.0000,0.5000,7.5000,15.0000,23.5667,2485.5503,59653.2078,62162.3248,56.4133,56.4133,3.3333,2.7186,thin+n_am_p_low,0.19432347127272978,OK,0.328465609618896,OK,28.617740667678273,OK,30.011125772751438,OK,29.997749275742738,OK,,NOT_PERCOLATING,47.72109191083742,OK
lhs00_005,bimodal,10.0000,4.0000,0.1000,1:9,1.5000,70.0000,50.0000,2.0000,300.0000,1.3500,51.7022,0.4027,0.4143,OK,10.0000,0.2350,5.0000,2.0000,0.7500,2.5000,6.6667,9.9422,1398.1221,30300.0421,31708.1063,86.8539,86.8539,5.0000,5.1702,n_am_p_CRIT,0.2720256277942998,OK,0.26464193023264054,OK,47.19143985139321,OK,46.23636057388417,OK,46.243138993170966,OK,,NOT_PERCOLATING,46.33324419730596,OK
lhs00_006,bimodal,12.0000,2.0000,0.3000,3:7,1.0000,85.0000,50.0000,2.0000,300.0000,1.3500,36.2815,0.5739,0.2431,OK,12.0000,0.3750,6.0000,1.0000,0.5000,6.0000,12.0000,17.2608,8699.4261,42108.1467,50824.8336,65.9175,65.9175,4.1667,3.0235,n_am_p_low,0.1485653712819719,OK,0.34912580129403764,OK,22.244327036911795,OK,23.613352022235247,OK,23.61068305150698,OK,,NOT_PERCOLATING,50.23088274239904,OK
lhs00_007,bimodal,15.0000,5.0000,0.5000,5:5,2.0000,85.0000,50.0000,2.0000,300.0000,1.3500,36.2815,0.5739,0.2431,OK,15.0000,0.1333,7.5000,2.5000,1.0000,3.0000,7.5000,14.7292,397.6881,5263.5183,5675.9356,71.3578,71.3578,3.3333,2.4188,thin+n_am_p_low,0.1429252948522179,OK,0.34060129322866495,OK,21.72772285839779,OK,27.235994968325432,OK,27.035936659248158,OK,,NOT_PERCOLATING,51.647341191911714,OK
lhs00_008,bimodal,10.0000,4.0000,0.8000,8:2,1.5000,90.0000,50.0000,2.0000,300.0000,1.3500,32.2836,0.6450,0.1720,BELOW_phic,10.0000,0.1300,5.0000,2.0000,0.7500,2.5000,6.6667,79.5376,310.6938,7855.5665,8245.7979,30.7075,50.0000,5.0000,3.2284,se_BELOW_phic,0.10203814614942076,OK,0.3839842373917405,OK,13.682522581216698,OK,17.432713720636,OK,16.661466185536913,OK,,NOT_PERCOLATING,51.397761645883875,OK
lhs00_009,bimodal,15.0000,5.0000,0.9000,9:1,1.0000,80.0000,50.0000,2.0000,300.0000,1.3500,40.7792,0.5106,0.3064,OK,15.0000,0.0800,7.5000,2.5000,0.5000,3.0000,15.0000,26.5125,79.5376,59653.2078,59759.2579,53.1869,53.1869,3.3333,2.7186,thin+n_am_p_low,0.18306147441551987,OK,0.31052220209791725,OK,26.14897164492746,OK,29.10321676102984,OK,28.357753040144196,OK,,NOT_PERCOLATING,50.64163234865629,OK
lhs00_010,bimodal,14.0000,5.0000,0.2000,2:8,1.0000,85.0000,50.0000,2.0000,300.0000,1.3500,36.2815,0.5739,0.2431,OK,14.0000,0.1743,7.0000,2.5000,0.5000,2.8000,14.0000,7.2465,636.3009,42108.1467,42751.6941,101.7341,101.7341,3.5714,2.5915,thin+n_am_p_CRIT,0.15235272315099144,OK,0.36650232375111014,OK,18.86593657801594,OK,21.28027006541798,OK,21.25023170165559,OK,,NOT_PERCOLATING,48.11449530978984,OK
lhs00_011,bimodal,8.0000,4.0000,0.5000,5:5,2.0000,70.0000,50.0000,2.0000,300.0000,1.3500,51.7022,0.4027,0.4143,OK,8.0000,0.1875,4.0000,2.0000,1.0000,2.0000,4.0000,97.0918,776.7345,12782.8302,13656.6565,27.7933,50.0000,6.2500,6.4628,,0.2779024297481135,OK,0.27016601553241687,OK,47.09893612305449,OK,46.86600745500601,OK,46.89182926163539,OK,,NOT_PERCOLATING,45.19315547194695,OK
lhs00_012,bimodal,6.0000,4.0000,0.8000,8:2,2.0000,95.0000,50.0000,2.0000,300.0000,1.3500,28.7064,0.7254,0.0916,BELOW_phic,6.0000,0.1833,3.0000,2.0000,1.0000,1.5000,3.0000,368.2297,310.6938,1569.8213,2248.7447,14.2716,50.0000,8.3333,4.7844,se_BELOW_phic,0.05125770620040593,OK,0.40561866168530264,OK,4.7413134442363845,OK,5.230091962747213,OK,4.964796247685288,OK,,NOT_PERCOLATING,54.31236321142914,OK
lhs00_013,bimodal,11.0000,1.0000,0.5000,5:5,2.0000,75.0000,50.0000,2.0000,300.0000,1.3500,45.8766,0.4539,0.3631,OK,11.0000,0.5455,5.5000,0.5000,1.0000,11.0000,5.5000,37.3486,49711.0065,9942.2013,59690.5564,44.8119,50.0000,4.5455,4.1706,,0.2357058289734599,OK,0.2969841313485846,OK,20.12027199841255,OK,20.88090542869479,OK,20.880324138566266,OK,1.5389960715786761,OK,46.73100396779556,OK
lhs00_014,bimodal,8.0000,3.0000,0.1000,1:9,1.0000,90.0000,50.0000,2.0000,300.0000,1.3500,32.2836,0.6450,0.1720,BELOW_phic,8.0000,0.3125,4.0000,1.5000,0.5000,2.6667,8.0000,19.4184,3314.0671,26512.5368,29846.0223,62.1476,62.1476,6.2500,4.0354,n_am_p_low+se_BELOW_phic,0.10317840013182804,OK,0.3880985989803108,OK,9.386490194234757,OK,10.624407183686623,OK,10.616985619001658,OK,,NOT_PERCOLATING,50.87230008878612,OK
lhs00_015,bimodal,5.0000,3.0000,0.4000,4:6,1.5000,85.0000,50.0000,2.0000,300.0000,1.3500,36.2815,0.5739,0.2431,OK,5.0000,0.2800,2.5000,1.5000,0.7500,1.6667,3.3333,318.1504,2209.3781,12476.4879,15004.0164,15.3537,50.0000,10.0000,7.2563,,0.15308283762566913,OK,0.3617328911308666,OK,22.485012323143984,OK,21.866997134846493,OK,21.944951601065117,OK,,NOT_PERCOLATING,48.51842712434643,OK
