case,ps_label,p_frac,am_wt,se_of_solid_pct,dem_porosity_pct,mpm_porosity_pct,gap_dem_minus_mpm,trust,verdict
input_1mAh_100_15,10:0,1.0,87,25,32.8,20.2,12.6,bracket,"BRACKET mono-large: MPM 20.2 (wallP cond., f_AM-insensitive) ~ same-comp 8mAh_real_10 19.0 / 2mAh_real_15 21.3 cross-validated; DEM 32.8 thin-loose outlier"
input_2mAh_a5_p00,0:10,0.0,50,68,2.4,13.2,-10.8,MPM,DEM eps-overcompress (SE-rich artifact)
input_2mAh_a5_p02,2:8,0.2,50,68,1.9,12.4,-10.5,MPM,DEM eps-overcompress (SE-rich artifact)
input_2mAh_a5_p04,4:6,0.4,50,68,2.2,12.6,-10.4,MPM,DEM eps-overcompress (SE-rich artifact)
input_2mAh_a5_p06,6:4,0.6,50,68,2.3,12.1,-9.9,MPM,DEM eps-overcompress (SE-rich artifact)
input_2mAh_a5_p08,8:2,0.8,50,68,1.0,11.0,-9.9,MPM,DEM eps-overcompress (SE-rich artifact)
input_2mAh_a6_p00,0:10,0.0,60,59,5.8,15.4,-9.6,MPM,DEM eps-overcompress (SE-rich artifact)
input_2mAh_a6_p04,4:6,0.4,60,59,4.3,13.7,-9.4,MPM,DEM eps-overcompress (SE-rich artifact)
input_2mAh_a5_p10,10:0,1.0,50,68,1.7,11.0,-9.3,MPM,DEM eps-overcompress (SE-rich artifact)
input_2mAh_a6_p02,2:8,0.2,60,59,5.1,14.5,-9.3,MPM,DEM eps-overcompress (SE-rich artifact)
input_2mAh_a6_p06,6:4,0.6,60,59,3.0,12.2,-9.3,MPM,DEM eps-overcompress (SE-rich artifact)
input_2mAh_a6_p08,8:2,0.8,60,59,4.2,12.2,-8.0,MPM,DEM eps-overcompress (SE-rich artifact)
input_2mAh_a6_p10,10:0,1.0,60,59,5.0,12.1,-7.1,MPM,DEM eps-overcompress (SE-rich artifact)
input_1mAh_8_S1,5:5,0.5,85,28,16.8,12.9,3.9,both,cross-validated
input_2mAh_real_4,7:3,0.7,77,39,3.3,7.1,-3.8,both,cross-validated
input_2mAh_a8_p02,2:8,0.2,80,35,17.0,20.8,-3.8,both,cross-validated
input_2mAh_real_19,7:3,0.7,92,16,20.4,16.5,3.8,both,cross-validated
input_1mAh_8_S2,5:5,0.5,85,28,17.2,13.5,3.7,both,cross-validated
input_1mAh_8_AMS_S5,0:10,0.0,85,28,21.4,17.8,3.6,both,cross-validated
input_2mAh_a8_p00,0:10,0.0,80,35,19.4,23.0,-3.5,both,cross-validated
input_2mAh_a9_p08,8:2,0.8,90,19,23.2,19.8,3.4,both,cross-validated
input_1mAh_5_AMP_S3,10:0,1.0,80,35,21.1,17.7,3.4,both,cross-validated
input_2mAh_real_15,10:0,1.0,87,25,24.6,21.3,3.3,both,cross-validated
input_particulate_12_S5,0:10,0.0,82,32,18.9,22.3,-3.3,both,cross-validated
input_1mAh_8_S3,5:5,0.5,85,28,15.5,12.4,3.2,both,cross-validated
input_1mAh_8_AMS_S3,0:10,0.0,85,28,20.6,17.4,3.2,both,cross-validated
input_1mAh_8_AMS_S1,0:10,0.0,85,28,21.1,17.9,3.2,both,cross-validated
input_2mAh_a9_50_p08,8:2,0.8,90,19,14.7,11.5,3.2,both,cross-validated
input_1mAh_100_9,7:3,0.7,82,32,12.9,9.7,3.2,both,cross-validated
input_2mAh_real_2,3:7,0.3,77,39,11.2,14.3,-3.1,both,cross-validated
input_1mAh_5_AMP_S1,10:0,1.0,80,35,20.2,17.1,3.1,both,cross-validated
input_1mAh_8_S4,5:5,0.5,85,28,16.6,13.6,3.1,both,cross-validated
input_particulate_12_S4,0:10,0.0,82,32,19.8,22.8,-3.0,both,cross-validated
input_2mAh_a8_p06,6:4,0.6,80,35,13.5,16.4,-2.9,both,cross-validated
input_1mAh_5_AMP_S2,10:0,1.0,80,35,20.4,17.6,2.9,both,cross-validated
input_2mAh_a8_p04,4:6,0.4,80,35,14.9,17.7,-2.8,both,cross-validated
input_2mAh_real_16,0:10,0.0,92,16,28.1,25.4,2.7,both,cross-validated
input_1mAh_8_AMS_S2,0:10,0.0,85,28,20.4,17.7,2.7,both,cross-validated
input_2mAh_real_3,5:5,0.5,77,39,10.5,13.1,-2.6,both,cross-validated
input_2mAh_real_1,0:10,0.0,77,39,13.5,16.1,-2.6,both,cross-validated
input_2mAh_a8_p08,8:2,0.8,80,35,14.9,17.4,-2.6,both,cross-validated
input_1mAh_5_AMP_S4,10:0,1.0,80,35,19.1,16.6,2.6,both,cross-validated
input_1mAh_100_6,0:10,0.0,82,32,18.4,16.0,2.5,both,cross-validated
input_2mAh_real_18,5:5,0.5,92,16,21.0,18.6,2.3,both,cross-validated
input_2mAh_a9_50_p06,6:4,0.6,90,19,12.7,10.4,2.3,both,cross-validated
