AM_wt%,poros_beta0.64,poros_beta0.74,poros_beta0.80,poros_beta0.84,poros_beta0.86,poros_beta0.88
0,42.400,33.400,28.000,24.400,22.600,20.800
5,42.007,33.039,27.671,24.096,22.311,20.526
10,41.585,32.652,27.318,23.771,22.001,20.233
15,41.129,32.236,26.939,23.423,21.670,19.920
20,40.636,31.787,26.531,23.049,21.314,19.583
25,40.101,31.302,26.091,22.645,20.930,19.221
30,39.518,30.776,25.615,22.209,20.516,18.831
35,38.882,30.203,25.099,21.737,20.068,18.408
40,38.184,29.579,24.536,21.223,19.581,17.949
45,37.417,28.894,23.922,20.664,19.051,17.450
50,36.570,28.143,23.249,20.052,18.472,16.905
55,35.632,27.314,22.510,19.380,17.837,16.308
60,34.592,26.400,21.696,18.643,17.141,15.654
65,33.441,25.391,20.799,17.831,16.375,14.935
70,32.183,24.284,19.816,16.942,15.535,14.147
75,30.866,23.100,18.755,15.978,14.624,13.292
80,29.720,21.940,17.675,14.980,13.674,12.394
85,29.560,21.247,16.842,14.128,12.831,11.571
90,31.317,22.251,17.261,14.193,12.748,11.365
95,34.292,25.245,20.010,16.621,14.964,13.337
100,37.744,29.110,24.056,20.738,19.094,17.460
