case_name,composition,wt_AM,phi_SE,lam_eff,sigma_ionic_mScm,is_outlier,pred_global_add,pred_global_mul,pred_bruggeman,pred_class
input_6mAh_real40_7,bimodal,0.82,0.345,2.667,0.032058,False,0.0711,0.0711,0.07044,0.07199
input_6mAh_real40_9,bimodal,0.82,0.345,2.667,0.062612,False,0.0711,0.0711,0.07044,0.07199
input_8mAh_real40_7,bimodal,0.82,0.345,2.667,0.031802,False,0.0711,0.0711,0.07044,0.07199
input_8mAh_real40_9,bimodal,0.82,0.345,2.667,0.055686,False,0.0711,0.0711,0.07044,0.07199
input_1mAh_6_S1,bimodal,0.8,0.375,7.5,0.11344,False,0.10169,0.10169,0.10145,0.10035
input_1mAh_9_S1,bimodal,0.85,0.2975,7.5,0.03212,False,0.03697,0.03697,0.03684,0.03943
input_8mAh_real40_4,bimodal,0.82,0.345,8.0,0.107919,False,0.0711,0.0711,0.07044,0.07199
input_8mAh_9,bimodal,0.85,0.2975,7.5,0.069726,False,0.03697,0.03697,0.03684,0.03943
input_1mAh_6_S2,bimodal,0.8,0.375,7.5,0.121511,False,0.10169,0.10169,0.10145,0.10035
input_8mAh_8_AMP,mono AM_P,0.85,0.2975,10.0,0.060141,False,0.03697,0.03697,0.03684,0.03331
input_8mAh_8_AMS,mono AM_S,0.85,0.2975,5.0,0.043035,False,0.03697,0.03697,0.03684,0.02643
input_8mAh_8,bimodal,0.85,0.2975,7.5,0.06188,False,0.03697,0.03697,0.03684,0.03943
input_8mAh_7,bimodal,0.85,0.2975,7.5,0.055567,False,0.03697,0.03697,0.03684,0.03943
input_8mAh_6,bimodal,0.8,0.375,7.5,0.118518,False,0.10169,0.10169,0.10145,0.10035
input_8mAh_5_AMS,mono AM_S,0.8,0.375,5.0,0.095924,False,0.10169,0.10169,0.10145,0.07456
input_8mAh_5_AMP,mono AM_P,0.8,0.375,10.0,0.125666,False,0.10169,0.10169,0.10145,0.10881
input_8mAh_5,bimodal,0.8,0.375,7.5,0.113037,False,0.10169,0.10169,0.10145,0.10035
input_8mAh_4,bimodal,0.8,0.375,7.5,0.103945,False,0.10169,0.10169,0.10145,0.10035
input_8mAh_3,bimodal,0.75,0.4444,7.5,0.166989,False,0.20679,0.20678,0.21324,0.19487
input_8mAh_2,bimodal,0.76,0.4311,7.5,0.15643,False,0.18243,0.18243,0.1867,0.17324
input_8mAh_1,bimodal,0.75,0.4444,7.5,0.152573,False,0.20679,0.20678,0.21324,0.19487
input_1mAh_8,bimodal,0.86,0.2809,7.5,0.024818,False,0.02848,0.02849,0.02866,0.03108
input_1mAh_8_AMP,mono AM_P,0.85,0.2975,10.0,0.020398,False,0.03697,0.03697,0.03684,0.03331
input_1mAh_8_AMS,mono AM_S,0.85,0.2975,5.0,0.022392,False,0.03697,0.03697,0.03684,0.02643
input_1mAh_9,bimodal,0.86,0.2809,7.5,0.019565,False,0.02848,0.02849,0.02866,0.03108
input_1mAh_7,bimodal,0.86,0.2809,7.5,0.027892,False,0.02848,0.02849,0.02866,0.03108
input_1mAh_5_AMS,mono AM_S,0.8,0.375,5.0,0.098485,False,0.10169,0.10169,0.10145,0.07456
input_1mAh_5,bimodal,0.8,0.375,7.5,0.115085,False,0.10169,0.10169,0.10145,0.10035
input_1mAh_3,bimodal,0.76,0.4311,7.5,0.174167,False,0.18243,0.18243,0.1867,0.17324
input_1mAh_4,bimodal,0.81,0.3602,7.5,0.10075,False,0.08563,0.08563,0.08506,0.08553
input_1mAh_5_AMP,mono AM_P,0.8,0.375,10.0,0.117711,False,0.10169,0.10169,0.10145,0.10881
input_1mAh_1,bimodal,0.76,0.4311,7.5,0.202259,False,0.18243,0.18243,0.1867,0.17324
input_1mAh_2,bimodal,0.76,0.4311,7.5,0.209184,False,0.18243,0.18243,0.1867,0.17324
input_6mAh_real_9,bimodal,0.82,0.345,2.667,0.059519,False,0.0711,0.0711,0.07044,0.07199
input_6mAh_real_8,bimodal,0.82,0.345,2.667,0.049434,False,0.0711,0.0711,0.07044,0.07199
input_6mAh_real_7,bimodal,0.82,0.345,2.667,0.034485,False,0.0711,0.0711,0.07044,0.07199
input_6mAh_real_6,mono AM_S,0.82,0.345,1.333,0.012472,False,0.0711,0.0711,0.07044,0.05171
input_6mAh_real_5,mono AM_P,0.82,0.345,12.0,0.101776,False,0.0711,0.0711,0.07044,0.07206
input_6mAh_real_3,bimodal,0.82,0.345,8.0,0.101221,False,0.0711,0.0711,0.07044,0.07199
input_6mAh_real_4,bimodal,0.82,0.345,8.0,0.107855,False,0.0711,0.0711,0.07044,0.07199
input_6mAh_real_1,mono AM_S,0.82,0.345,4.0,0.068957,False,0.0711,0.0711,0.07044,0.05171
input_6mAh_real_10,mono AM_P,0.82,0.345,4.0,0.073146,False,0.0711,0.0711,0.07044,0.07206
input_6mAh_real_2,bimodal,0.82,0.345,8.0,0.088793,False,0.0711,0.0711,0.07044,0.07199
input_8mAh_real40_2,bimodal,0.82,0.345,8.0,0.082744,False,0.0711,0.0711,0.07044,0.07199
input_1mAh_100_11,mono AM_S,0.87,0.264,8.0,0.014485,False,0.02138,0.02138,0.02184,0.01502
input_1mAh_6_S3,bimodal,0.8,0.375,7.5,0.119492,False,0.10169,0.10169,0.10145,0.10035
input_1mAh_6_S4,bimodal,0.8,0.375,7.5,0.092594,False,0.10169,0.10169,0.10145,0.10035
input_1mAh_100_12,bimodal,0.87,0.264,8.0,0.024754,False,0.02138,0.02138,0.02184,0.02395
input_1mAh_100_13,bimodal,0.87,0.264,8.0,0.033053,False,0.02138,0.02138,0.02184,0.02395
input_1mAh_100_14,bimodal,0.87,0.264,8.0,0.028192,False,0.02138,0.02138,0.02184,0.02395
input_1mAh_6_S5,bimodal,0.8,0.375,7.5,0.10822,False,0.10169,0.10169,0.10145,0.10035
input_1mAh_9_S2,bimodal,0.85,0.2975,7.5,0.034302,False,0.03697,0.03697,0.03684,0.03943
input_1mAh_9_S3,bimodal,0.85,0.2975,7.5,0.034791,False,0.03697,0.03697,0.03684,0.03943
input_1mAh_9_S4,bimodal,0.85,0.2975,7.5,0.033465,False,0.03697,0.03697,0.03684,0.03943
input_1mAh_100_10,mono AM_P,0.82,0.345,8.0,0.036389,False,0.0711,0.0711,0.07044,0.07206
input_1mAh_100_15,mono AM_P,0.87,0.264,8.0,0.000881,True,0.02138,0.02138,0.02184,0.01707
input_1mAh_100_9,bimodal,0.82,0.345,8.0,0.104726,False,0.0711,0.0711,0.07044,0.07199
input_1mAh_100_6,mono AM_S,0.82,0.345,8.0,0.071142,False,0.0711,0.0711,0.07044,0.05171
input_1mAh_100_7,bimodal,0.82,0.345,8.0,0.101919,False,0.0711,0.0711,0.07044,0.07199
input_1mAh_100_3,unknown,0.77,0.4175,8.0,0.231239,False,0.15972,0.15971,0.16227,
input_6mAh_real40_2,unknown,0.82,0.345,8.0,0.087286,False,0.0711,0.0711,0.07044,
input_6mAh_real40_4,unknown,0.82,0.345,8.0,0.113033,False,0.0711,0.0711,0.07044,
input_1mAh_100_1,unknown,0.77,0.4175,8.0,0.171693,False,0.15972,0.15971,0.16227,
input_1mAh_100_2,unknown,0.77,0.4175,8.0,0.207183,False,0.15972,0.15971,0.16227,
input_1mAh_100_8,unknown,0.82,0.345,8.0,0.110853,False,0.0711,0.0711,0.07044,
input_8mAh_real_1,unknown,0.82,0.345,8.0,0.069169,False,0.0711,0.0711,0.07044,
