vgcf_wt	ptfe_wt	vox_um	origin	sigma_e_off_S_cm	sigma_e_centerline_S_cm	ratio_centerline_over_off	input_digest
1	1	0.15	0	0.0029201456721451944	0.0021222030214882175	0.726746	92a92bdc21a1b12c
1	1	0.15	1	0.0028420019482885664	0.0021221118223143307	0.746696	92a92bdc21a1b12c
1	1	0.15	2	0.00286117522836069	0.0020996188854584775	0.733831	92a92bdc21a1b12c
1	1	0.15	3	0.0028730835392446834	0.002119088892774636	0.737566	92a92bdc21a1b12c
1	1	0.15	4	0.002849802995588523	0.0021264275427017648	0.746167	92a92bdc21a1b12c
1	1	0.15	5	0.002835575201986027	0.0021445362032942207	0.756297	92a92bdc21a1b12c
1	1	0.15	6	0.0028519534205055583	0.0021097365440289066	0.739751	92a92bdc21a1b12c
1	1	0.15	7	0.002850972659189675	0.0021226126293166477	0.744522	92a92bdc21a1b12c
2	1	0.15	0	0.024350137754987903	0.015374901302629796	0.631409	142c155c17e12445
2	1	0.15	1	0.024326581417214582	0.015093860745171958	0.620468	142c155c17e12445
2	1	0.15	2	0.024086058782955392	0.015100210063915402	0.626927	142c155c17e12445
2	1	0.15	3	0.023917955326985277	0.015135484963942587	0.632808	142c155c17e12445
2	1	0.15	4	0.024483770997619378	0.015445348852213754	0.630840	142c155c17e12445
2	1	0.15	5	0.024382980430975327	0.015546133503206896	0.637581	142c155c17e12445
2	1	0.15	6	0.02438244169233308	0.0151447547435245	0.621134	142c155c17e12445
2	1	0.15	7	0.024270557110708274	0.015068830187291986	0.620869	142c155c17e12445
3	1	0.15	0	0.0820226643406625	0.05911602959711081	0.720728	2c6cf15d0eae6979
3	1	0.15	1	0.08166595985744908	0.058993829957308105	0.722380	2c6cf15d0eae6979
3	1	0.15	2	0.08188771222624727	0.05992485948599483	0.731793	2c6cf15d0eae6979
3	1	0.15	3	0.0820100180436434	0.059183760760400585	0.721665	2c6cf15d0eae6979
3	1	0.15	4	0.08175132906652345	0.059076087258180546	0.722632	2c6cf15d0eae6979
3	1	0.15	5	0.08240230946055548	0.059385272782131515	0.720675	2c6cf15d0eae6979
3	1	0.15	6	0.08215987176808112	0.059887252446345095	0.728911	2c6cf15d0eae6979
3	1	0.15	7	0.08170628590125145	0.05914290185549615	0.723848	2c6cf15d0eae6979
4	1	0.15	0	0.1610258961234566	0.13152926187354233	0.816821	a126c02de8cfadee
4	1	0.15	1	0.1610986838698858	0.1309849432590551	0.813073	a126c02de8cfadee
4	1	0.15	2	0.16031001470973968	0.13052247335775644	0.814188	a126c02de8cfadee
4	1	0.15	3	0.16098750470910356	0.13090030489723148	0.813108	a126c02de8cfadee
4	1	0.15	4	0.16098641526742938	0.13133556732482643	0.815818	a126c02de8cfadee
4	1	0.15	5	0.16116302179497274	0.13151646054521504	0.816046	a126c02de8cfadee
4	1	0.15	6	0.16054029351527302	0.13044332478389428	0.812527	a126c02de8cfadee
4	1	0.15	7	0.16043858417872028	0.1306409158136507	0.814274	a126c02de8cfadee
1	1	0.2	0	0.005222866574462883	0.0033209753632623042	0.635853	92a92bdc21a1b12c
1	1	0.2	1	0.0052460980613240815	0.0033512925009310133	0.638816	92a92bdc21a1b12c
1	1	0.2	2	0.005186933953765068	0.0033010985188200903	0.636426	92a92bdc21a1b12c
