ps,am_wt,c_const,c_bimodal,c_bimodal_sym,c_lam_SE_sat,c_se_solid,c_rAM_eff,c_lamSE_x_amwt,c_sefill_x_bim,c_rSE,porosity_pct
0:10,70,33.72,-0.0,0.0,-21.76,-11.87,5.96,8.84,0.0,-1.76,13.1
0:10,72.5,33.72,-0.0,0.0,-21.76,-11.15,5.96,9.16,0.0,-1.76,14.2
0:10,75,33.72,-0.0,0.0,-21.76,-10.4,5.96,9.47,0.0,-1.76,15.2
0:10,77.5,33.72,-0.0,0.0,-21.76,-9.61,5.96,9.79,0.0,-1.76,16.3
0:10,80,33.72,-0.0,0.0,-21.76,-8.78,5.96,10.1,0.0,-1.76,17.5
0:10,82.5,33.72,-0.0,0.0,-21.76,-7.89,5.96,10.42,0.0,-1.76,18.7
0:10,85,33.72,-0.0,0.0,-21.76,-6.96,5.96,10.73,0.0,-1.76,19.9
0:10,87.5,33.72,-0.0,0.0,-21.76,-5.97,5.96,11.05,0.0,-1.76,21.2
0:10,90,33.72,-0.0,0.0,-21.76,-4.93,5.96,11.37,0.0,-1.76,22.6
1:9,70,33.72,-7.05,5.29,-26.11,-11.87,7.15,10.61,2.49,-1.76,12.5
1:9,72.5,33.72,-7.05,5.29,-26.11,-11.15,7.15,10.99,2.34,-1.76,13.4
1:9,75,33.72,-7.05,5.29,-26.11,-10.4,7.15,11.37,2.18,-1.76,14.4
1:9,77.5,33.72,-7.05,5.29,-26.11,-9.61,7.15,11.74,2.02,-1.76,15.4
1:9,80,33.72,-7.05,5.29,-26.11,-8.78,7.15,12.12,1.84,-1.76,16.4
1:9,82.5,33.72,-7.05,5.29,-26.11,-7.89,7.15,12.5,1.66,-1.76,17.5
1:9,85,33.72,-7.05,5.29,-26.11,-6.96,7.15,12.88,1.46,-1.76,18.6
1:9,87.5,33.72,-7.05,5.29,-26.11,-5.97,7.15,13.26,1.25,-1.76,19.8
1:9,90,33.72,-7.05,5.29,-26.11,-4.93,7.15,13.64,1.03,-1.76,21.0
2:8,70,33.72,-12.91,9.41,-30.47,-11.87,8.34,12.38,5.32,-1.76,12.2
2:8,72.5,33.72,-12.91,9.41,-30.47,-11.15,8.34,12.82,5.0,-1.76,13.0
2:8,75,33.72,-12.91,9.41,-30.47,-10.4,8.34,13.26,4.67,-1.76,13.9
2:8,77.5,33.72,-12.91,9.41,-30.47,-9.61,8.34,13.7,4.31,-1.76,14.7
2:8,80,33.72,-12.91,9.41,-30.47,-8.78,8.34,14.14,3.94,-1.76,15.6
2:8,82.5,33.72,-12.91,9.41,-30.47,-7.89,8.34,14.59,3.54,-1.76,16.6
2:8,85,33.72,-12.91,9.41,-30.47,-6.96,8.34,15.03,3.12,-1.76,17.5
2:8,87.5,33.72,-12.91,9.41,-30.47,-5.97,8.34,15.47,2.68,-1.76,18.5
2:8,90,33.72,-12.91,9.41,-30.47,-4.93,8.34,15.91,2.21,-1.76,19.5
3:7,70,33.72,-17.58,12.35,-34.82,-11.87,9.53,14.14,8.28,-1.76,12.0
3:7,72.5,33.72,-17.58,12.35,-34.82,-11.15,9.53,14.65,7.78,-1.76,12.7
3:7,75,33.72,-17.58,12.35,-34.82,-10.4,9.53,15.15,7.26,-1.76,13.5
3:7,77.5,33.72,-17.58,12.35,-34.82,-9.61,9.53,15.66,6.71,-1.76,14.2
3:7,80,33.72,-17.58,12.35,-34.82,-8.78,9.53,16.16,6.12,-1.76,15.0
3:7,82.5,33.72,-17.58,12.35,-34.82,-7.89,9.53,16.67,5.51,-1.76,15.7
3:7,85,33.72,-17.58,12.35,-34.82,-6.96,9.53,17.18,4.86,-1.76,16.5
3:7,87.5,33.72,-17.58,12.35,-34.82,-5.97,9.53,17.68,4.17,-1.76,17.3
3:7,90,33.72,-17.58,12.35,-34.82,-4.93,9.53,18.19,3.44,-1.76,18.1
4:6,70,33.72,-21.04,14.11,-38.08,-11.87,10.72,15.47,10.84,-1.76,12.1
4:6,72.5,33.72,-21.04,14.11,-38.08,-11.15,10.72,16.02,10.19,-1.76,12.7
4:6,75,33.72,-21.04,14.11,-38.08,-10.4,10.72,16.58,9.5,-1.76,13.3
4:6,77.5,33.72,-21.04,14.11,-38.08,-9.61,10.72,17.13,8.78,-1.76,14.0
4:6,80,33.72,-21.04,14.11,-38.08,-8.78,10.72,17.68,8.02,-1.76,14.6
4:6,82.5,33.72,-21.04,14.11,-38.08,-7.89,10.72,18.23,7.21,-1.76,15.2
4:6,85,33.72,-21.04,14.11,-38.08,-6.96,10.72,18.79,6.36,-1.76,15.9
