ps,P,am_wt,r_AM_P,r_AM_S,r_SE,se_of_solid_pct,porosity_pct,err_band_pct,source
0:10,0.0,75,0.0,2.0,0.5,44.4,15.1,2.5,MPM
0:10,0.0,78,0.0,2.0,0.5,40.4,16.5,2.5,MPM
0:10,0.0,80,0.0,2.0,0.5,37.5,17.4,2.5,MPM
0:10,0.0,82,0.0,2.0,0.5,34.5,18.3,2.5,MPM
0:10,0.0,85,0.0,2.0,0.5,29.8,19.8,2.5,MPM
0:10,0.0,88,0.0,2.0,0.5,24.7,21.3,2.5,MPM
0:10,0.0,90,0.0,2.0,0.5,21.1,22.3,2.5,MPM
1:9,0.1,75,6.0,2.0,0.5,44.4,13.8,2.5,MPM
1:9,0.1,78,6.0,2.0,0.5,40.4,15.1,2.5,MPM
1:9,0.1,80,6.0,2.0,0.5,37.5,16.0,2.5,MPM
1:9,0.1,82,6.0,2.0,0.5,34.5,16.9,2.5,MPM
1:9,0.1,85,6.0,2.0,0.5,29.8,18.3,2.5,MPM
1:9,0.1,88,6.0,2.0,0.5,24.7,19.8,2.5,MPM
1:9,0.1,90,6.0,2.0,0.5,21.1,20.8,2.5,MPM
2:8,0.2,75,6.0,2.0,0.5,44.4,12.6,2.5,MPM
2:8,0.2,78,6.0,2.0,0.5,40.4,13.9,2.5,MPM
2:8,0.2,80,6.0,2.0,0.5,37.5,14.7,2.5,MPM
2:8,0.2,82,6.0,2.0,0.5,34.5,15.6,2.5,MPM
2:8,0.2,85,6.0,2.0,0.5,29.8,17.0,2.5,MPM
2:8,0.2,88,6.0,2.0,0.5,24.7,18.4,2.5,MPM
2:8,0.2,90,6.0,2.0,0.5,21.1,19.3,2.5,MPM
3:7,0.3,75,6.0,2.0,0.5,44.4,11.5,2.5,MPM
3:7,0.3,78,6.0,2.0,0.5,40.4,12.7,2.5,MPM
3:7,0.3,80,6.0,2.0,0.5,37.5,13.5,2.5,MPM
3:7,0.3,82,6.0,2.0,0.5,34.5,14.4,2.5,MPM
3:7,0.3,85,6.0,2.0,0.5,29.8,15.7,2.5,MPM
3:7,0.3,88,6.0,2.0,0.5,24.7,17.0,2.5,MPM
3:7,0.3,90,6.0,2.0,0.5,21.1,17.9,2.5,MPM
4:6,0.4,75,6.0,2.0,0.5,44.4,10.8,2.5,MPM
4:6,0.4,78,6.0,2.0,0.5,40.4,11.9,2.5,MPM
4:6,0.4,80,6.0,2.0,0.5,37.5,12.7,2.5,MPM
4:6,0.4,82,6.0,2.0,0.5,34.5,13.6,2.5,MPM
4:6,0.4,85,6.0,2.0,0.5,29.8,14.8,2.5,MPM
4:6,0.4,88,6.0,2.0,0.5,24.7,16.0,2.5,MPM
4:6,0.4,90,6.0,2.0,0.5,21.1,16.8,2.5,MPM
5:5,0.5,75,6.0,2.0,0.5,44.4,11.2,2.5,MPM
5:5,0.5,78,6.0,2.0,0.5,40.4,12.3,2.5,MPM
5:5,0.5,80,6.0,2.0,0.5,37.5,13.0,2.5,MPM
5:5,0.5,82,6.0,2.0,0.5,34.5,13.8,2.5,MPM
5:5,0.5,85,6.0,2.0,0.5,29.8,15.0,2.5,MPM
5:5,0.5,88,6.0,2.0,0.5,24.7,16.1,2.5,MPM
