# ⛔⛔ **전자 채널 한정 — `electronic` 의 ρ 는 이 파일에서 측정되지 않았다** (2026-09-18, 원장 `GAP3-42`).
#   `rho_pct_max_iterative = None` (전자는 `spsolve` = **직접해**라 조일 허용오차가 없다) ·
#   `rho_pct_max_permutation = None` (직접해의 ρ 를 재는 **유일한** 수단인 노드 라벨 치환 프로브가
#   이 세대 산출 당시 코드에 없었다).  그런데 `rho_pct_max_all` 이 **`0.0`** 으로 적혀 있다 —
#   그것은 빈 집합의 `max` 이지 측정값이 아니다.  ⇒ 계약 §5-v3 ① 의 `ρ > 3 %` 차단을
#   **증거 없이 구조적으로 통과**시킨다.  ⚠ 그리고 전자 채널이 곧 **σ_e** = Phase A 가 판정하는 그 양이다.
#   ★ 코드는 2026-09-18 에 고쳐졌다 (`measure_rho.summarize`: `if (ok and it) else None`) — **이 파일이 낡은 것이다.**
# ✅ **ionic · thermal 의 `rho_pct_max_iterative` 는 유효하다** (rtol 손잡이가 실제로 물린다).
#   이 배너는 전자 채널 한정이다 — 두 채널의 값까지 폐기하지 말 것.
# ⇒ 남은 일: 현행 코드 + 치환 프로브로 **전자 채널 재측정** (`measure_rho.py` 기본이 프로브 켜짐).
# ⚠ **유효판** — 조임이 실제로 `rtol` 에 들어갔다 (`rtol_A` 1e-5 → `rtol_B` 1e-6, `binding_A = rtol`).  접미사 없는 `rho_lhs_20260913.json` 은 **폐기**다 (거짓 0).
# ⛔ 단, `electronic` 의 `rho_pct_max_all` 은 여기서도 `0.0` 인데 **그것은 측정이 아니다** — 이 채널은 30/30 이 `spsolve` 라 조일 허용오차가 **아예 없어** delta 가 구조적으로 0 이다.  `measure_rho.py` 는 2026-09-18 부로 이런 채널에 **`None`** 을 낸다 (원장 `GAP3-30`).
#   ⚠ 이 산출물은 **치환 프로브(`rho_pct_max_permutation`)와 증서 값(`rho_pct_channel`)이 추가되기 전** 코드로 돌았다 — 두 값이 모두 `None` 이다.  ⇒ 계약 §5-v3 ① 이 요구하는 **채널 ρ 증서를 이 파일로 발행할 수 없다**.  원장 `GAP3-30`.
case,channel,status,rho_kind,n_nodes,path_A,path_B,kwarg,tol_A,tol_B,cg_info_A,rtol_A,rtol_B,atol_A,binding_A,sigma_ratio_A,sigma_ratio_B,delta_pct
lhs00_100,ionic,OK,iterative,30315,cg,cg,atol,1e-08,1e-08,0,1e-05,1.0000000000000002e-06,1e-08,rtol,2.2207325455265538e-07,2.2207325398860852e-07,2.539913525423764e-07
lhs00_100,electronic,OK,direct,796,spsolve,spsolve,,,,,,,,,7.942927856309311e-08,7.942927856309311e-08,0.0
lhs00_100,thermal,OK,iterative,31111,cg,cg,atol,1e-08,1e-08,0,1e-05,1.0000000000000002e-06,1e-08,rtol,2.5793782834332183e-06,2.579378273494544e-06,3.853127817448469e-07
lhs00_101,ionic,OK,direct,17684,spsolve,spsolve,,,,,,,,,1.5235863742634192e-08,1.5235863742634192e-08,0.0
lhs00_101,electronic,OK,direct,12434,spsolve,spsolve,,,,,,,,,1.2216177106006045e-07,1.2216177106006045e-07,0.0
lhs00_101,thermal,OK,iterative,30118,cg,cg,atol,1e-08,1e-08,0,1e-05,1.0000000000000002e-06,1e-08,rtol,1.7351420763277696e-06,1.735142062039298e-06,8.234756062472202e-07
lhs00_102,ionic,OK,iterative,42129,cg,cg,atol,1e-08,1e-08,0,1e-05,1.0000000000000002e-06,1e-08,rtol,1.4675909771914913e-08,1.4675909738924398e-08,2.2479366540613774e-07
lhs00_102,electronic,OK,direct,3684,spsolve,spsolve,,,,,,,,,1.5981909123792324e-07,1.5981909123792324e-07,0.0
lhs00_102,thermal,OK,iterative,45813,cg,cg,atol,1e-08,1e-08,0,1e-05,1.0000000000000002e-06,1e-08,rtol,1.6809614773983719e-06,1.6809614693392305e-06,4.79436409463592e-07
lhs00_103,ionic,OK,iterative,79576,cg,cg,atol,1e-08,1e-08,0,1e-05,1.0000000000000002e-06,1e-08,rtol,1.1839321588006606e-07,1.1839321542018641e-07,3.884341240111265e-07
lhs00_103,electronic,OK,direct,1555,spsolve,spsolve,,,,,,,,,9.90541184178655e-08,9.90541184178655e-08,0.0
lhs00_103,thermal,OK,iterative,81131,cg,cg,atol,1e-08,1e-08,0,1e-05,1.0000000000000002e-06,1e-08,rtol,2.103676232026776e-06,2.1036762124787883e-06,9.292298605131735e-07
lhs00_104,ionic,OK,iterative,42129,cg,cg,atol,1e-08,1e-08,0,1e-05,1.0000000000000002e-06,1e-08,rtol,4.9466289409898446e-09,4.946628928940197e-09,2.4359311483202526e-07
lhs00_104,electronic,OK,direct,12434,spsolve,spsolve,,,,,,,,,1.4644987516537724e-07,1.4644987516537724e-07,0.0
lhs00_104,thermal,OK,iterative,54563,cg,cg,atol,1e-08,1e-08,0,1e-05,1.0000000000000002e-06,1e-08,rtol,1.6114851021613315e-06,1.6114850913674621e-06,6.69808822286629e-07
lhs00_105,ionic,SOLVE_NONE,none,3315,none,none,,,,,,,,,,,
lhs00_105,electronic,OK,direct,1555,spsolve,spsolve,,,,,,,,,1.8764209016471595e-07,1.8764209016471595e-07,0.0
lhs00_105,thermal,OK,direct,4870,spsolve,spsolve,,,,,,,,,1.5835314363525034e-06,1.5835314363525034e-06,0.0
lhs00_106,ionic,OK,iterative,30315,cg,cg,atol,1e-08,1e-08,0,1e-05,1.0000000000000002e-06,1e-08,rtol,1.575927557271918e-07,1.5759275481325082e-07,5.799384467345337e-07
lhs00_106,electronic,OK,direct,3684,spsolve,spsolve,,,,,,,,,7.667778677812565e-08,7.667778677812565e-08,0.0
lhs00_106,thermal,OK,iterative,33999,cg,cg,atol,1e-08,1e-08,0,1e-05,1.0000000000000002e-06,1e-08,rtol,2.3035848703356065e-06,2.3035848594597895e-06,4.7212573797277046e-07
lhs00_107,ionic,SOLVE_NONE,none,3722,none,none,,,,,,,,,,,
lhs00_107,electronic,OK,direct,12434,spsolve,spsolve,,,,,,,,,1.8113541641560613e-07,1.8113541641560613e-07,0.0
lhs00_107,thermal,OK,direct,16156,spsolve,spsolve,,,,,,,,,1.2454446520524254e-06,1.2454446520524254e-06,0.0
lhs00_108,ionic,SOLVE_NONE,none,3315,none,none,,,,,,,,,,,
lhs00_108,electronic,OK,direct,3683,spsolve,spsolve,,,,,,,,,1.7690730169151112e-07,1.7690730169151112e-07,0.0
lhs00_108,thermal,OK,direct,6998,spsolve,spsolve,,,,,,,,,1.5127229900477982e-06,1.5127229900477982e-06,0.0
lhs00_109,ionic,OK,direct,12789,spsolve,spsolve,,,,,,,,,1.195937374478618e-07,1.195937374478618e-07,0.0
lhs00_109,electronic,OK,direct,3684,spsolve,spsolve,,,,,,,,,8.208100702209651e-08,8.208100702209651e-08,0.0
lhs00_109,thermal,OK,direct,16473,spsolve,spsolve,,,,,,,,,2.1985570956721163e-06,2.1985570956721163e-06,0.0
lhs00_110,ionic,OK,direct,7460,spsolve,spsolve,,,,,,,,,8.336567273811334e-09,8.336567273811334e-09,0.0
lhs00_110,electronic,OK,direct,12434,spsolve,spsolve,,,,,,,,,1.198961832397817e-07,1.198961832397817e-07,0.0
lhs00_110,thermal,OK,direct,19894,spsolve,spsolve,,,,,,,,,1.5537746695301808e-06,1.5537746695301808e-06,0.0
lhs00_111,ionic,SOLVE_NONE,none,1570,none,none,,,,,,,,,,,
lhs00_111,electronic,OK,direct,796,spsolve,spsolve,,,,,,,,,2.22339362909921e-07,2.22339362909921e-07,0.0
lhs00_111,thermal,OK,direct,2366,spsolve,spsolve,,,,,,,,,1.4564843489938667e-06,1.4564843489938667e-06,0.0
lhs00_112,ionic,SOLVE_NONE,none,26525,none,none,,,,,,,,,,,
lhs00_112,electronic,OK,direct,12434,spsolve,spsolve,,,,,,,,,1.689470155257572e-07,1.689470155257572e-07,0.0
lhs00_112,thermal,OK,iterative,38959,cg,cg,atol,1e-08,1e-08,0,1e-05,1.0000000000000002e-06,1e-08,rtol,1.4121453943611271e-06,1.4121453835533522e-06,7.653443445274776e-07
lhs00_113,ionic,OK,iterative,42128,cg,cg,atol,1e-08,1e-08,0,1e-05,1.0000000000000002e-06,1e-08,rtol,2.122398701061353e-08,2.122398696427657e-08,2.1832354362746178e-07
lhs00_113,electronic,OK,direct,1555,spsolve,spsolve,,,,,,,,,1.7066165244469063e-07,1.7066165244469063e-07,0.0
lhs00_113,thermal,OK,iterative,43683,cg,cg,atol,1e-08,1e-08,0,1e-05,1.0000000000000002e-06,1e-08,rtol,1.6834525282159246e-06,1.6834525163283063e-06,7.061451424344723e-07
lhs00_114,ionic,OK,direct,23578,spsolve,spsolve,,,,,,,,,1.3180431898607594e-07,1.3180431898607594e-07,0.0
lhs00_114,electronic,OK,direct,796,spsolve,spsolve,,,,,,,,,1.1479888160721158e-07,1.1479888160721158e-07,0.0
lhs00_114,thermal,OK,direct,24374,spsolve,spsolve,,,,,,,,,2.550642169420693e-06,2.550642169420693e-06,0.0
lhs00_115,ionic,OK,direct,7454,spsolve,spsolve,,,,,,,,,3.958202448143444e-08,3.958202448143444e-08,0.0
lhs00_115,electronic,OK,direct,30,spsolve,spsolve,,,,,,,,,2.1750987089955066e-07,2.1750987089955066e-07,0.0
lhs00_115,thermal,OK,direct,7484,spsolve,spsolve,,,,,,,,,2.3281982054052512e-06,2.3281982054052512e-06,0.0
lhs00_116,ionic,OK,direct,7460,spsolve,spsolve,,,,,,,,,8.15976090704524e-08,8.15976090704524e-08,0.0
lhs00_116,electronic,OK,direct,75,spsolve,spsolve,,,,,,,,,2.145465215872973e-07,2.145465215872973e-07,0.0
lhs00_116,thermal,OK,direct,7535,spsolve,spsolve,,,,,,,,,2.8104166244269097e-06,2.8104166244269097e-06,0.0
lhs00_117,ionic,OK,direct,26451,spsolve,spsolve,,,,,,,,,1.0258754100065275e-08,1.0258754100065275e-08,0.0
lhs00_117,electronic,OK,direct,100,spsolve,spsolve,,,,,,,,,2.878373756628159e-07,2.878373756628159e-07,0.0
lhs00_117,thermal,OK,direct,26551,spsolve,spsolve,,,,,,,,,2.1419259108081147e-06,2.1419259108081147e-06,0.0
lhs00_118,ionic,OK,direct,12788,spsolve,spsolve,,,,,,,,,2.2874719729611833e-07,2.2874719729611833e-07,0.0
lhs00_118,electronic,OK,direct,461,spsolve,spsolve,,,,,,,,,8.636316843872203e-08,8.636316843872203e-08,0.0
lhs00_118,thermal,OK,direct,13249,spsolve,spsolve,,,,,,,,,2.756996106646954e-06,2.756996106646954e-06,0.0
lhs00_119,ionic,OK,direct,5264,spsolve,spsolve,,,,,,,,,2.1336272107103207e-08,2.1336272107103207e-08,0.0
lhs00_119,electronic,OK,direct,75,spsolve,spsolve,,,,,,,,,2.4607559886382343e-07,2.4607559886382343e-07,0.0
lhs00_119,thermal,OK,direct,5339,spsolve,spsolve,,,,,,,,,2.1921760108181203e-06,2.1921760108181203e-06,0.0
lhs00_120,ionic,OK,iterative,42091,cg,cg,atol,1e-08,1e-08,0,1e-05,1.0000000000000002e-06,1e-08,rtol,4.004254987463518e-08,4.004254979952053e-08,1.8758708021119546e-07
lhs00_120,electronic,OK,direct,100,spsolve,spsolve,,,,,,,,,2.241629681832154e-07,2.241629681832154e-07,0.0
lhs00_120,thermal,OK,iterative,42191,cg,cg,atol,1e-08,1e-08,0,1e-05,1.0000000000000002e-06,1e-08,rtol,2.198085768053808e-06,2.1980855245456736e-06,1.107819075567533e-05
lhs00_121,ionic,OK,iterative,30314,cg,cg,atol,1e-08,1e-08,0,1e-05,1.0000000000000002e-06,1e-08,rtol,2.492654571440506e-07,2.492654565015325e-07,2.57764601662339e-07
lhs00_121,electronic,OK,direct,195,spsolve,spsolve,,,,,,,,,9.210082186020308e-08,9.210082186020308e-08,0.0
lhs00_121,thermal,OK,iterative,30509,cg,cg,atol,1e-08,1e-08,0,1e-05,1.0000000000000002e-06,1e-08,rtol,2.704770931326921e-06,2.704770911493263e-06,7.332842060148909e-07
lhs00_122,ionic,OK,direct,7858,spsolve,spsolve,,,,,,,,,4.584400658418801e-09,4.584400658418801e-09,0.0
lhs00_122,electronic,OK,direct,137,spsolve,spsolve,,,,,,,,,2.5794744256531507e-07,2.5794744256531507e-07,0.0
lhs00_122,thermal,OK,direct,7995,spsolve,spsolve,,,,,,,,,1.8222408804094464e-06,1.8222408804094464e-06,0.0
lhs00_123,ionic,OK,direct,12507,spsolve,spsolve,,,,,,,,,5.190114339504931e-10,5.190114339504931e-10,0.0
lhs00_123,electronic,OK,direct,137,spsolve,spsolve,,,,,,,,,2.8014199142382637e-07,2.8014199142382637e-07,0.0
lhs00_123,thermal,OK,direct,12644,spsolve,spsolve,,,,,,,,,1.6865922089712302e-06,1.6865922089712302e-06,0.0
lhs00_124,ionic,OK,direct,7859,spsolve,spsolve,,,,,,,,,2.927563268496181e-09,2.927563268496181e-09,0.0
lhs00_124,electronic,OK,direct,461,spsolve,spsolve,,,,,,,,,2.3019629880995893e-07,2.3019629880995893e-07,0.0
lhs00_124,thermal,OK,direct,8320,spsolve,spsolve,,,,,,,,,1.7394922027760038e-06,1.7394922027760038e-06,0.0
lhs00_125,ionic,OK,iterative,79577,cg,cg,atol,1e-08,1e-08,0,1e-05,1.0000000000000002e-06,1e-08,rtol,1.3375766073024382e-07,1.3375766010172827e-07,4.6989125176753374e-07
lhs00_125,electronic,OK,direct,290,spsolve,spsolve,,,,,,,,,1.1553968740124425e-07,1.1553968740124425e-07,0.0
lhs00_125,thermal,OK,iterative,79867,cg,cg,atol,1e-08,1e-08,0,1e-05,1.0000000000000002e-06,1e-08,rtol,2.2727229364137684e-06,2.2727229167281434e-06,8.661691554795805e-07
lhs00_126,ionic,SOLVE_NONE,none,3722,none,none,,,,,,,,,,,
lhs00_126,electronic,OK,direct,795,spsolve,spsolve,,,,,,,,,2.1698165175995077e-07,2.1698165175995077e-07,0.0
lhs00_126,thermal,OK,direct,4517,spsolve,spsolve,,,,,,,,,1.3713658281745255e-06,1.3713658281745255e-06,0.0
lhs00_127,ionic,OK,direct,12479,spsolve,spsolve,,,,,,,,,2.016924395947091e-08,2.016924395947091e-08,0.0
lhs00_127,electronic,OK,direct,58,spsolve,spsolve,,,,,,,,,2.486383010657862e-07,2.486383010657862e-07,0.0
lhs00_127,thermal,OK,direct,12537,spsolve,spsolve,,,,,,,,,2.3877227110301234e-06,2.3877227110301234e-06,0.0
lhs00_128,ionic,SOLVE_NONE,none,1561,none,none,,,,,,,,,,,
lhs00_128,electronic,OK,direct,37,spsolve,spsolve,,,,,,,,,4.937544641189708e-07,4.937544641189708e-07,0.0
lhs00_128,thermal,OK,direct,1598,spsolve,spsolve,,,,,,,,,2.780529622324536e-06,2.780529622324536e-06,0.0
lhs00_129,ionic,OK,iterative,79539,cg,cg,atol,1e-08,1e-08,0,1e-05,1.0000000000000002e-06,1e-08,rtol,1.49309271017329e-07,1.4930927013326452e-07,5.921028751468648e-07
lhs00_129,electronic,OK,direct,46,spsolve,spsolve,,,,,,,,,1.5957752038450095e-07,1.5957752038450095e-07,0.0
lhs00_129,thermal,OK,iterative,79585,cg,cg,atol,1e-08,1e-08,0,1e-05,1.0000000000000002e-06,1e-08,rtol,2.4861604445653463e-06,2.486160381236357e-06,2.547260750612818e-06
