case,channel,status,rho_kind,n_nodes,path_A,path_B,kwarg,tol_A,tol_B,cg_info_A,rtol_A,rtol_B,atol_A,binding_A,sigma_ratio_A,sigma_ratio_B,delta_pct,delta_perm_pct,perm_status,perm_n_moved,perm_path,rho_registered_pct,rho_source
lhs00_000,ionic,OK,direct,5265,spsolve,spsolve,,,,,,,,,5.992182685939948e-09,5.992182685939948e-09,0.0,2.0581371069528842e-08,OK,5263,spsolve,2.0581371069528842e-08,permutation
lhs00_000,electronic,OK,iterative,39765,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,1.189875783377619e-07,1.1898757454689717e-07,3.1859331766301793e-06,2.5705951451604393e-08,OK,39765,cg,3.1859331766301793e-06,tighten
lhs00_000,thermal,OK,iterative,45030,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,3.1695426483786877e-06,3.169542567705655e-06,2.5452578404673017e-06,4.7314466101804236e-07,OK,45030,cg,2.5452578404673017e-06,tighten
lhs00_001,ionic,SOLVE_NONE,none,12564,none,none,,,,,,,,,,,,,skipped,,,,
lhs00_001,electronic,OK,iterative,39845,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,1.6974531611743116e-07,1.6974531045795157e-07,3.3341005952136074e-06,1.4034675472514279e-06,OK,39844,cg,3.3341005952136074e-06,tighten
lhs00_001,thermal,OK,iterative,52409,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,2.359626011379464e-06,2.359625848464059e-06,6.904289247107311e-06,4.908127594444269e-07,OK,52409,cg,6.904289247107311e-06,tighten
lhs00_002,ionic,OK,direct,12789,spsolve,spsolve,,,,,,,,,2.682821343696219e-07,2.682821343696219e-07,0.0,1.512747511630963e-08,OK,12787,spsolve,1.512747511630963e-08,permutation
lhs00_002,electronic,OK,direct,420,spsolve,spsolve,,,,,,,,,1.861174643616859e-08,1.861174643616859e-08,0.0,2.168867603641046e-11,OK,420,spsolve,2.168867603641046e-11,permutation
lhs00_002,thermal,OK,direct,13209,spsolve,spsolve,,,,,,,,,3.174297455353992e-06,3.174297455353992e-06,0.0,6.521729308150199e-10,OK,13208,spsolve,6.521729308150199e-10,permutation
lhs00_003,ionic,OK,direct,17683,spsolve,spsolve,,,,,,,,,6.451278302789294e-08,6.451278302789294e-08,0.0,3.294165775081997e-08,OK,17682,spsolve,3.294165775081997e-08,permutation
lhs00_003,electronic,OK,direct,493,spsolve,spsolve,,,,,,,,,6.727790537026448e-08,6.727790537026448e-08,0.0,2.4255539815986367e-11,OK,491,spsolve,2.4255539815986367e-11,permutation
lhs00_003,thermal,OK,direct,18176,spsolve,spsolve,,,,,,,,,2.330312917876781e-06,2.330312917876781e-06,0.0,1.2683796441110274e-09,OK,18173,spsolve,1.2683796441110274e-09,permutation
lhs00_004,ionic,OK,iterative,59639,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,7.087496337624711e-08,7.087496319293713e-08,2.5863856295391513e-07,1.4528135111474278e-08,OK,59638,cg,2.5863856295391513e-07,tighten
