parameter,notation,value,units,source,note
critical_compression,theta_c,2.5e-2,dimensionless,stated_Table2,"singular value of F_E clamped to lower bound (1-theta_c); smaller=powdery onset"
critical_stretch,theta_s,7.5e-3,dimensionless,stated_Table2,"singular value of F_E clamped to upper bound (1+theta_s); fracture/tear onset"
hardening_coefficient,xi,10,dimensionless,stated_Table2,"plastic hardening; mu,lambda scale as exp(xi*(1-J_P)); larger=brittle, smaller=ductile"
initial_density,rho0,4.0e2,kg/m^3,stated_Table2,"snow initial density (very low; LPSCl SE bulk ~1640-2000x denser)"
initial_youngs_modulus,E0,1.4e5,Pa,stated_Table2,"0.14 MPa = snow; ~1.1e5x softer than our MPM SE champion 1.53 GPa"
poisson_ratio,nu,0.2,dimensionless,stated_Table2,"snow Poisson (compressible); our MPM SE uses nu=0.49 stiff-bulk for incompressible granular flow"
mu0_lame_shear,mu0,5.833e4,Pa,derived_from_E0_nu,"mu0 = E0/(2(1+nu)) = 1.4e5/2.4 = 58.3 kPa (initial shear Lame)"
lambda0_lame,lambda0,3.889e4,Pa,derived_from_E0_nu,"lambda0 = E0*nu/((1+nu)(1-2nu)) = 1.4e5*0.2/(1.2*0.6) = 38.9 kPa (initial first Lame)"
flip_pic_blend_alpha,alpha,0.95,dimensionless,stated_sec4.1,"v = (1-alpha)*v_PIC + alpha*v_FLIP, alpha=0.95 (FLIP-dominant); our MPM uses APIC/MLS-MPM (successor)"
particles_per_cell,n_ppc,4-10,count,stated_sec11,"4-10 particles per grid cell for initially packed snow"
explicit_timestep,dt_explicit,1e-5,s,stated_sec11,"explicit MPM stability limit (CFL); semi-implicit allows ~50x larger"
semiimplicit_timestep,dt_semiimplicit,5e-4,s,stated_sec11,"semi-implicit backward/trapezoidal Euler; 10-30 CG iterations, no preconditioning"
youngs_lower_alt,E0_alt_low,4.8e4,Pa,stated_Fig8,"Fig8 'lower Young modulus' variant E0=48 kPa (vs reference 1.4e5)"
critical_compression_alt,theta_c_alt,1.9e-2,dimensionless,stated_Fig8,"Fig8 'lower critical compression' variant (vs reference 2.5e-2)"
critical_stretch_alt,theta_s_alt,5.0e-3,dimensionless,stated_Fig8,"Fig8 'lower critical stretch' variant (vs reference 7.5e-3)"
hardening_alt,xi_alt,5,dimensionless,stated_Fig8,"Fig8 'lower hardening' variant (vs reference 10)"
