# Storakers, Biwa & Larsson (1997) Int. J. Solids Struct. 34(24) 3061-3083
# "Similarity analysis of inelastic contact" (KTH Stockholm)
# DOI 10.1016/S0020-7683(96)00176-X
# Self-similar analysis of viscoplastic / strain-hardening-plastic indentation of a half-space and
# mutual indentation of two power-law bodies.  Constitutive law sigma_e = sigma_0 * eps_e^(1/m) (eq 6),
# m = strain-hardening exponent (m=inf ideally-plastic, m=1 linear hardening), n = creep/rate exponent.
# ---------------------------------------------------------------------------------------------------
# c^2(m,n) = the SIMILARITY CONSTANT relating TRUE contact area to apparent (geometric) overlap area.
#   Profile under a spherical indenter (p=2): u3 = h*[1 - c^2*(r/a)^2]  (eq 74).
#   c^2 > 1  => surface PILES UP at the contact rim (true contact area > geometric overlap)  [ideal plastic]
#   c^2 < 1  => surface SINKS IN (true contact area < geometric overlap)                     [strong hardening]
#   c^2 = 1  => transition (rim displacement exactly at original surface)                    [near m=3, cold work]
#   Contact-area law:  A = 2*pi * c^2(m) * r * h   (= Martin-Bouvard 2003 eq 8; r=reduced radius, h=overlap)
#   Plotted in Fig 5 as (c^2 - 1) vs (1/m + 1/n).  Below: digitized-from-Fig5 TREND values (approx) +
#   the two STATED endpoints/transition (ideal-plastic 1.43-1.45 ; transition c^2=1 at 1/m+1/n~1/3).
# All c^2 rows marked digitized are READ-FROM-Fig5 (approximate, TREND only). Endpoints/constants marked stated.
# quantity,value,units,condition,source,notes
# ===== c^2(m,n) PILE-UP / SINK-IN SIMILARITY CONSTANT vs HARDENING (Fig 5, p=2 sphere) =====
c2,1.43,dimensionless,ideal plasticity (1/m+1/n -> 0; m,n -> inf),stated_text+Fig5,"c^2-1 ~ +0.43 at axis origin; rigid-ideally-plastic; max pile-up"
c2,1.45,dimensionless,ideal plasticity (Martin-Bouvard quote of Storakers table),stated_MartinBouvard2003,"c(m=inf)~1.45 cited downstream; consistent with 1.43 here (read tolerance)"
c2,1.30,dimensionless,1/m+1/n ~ 0.15 (weak hardening),digitized_Fig5(approx),"c^2-1 ~ +0.30; strong pile-up still"
c2,1.10,dimensionless,1/m+1/n ~ 0.27 (moderate hardening),digitized_Fig5(approx),"c^2-1 ~ +0.10"
c2,1.00,dimensionless,1/m+1/n ~ 0.33 (= 1/3 ; sink-in<->pile-up transition),stated_text+Fig5,"TRANSITION: at 1/m+1/n ~= 1/3 surface neither piles up nor sinks in; ~ m=3 annealed metal (Norbury-Samuel 1928)"
c2,0.90,dimensionless,1/m+1/n ~ 0.42,digitized_Fig5(approx),"c^2-1 ~ -0.10; sink-in begins"
c2,0.70,dimensionless,1/m+1/n ~ 0.6,digitized_Fig5(approx),"c^2-1 ~ -0.30; moderate sink-in"
c2,0.55,dimensionless,1/m+1/n ~ 0.85,digitized_Fig5(approx),"c^2-1 ~ -0.45"
c2,0.50,dimensionless,linear hardening (1/m+1/n -> 1 ; m=n=1),stated_endpoint+Fig5,"c^2 ~ 0.5 at far end; ~ the value used as 'linear hardening' floor in Martin-Bouvard c(m): 0.5(linear)->1.45(ideal)"
# ===== the c^2(m)=c^2(n) coincidence (key simplification) =====
c2_m_equals_c2_n,true,n/a,Biwa-Storakers 1995 finding,stated_text,"c^2(m)=c^2(n) to very close agreement; combined cases collapse on single function of 1/m+1/n (Fig5)"
sink_in_to_pileup_transition,1/3,1/m+1/n,sphere p=2,stated_Fig5,"transition from sinking-in to piling-up at 1/m+1/n ~ 1/3"
