# convention: band_um=0.15 · contacts = distinct conductive objects outside the AM surface · mpm_material_points
bed,am_index,contacts
SBE,0,96
SBE,1,71
SBE,2,68
SBE,3,68
SBE,4,83
SBE,5,57
SBE,6,69
SBE,7,63
SBE,8,60
SBE,9,80
SBE,10,63
SBE,11,73
SBE,12,71
SBE,13,73
SBE,14,92
SBE,15,68
SBE,16,71
SBE,17,67
SBE,18,77
SBE,19,55
SBE,20,78
SBE,21,82
SBE,22,60
SBE,23,56
SBE,24,96
SBE,25,62
SBE,26,82
SBE,27,62
SBE,28,59
SBE,29,69
SBE,30,77
SBE,31,74
SBE,32,62
SBE,33,58
SBE,34,77
SBE,35,83
SBE,36,89
SBE,37,62
SBE,38,65
SBE,39,59
SBE,40,58
SBE,41,65
SBE,42,60
SBE,43,65
SBE,44,75
SBE,45,72
SBE,46,55
SBE,47,74
SBE,48,93
SBE,49,48
SBE,50,72
SBE,51,76
SBE,52,54
SBE,53,71
SBE,54,67
SBE,55,77
SBE,56,86
SBE,57,81
SBE,58,90
SBE,59,70
SBE,60,61
SBE,61,75
SBE,62,91
SBE,63,86
SBE,64,67
SBE,65,74
SBE,66,84
SBE,67,73
SBE,68,62
SBE,69,80
SBE,70,69
SBE,71,98
SBE,72,104
SBE,73,67
SBE,74,70
SBE,75,81
SBE,76,71
SBE,77,82
SBE,78,67
SBE,79,68
SBE,80,67
SBE,81,90
SBE,82,83
SBE,83,74
SBE,84,79
SBE,85,90
SBE,86,61
SBE,87,80
SBE,88,80
SBE,89,75
SBE,90,81
SBE,91,80
SBE,92,61
SBE,93,57
SBE,94,81
SBE,95,70
SBE,96,92
SBE,97,63
SBE,98,82
SBE,99,77
SBE,100,78
SBE,101,62
SBE,102,87
SBE,103,69
SBE,104,71
SBE,105,66
SBE,106,72
SBE,107,83
SBE,108,94
SBE,109,81
SBE,110,77
SBE,111,93
SBE,112,61
SBE,113,70
SBE,114,75
SBE,115,64
SBE,116,64
SBE,117,90
SBE,118,83
SBE,119,78
SBE,120,76
SBE,121,85
SBE,122,78
SBE,123,78
SBE,124,72
SBE,125,65
SBE,126,60
SBE,127,59
SBE,128,63
SBE,129,91
SBE,130,86
SBE,131,74
SBE,132,69
SBE,133,68
SBE,134,68
SBE,135,79
SBE,136,69
SBE,137,78
SBE,138,75
SBE,139,73
SBE,140,86
SBE,141,82
SBE,142,84
SBE,143,72
SBE,144,88
SBE,145,86
SBE,146,76
SBE,147,85
SBE,148,51
SBE,149,68
SBE,150,88
SBE,151,61
SBE,152,80
SBE,153,69
SBE,154,83
SBE,155,60
SBE,156,81
SBE,157,65
SBE,158,82
SBE,159,64
SBE,160,77
SBE,161,84
SBE,162,76
SBE,163,70
SBE,164,75
SBE,165,77
SBE,166,103
SBE,167,78
SBE,168,71
SBE,169,68
SBE,170,55
SBE,171,84
SBE,172,70
SBE,173,66
SBE,174,80
SBE,175,74
SBE,176,69
SBE,177,90
SBE,178,66
SBE,179,75
SBE,180,73
SBE,181,86
SBE,182,74
SBE,183,94
SBE,184,84
SBE,185,63
SBE,186,86
SBE,187,69
SBE,188,66
SBE,189,75
SBE,190,67
SBE,191,95
SBE,192,84
SBE,193,71
SBE,194,72
SBE,195,59
SBE,196,87
SBE,197,80
SBE,198,76
SBE,199,80
SBE,200,87
SBE,201,62
SBE,202,89
SBE,203,59
SBE,204,71
SBE,205,61
SBE,206,61
SBE,207,93
SBE,208,73
SBE,209,91
SBE,210,83
SBE,211,86
SBE,212,74
SBE,213,84
SBE,214,92
SBE,215,65
SBE,216,92
SBE,217,82
SBE,218,72
SBE,219,82
SBE,220,69
SBE,221,77
SBE,222,72
SBE,223,72
SBE,224,79
SBE,225,69
SBE,226,64
SBE,227,83
SBE,228,79
SBE,229,83
SBE,230,68
SBE,231,64
SBE,232,76
SBE,233,84
SBE,234,75
SBE,235,77
SBE,236,77
SBE,237,75
SBE,238,81
SBE,239,74
SBE,240,77
SBE,241,64
SBE,242,77
SBE,243,59
SBE,244,61
SBE,245,73
SBE,246,66
SBE,247,68
SBE,248,67
SBE,249,80
SBE,250,73
SBE,251,71
SBE,252,66
SBE,253,95
SBE,254,59
SBE,255,74
SBE,256,75
SBE,257,79
SBE,258,91
SBE,259,69
SBE,260,86
SBE,261,84
SBE,262,76
SBE,263,80
SBE,264,73
SBE,265,81
SBE,266,74
SBE,267,93
SBE,268,70
SBE,269,86
SBE,270,94
SBE,271,66
SBE,272,89
SBE,273,65
SBE,274,84
SBE,275,74
SBE,276,63
SBE,277,68
SBE,278,77
SBE,279,82
SBE,280,72
SBE,281,82
SBE,282,60
SBE,283,75
SBE,284,77
SBE,285,97
SBE,286,71
SBE,287,74
SBE,288,70
SBE,289,68
SBE,290,87
SBE,291,91
SBE,292,63
SBE,293,90
SBE,294,95
SBE,295,78
SBE,296,81
SBE,297,56
SBE,298,86
SBE,299,86
SBE,300,92
SBE,301,65
SBE,302,90
SBE,303,78
SBE,304,85
SBE,305,79
SBE,306,76
SBE,307,74
SBE,308,45
SBE,309,74
SBE,310,71
SBE,311,106
SBE,312,71
SBE,313,91
SBE,314,70
SBE,315,77
SBE,316,77
SBE,317,74
SBE,318,72
SBE,319,69
SBE,320,62
SBE,321,79
SBE,322,60
SBE,323,64
SBE,324,61
SBE,325,80
SBE,326,90
SBE,327,89
SBE,328,79
SBE,329,93
SBE,330,89
SBE,331,81
SBE,332,83
SBE,333,71
SBE,334,90
SBE,335,74
SBE,336,75
SBE,337,84
SBE,338,75
SBE,339,90
SBE,340,82
SBE,341,80
SBE,342,72
SBE,343,66
