SBE contacts per AM (0.15 um band),DBE contacts per AM (0.15 um band)
96,105
71,87
68,77
68,80
83,93
57,68
69,77
63,72
60,67
80,90
63,75
73,83
71,84
73,82
92,104
68,82
71,87
67,73
77,90
55,74
78,93
82,91
60,67
56,67
96,106
62,71
82,90
62,73
59,70
69,76
77,91
74,86
62,75
58,69
77,85
83,96
89,98
62,73
65,75
59,75
58,64
65,77
60,73
65,73
75,86
72,86
55,62
74,84
93,103
48,56
72,83
76,89
54,64
71,80
67,76
77,88
86,96
81,96
90,101
70,79
61,68
75,84
91,106
86,96
67,79
74,90
84,98
73,91
62,76
80,92
69,76
98,108
104,111
67,79
70,81
81,90
71,81
82,90
67,81
68,81
67,80
90,98
83,92
74,84
79,93
90,110
61,70
80,94
80,92
75,88
81,89
80,90
61,76
57,70
81,92
70,85
92,106
63,72
82,95
77,86
78,88
62,72
87,93
69,85
71,81
66,74
72,82
83,89
94,101
81,87
77,88
93,106
61,71
70,86
75,82
64,73
64,74
90,101
83,95
78,93
76,90
85,94
78,87
78,88
72,84
65,74
60,71
59,67
63,76
91,106
86,95
74,85
69,82
68,80
68,79
79,92
69,88
78,87
75,82
73,85
86,98
82,94
84,98
72,87
88,94
86,92
76,85
85,96
51,63
68,79
88,100
61,66
80,87
69,78
83,94
60,65
81,94
65,72
82,97
64,75
77,90
84,88
76,86
70,78
75,86
77,88
103,113
78,88
71,84
68,78
55,64
84,94
70,75
66,77
80,89
74,81
69,81
90,96
66,76
75,84
73,85
86,99
74,85
94,104
84,94
63,80
86,98
69,78
66,77
75,84
67,75
95,103
84,97
71,81
72,83
59,74
87,96
80,92
76,92
80,89
87,103
62,75
89,97
59,69
71,82
61,70
61,67
93,106
73,85
91,100
83,88
86,101
74,86
84,95
92,105
65,79
92,105
82,97
72,81
82,91
69,80
77,86
72,83
72,86
79,88
69,88
64,77
83,96
79,90
83,97
68,77
64,75
76,87
84,91
75,83
77,93
77,91
75,86
81,92
74,92
77,90
64,79
77,88
59,67
61,77
73,84
66,76
68,84
67,76
80,95
73,83
71,82
66,76
95,107
59,65
74,88
75,84
79,90
91,103
69,80
86,103
84,101
76,91
80,97
73,83
81,93
74,82
93,104
70,82
86,96
94,109
66,79
89,98
65,77
84,96
74,85
63,73
68,80
77,87
82,91
72,85
82,94
60,75
75,86
77,91
97,105
71,78
74,81
70,77
68,81
87,94
91,103
63,75
90,99
95,106
78,88
81,98
56,63
86,96
86,98
92,103
65,76
90,105
78,88
85,97
79,86
76,86
74,87
45,55
74,87
71,80
106,118
71,79
91,102
70,79
77,85
77,88
74,83
72,86
69,79
62,71
79,90
60,76
64,77
61,74
80,93
90,99
89,100
79,92
93,100
89,100
81,94
83,92
71,82
90,109
74,90
75,94
84,94
75,83
90,102
82,92
80,95
72,86
66,75
67,75
73,82
76,91
73,90
66,76
82,94
70,82
61,71
68,83
98,114
93,108
65,74
76,93
67,80
84,98
72,82
61,70
89,99
56,70
65,79
73,83
72,82
86,102
70,86
85,96
68,74
95,105
84,89
82,96
76,83
72,88
83,94
76,85
88,95
76,92
82,89
82,94
82,96
70,82
65,77
76,84
75,86
78,87
84,90
71,88
66,77
74,87
82,92
73,83
90,109
56,68
83,88
89,107
76,85
47,55
90,101
88,97
77,94
87,98
77,84
73,82
96,110
88,101
75,85
75,87
78,88
79,88
76,87
62,76
55,70
70,78
79,87
67,73
73,88
97,112
73,87
60,70
81,90
73,85
69,86
79,89
81,89
82,98
67,77
95,109
76,84
68,81
80,85
74,91
89,99
82,92
79,89
55,69
83,91
55,62
70,77
70,79
66,73
59,69
83,92
75,84
76,95
72,91
78,82
81,93
82,95
80,91
83,93
61,71
91,103
64,77
77,89
66,71
76,87
74,87
78,91
85,98
78,93
93,100
76,92
70,78
66,81
64,72
83,98
64,76
98,111
59,75
83,95
76,91
61,69
64,77
63,74
87,99
72,84
94,111
70,83
86,100
55,65
86,98
64,73
66,77
58,66
87,100
81,90
79,90
93,105
75,84
74,82
65,71
69,82
79,91
70,79
80,91
62,75
91,101
77,90
62,76
62,76
68,76
92,109
85,97
61,73
66,76
80,88
59,77
78,97
93,111
75,84
65,76
58,68
61,67
78,85
72,85
78,90
80,91
67,78
80,92
65,72
61,72
97,109
82,92
80,91
85,95
93,103
85,98
75,95
64,79
66,76
57,63
76,86
62,70
77,83
74,89
77,90
72,79
75,87
55,65
70,83
71,83
81,91
74,88
49,61
69,77
70,84
67,81
85,97
59,73
73,83
82,96
64,72
86,102
93,107
66,73
71,77
66,75
63,72
61,77
76,90
68,79
69,84
84,97
72,81
73,85
82,90
82,94
56,66
76,88
67,80
81,89
81,95
88,93
51,63
84,102
60,71
73,85
60,65
69,82
85,97
90,99
68,78
72,87
75,89
64,70
84,99
73,84
75,85
58,70
81,89
90,105
53,63
69,76
71,87
81,88
72,81
70,77
80,96
82,95
72,84
65,83
76,83
56,70
64,72
72,82
59,68
67,76
72,81
76,89
59,68
88,93
79,93
56,68
88,101
75,81
72,83
79,95
74,82
88,103
76,90
85,94
61,72
87,101
72,87
52,69
72,81
67,78
66,76
71,79
57,66
87,100
72,86
98,106
66,76
86,95
61,77
65,80
53,61
98,109
86,101
78,90
73,82
61,69
61,73
80,95
76,82
77,92
58,65
75,85
74,82
85,98
60,69
74,86
64,81
69,81
64,80
74,87
71,77
48,60
65,80
81,95
54,63
75,84
61,70
63,76
71,83
50,60
68,77
73,81
77,85
69,78
62,68
62,71
57,70
70,81
47,56
78,89
68,80
76,87
42,55
87,97
54,66
90,101
59,75
82,90
68,85
84,93
63,71
63,75
94,102
68,78
65,76
65,72
65,72
59,66
71,78
78,88
86,98
60,71
81,96
73,83
78,90
75,86
78,87
80,95
73,85
76,87
80,99
88,104
73,83
56,65
77,95
82,93
58,70
70,80
80,87
64,71
73,85
79,86
54,68
80,93
76,89
69,80
79,88
75,86
77,90
98,105
79,91
83,99
81,93
68,85
77,91
64,84
90,102
70,85
80,93
82,90
91,96
95,107
83,94
67,78
58,68
72,78
70,83
76,89
66,73
76,91
77,89
69,81
67,83
52,61
59,75
86,96
85,98
97,110
73,83
77,85
75,81
69,78
67,76
88,101
70,89
68,75
80,100
89,99
68,82
69,83
86,97
66,79
67,78
76,89
90,106
77,87
68,82
82,94
59,66
76,82
70,85
58,71
