E-EF_eV,comp1_LPSCl_total_perfu,modelc_LPSCl16_total_perfu
-8.000,0.0000,0.0000
-7.990,0.0000,0.0000
-7.980,0.0000,0.0000
-7.970,0.0000,0.0000
-7.960,0.0000,0.0000
-7.950,0.0000,0.0000
-7.940,0.0000,0.0000
-7.930,0.0000,0.0000
-7.920,0.0000,0.0000
-7.910,0.0000,0.0000
-7.900,0.0000,0.0000
-7.890,0.0000,0.0000
-7.880,0.0000,0.0000
-7.870,0.0000,0.0000
-7.860,0.0000,0.0000
-7.850,0.0000,0.0000
-7.840,0.0000,0.0000
-7.830,0.0000,0.0000
-7.820,0.0000,0.0000
-7.810,0.0000,0.0000
-7.800,0.0000,0.0000
-7.790,0.0000,0.0000
-7.780,0.0000,0.0000
-7.770,0.0000,0.0000
-7.760,0.0000,0.0000
-7.750,0.0000,0.0000
-7.740,0.0000,0.0000
-7.730,0.0000,0.0000
-7.720,0.0000,0.0000
-7.710,0.0000,0.0000
-7.700,0.0000,0.0000
-7.690,0.0000,0.0000
-7.680,0.0000,0.0000
-7.670,0.0000,0.0000
-7.660,0.0000,0.0000
-7.650,0.0000,0.0000
-7.640,0.0000,0.0000
-7.630,0.0000,0.0000
-7.620,0.0000,0.0000
-7.610,0.0000,0.0000
-7.600,0.0000,0.0000
-7.590,0.0000,0.0000
-7.580,0.0000,0.0000
-7.570,0.0000,0.0000
-7.560,0.0000,0.0000
-7.550,0.0000,0.0000
-7.540,0.0000,0.0000
-7.530,0.0000,0.0000
-7.520,0.0000,0.0000
-7.510,0.0000,0.0000
-7.500,0.0000,0.0000
-7.490,0.0000,0.0000
-7.480,0.0000,0.0000
-7.470,0.0000,0.0000
-7.460,0.0000,0.0000
-7.450,0.0000,0.0000
-7.440,0.0000,0.0000
-7.430,0.0000,0.0000
-7.420,0.0000,0.0000
-7.410,0.0000,0.0000
-7.400,0.0000,0.0000
-7.390,0.0000,0.0000
-7.380,0.0000,0.0000
-7.370,0.0000,0.0000
-7.360,0.0000,0.0000
-7.350,0.0000,0.0000
-7.340,0.0000,0.0000
-7.330,0.0000,0.0000
-7.320,0.0000,0.0000
-7.310,0.0000,0.0000
-7.300,0.0000,0.0000
-7.290,0.0000,0.0000
-7.280,0.0000,0.0000
-7.270,0.0000,0.0000
-7.260,0.0000,0.0000
-7.250,0.0000,0.0000
-7.240,0.0000,0.0000
-7.230,0.0000,0.0000
-7.220,0.0000,0.0000
-7.210,0.0000,0.0000
-7.200,0.0000,0.0000
-7.190,0.0000,0.0000
-7.180,0.0000,0.0000
-7.170,0.0000,0.0000
-7.160,0.0000,0.0000
-7.150,0.0000,0.0000
-7.140,0.0000,0.0000
-7.130,0.0000,0.0000
-7.120,0.0000,0.0000
-7.110,0.0000,0.0000
-7.100,0.0000,0.0000
-7.090,0.0000,0.0000
-7.080,0.0000,0.0000
-7.070,0.0000,0.0000
-7.060,0.0000,0.0000
-7.050,0.0000,0.0000
-7.040,0.0000,0.0000
-7.030,0.0000,0.0000
-7.020,0.0000,0.0000
-7.010,0.0000,0.0000
-7.000,0.0000,0.0000
-6.990,0.0000,0.0000
-6.980,0.0000,0.0000
-6.970,0.0000,0.0000
-6.960,0.0000,0.0000
-6.950,0.0000,0.0000
-6.940,0.0000,0.0000
-6.930,0.0000,0.0000
-6.920,0.0000,0.0000
-6.910,0.0000,0.0000
-6.900,0.0000,0.0000
-6.890,0.0000,0.0000
-6.880,0.0000,0.0000
-6.870,0.0000,0.0000
-6.860,0.0000,0.0000
-6.850,0.0000,0.0000
-6.840,0.0000,0.0000
-6.830,0.0000,0.0000
-6.820,0.0000,0.0000
-6.810,0.0000,0.0000
-6.800,0.0000,0.0000
-6.790,0.0000,0.0000
-6.780,0.0000,0.0000
-6.770,0.0000,0.0000
-6.760,0.0000,0.0000
-6.750,0.0000,0.0000
-6.740,0.0000,0.0000
-6.730,0.0000,0.0000
-6.720,0.0000,0.0000
-6.710,0.0000,0.0000
-6.700,0.0000,0.0000
-6.690,0.0000,0.0000
-6.680,0.0000,0.0000
-6.670,0.0000,0.0000
-6.660,0.0000,0.0000
-6.650,0.0000,0.0000
-6.640,0.0000,0.0000
-6.630,0.0000,0.0000
-6.620,0.0000,0.0000
-6.610,0.0000,0.0000
-6.600,0.0000,0.0000
-6.590,0.0000,0.0000
-6.580,0.0000,0.0000
-6.570,0.0000,0.0000
-6.560,0.0000,0.0000
-6.550,0.0000,0.0000
-6.540,0.0000,0.0000
-6.530,0.0000,0.0000
-6.520,0.0000,0.0000
-6.510,0.0000,0.0000
-6.500,0.0000,0.0000
-6.490,0.0000,0.0000
-6.480,0.0000,0.0000
-6.470,0.0000,0.0000
-6.460,0.0002,0.0000
-6.450,0.2810,0.0000
-6.440,2.8402,0.0000
-6.430,3.3063,0.0000
-6.420,3.8075,0.0000
-6.410,3.5725,0.0000
-6.400,3.6975,0.0000
-6.390,3.8077,0.0000
-6.380,3.8005,0.0000
-6.370,3.9603,0.0000
-6.360,4.3348,0.0000
-6.350,4.2890,0.0000
-6.340,4.7678,0.0000
-6.330,5.3418,0.0000
-6.320,5.6198,0.0000
-6.310,5.5377,0.0000
-6.300,5.4358,0.0000
-6.290,5.5558,0.0000
-6.280,6.0867,0.0000
-6.270,7.1362,0.0000
-6.260,6.8850,0.0000
-6.250,6.5075,0.0000
-6.240,6.1210,0.0000
-6.230,5.8715,0.0000
-6.220,5.8138,0.0000
-6.210,6.2143,0.0000
-6.200,6.4980,0.0000
-6.190,6.5498,0.0000
-6.180,5.2000,0.0000
-6.170,3.7797,0.0000
-6.160,3.6137,0.0001
-6.150,4.3347,0.4425
-6.140,5.7432,1.1002
-6.130,4.6175,1.3754
-6.120,4.1155,1.3974
-6.110,3.8160,1.4323
-6.100,3.4727,1.5830
-6.090,3.1247,1.7519
-6.080,2.9950,2.2334
-6.070,2.8548,3.2760
-6.060,2.7915,3.5610
-6.050,2.6251,3.0260
-6.040,2.4014,2.7880
-6.030,2.1857,2.6760
-6.020,2.0478,2.6030
-6.010,1.9607,2.6250
-6.000,1.7551,3.0370
-5.990,1.6589,3.1610
-5.980,1.1377,3.3240
-5.970,0.7613,3.4750
-5.960,1.4680,3.1950
-5.950,1.8725,2.9280
-5.940,2.1097,2.8840
-5.930,2.5113,3.1650
-5.920,3.2385,3.2410
-5.910,4.2345,3.2670
-5.900,4.6672,3.3210
-5.890,5.2405,3.3540
-5.880,6.1043,3.3640
-5.870,7.6250,3.3850
-5.860,9.9400,3.6690
-5.850,9.1178,3.8570
-5.840,9.5048,3.5490
-5.830,12.3773,3.3110
-5.820,14.4650,3.7540
-5.810,15.2067,4.4490
-5.800,13.2935,4.5730
-5.790,16.3595,4.4740
-5.780,17.5370,4.9730
-5.770,14.0243,5.1420
-5.760,16.4015,4.9720
-5.750,19.4227,4.7280
-5.740,19.3982,4.0240
-5.730,19.4313,3.5370
-5.720,15.8202,3.2860
-5.710,10.1945,3.1160
-5.700,8.6700,2.9040
-5.690,7.9590,2.6350
-5.680,8.0655,2.5440
-5.670,8.3948,3.4560
-5.660,9.2160,4.2750
-5.650,8.4755,4.2300
-5.640,7.9995,4.6690
-5.630,7.9455,4.4470
-5.620,8.1473,4.1810
-5.610,8.4055,6.5220
-5.600,7.3380,7.0940
-5.590,5.7325,6.0060
-5.580,5.1775,4.3500
-5.570,4.8318,2.5140
-5.560,4.7623,4.4210
-5.550,4.7720,7.1210
-5.540,4.4642,8.2490
-5.530,4.2780,8.8020
-5.520,3.1252,8.8690
-5.510,0.0000,8.9720
-5.500,0.0000,8.1190
-5.490,0.0000,6.4000
-5.480,0.0000,5.9160
-5.470,0.0000,6.5910
-5.460,0.0000,7.6540
-5.450,0.0000,8.0890
-5.440,0.0000,8.4890
-5.430,0.0000,9.1400
-5.420,0.0000,9.4980
-5.410,0.0000,9.7810
-5.400,0.0000,10.2290
-5.390,0.0000,9.8580
-5.380,0.0000,9.3230
-5.370,0.0000,9.4070
-5.360,0.0000,10.0290
-5.350,0.0000,10.8700
-5.340,0.0000,10.9020
-5.330,0.0000,9.5360
-5.320,0.0000,8.5250
-5.310,0.0000,9.1290
-5.300,0.0000,9.8190
-5.290,0.0000,11.1400
-5.280,0.0000,12.9240
-5.270,0.0000,11.7820
-5.260,0.0000,10.1210
-5.250,0.0000,8.4710
-5.240,0.0000,5.7520
-5.230,0.0000,5.0360
-5.220,0.0000,5.4720
-5.210,0.0000,5.9660
-5.200,0.0000,5.7190
-5.190,0.0000,5.1380
-5.180,0.0000,5.1470
-5.170,0.0000,5.1530
-5.160,0.0000,5.3640
-5.150,0.0000,5.8370
-5.140,0.0000,6.1950
-5.130,0.0000,6.6370
-5.120,0.0000,8.8510
-5.110,0.0000,9.1620
-5.100,0.0000,6.5710
-5.090,0.0003,4.8650
-5.080,0.1047,3.6030
-5.070,1.1303,1.8986
-5.060,2.2122,0.3356
-5.050,2.8053,0.0000
-5.040,3.2220,0.0000
-5.030,4.0230,0.0000
-5.020,5.1573,0.0000
-5.010,6.7505,0.0000
-5.000,7.9142,0.0000
-4.990,7.5988,0.0000
-4.980,7.5987,0.0000
-4.970,8.8802,0.0000
-4.960,8.6560,0.0000
-4.950,9.6850,0.0000
-4.940,11.7550,0.0000
-4.930,11.9340,0.0000
-4.920,15.9273,0.0000
-4.910,20.1313,0.0000
-4.900,12.9435,0.0000
-4.890,15.5492,0.0000
-4.880,13.2550,0.0000
-4.870,11.6110,0.0000
-4.860,8.3365,0.0000
-4.850,2.5339,0.0000
-4.840,1.0971,0.0000
-4.830,0.0000,0.0000
-4.820,0.0000,0.0000
-4.810,0.0000,0.0000
-4.800,0.0000,0.0000
-4.790,0.0000,0.0000
-4.780,0.0000,0.0000
-4.770,0.0000,0.0000
-4.760,0.0000,0.0000
-4.750,0.0000,0.0000
-4.740,0.0000,0.0000
-4.730,0.0000,0.0000
-4.720,0.0000,0.0000
-4.710,0.0000,0.0000
-4.700,0.0000,1.3700
-4.690,0.0000,3.2940
-4.680,0.0000,5.0220
-4.670,0.0000,6.0390
-4.660,0.0000,6.6280
-4.650,0.0000,9.7500
-4.640,0.0000,6.5147
-4.630,0.0000,0.4517
-4.620,0.0000,0.0000
-4.610,0.1729,0.0000
-4.600,2.0536,0.0000
-4.590,8.2728,0.0000
-4.580,38.6550,0.0000
-4.570,45.6600,0.0000
-4.560,50.9675,0.0000
-4.550,28.2450,0.0000
-4.540,37.9025,0.0000
-4.530,27.1945,0.0000
-4.520,19.8263,0.0000
-4.510,20.3470,3.0860
-4.500,16.1772,8.8700
-4.490,13.3688,9.1060
-4.480,8.4567,6.1490
-4.470,9.7998,4.2130
-4.460,14.0550,2.7800
-4.450,12.1800,4.3640
-4.440,11.2903,5.4920
-4.430,11.1440,4.5510
-4.420,10.5062,4.2150
-4.410,7.4143,5.0470
-4.400,4.8175,5.7350
-4.390,2.9755,6.0150
-4.380,1.0618,5.7360
-4.370,0.0000,6.3860
-4.360,0.0000,8.3980
-4.350,0.0000,7.1780
-4.340,0.0000,7.3110
-4.330,0.0000,9.0290
-4.320,0.0000,10.4350
-4.310,0.0000,10.1590
-4.300,0.0000,10.8170
-4.290,0.0000,11.2410
-4.280,0.0000,10.0230
-4.270,0.0000,8.7390
-4.260,0.0000,7.8920
-4.250,0.0000,11.7890
-4.240,0.0000,15.9630
-4.230,0.0000,12.8360
-4.220,0.0000,7.8690
-4.210,0.0000,7.7900
-4.200,0.0000,8.3010
-4.190,0.0000,7.0590
-4.180,0.0000,7.4780
-4.170,0.0000,12.2360
-4.160,0.0000,11.5230
-4.150,0.0000,8.7310
-4.140,0.0000,12.7470
-4.130,0.0000,12.5710
-4.120,0.0000,9.8060
-4.110,0.0000,14.5320
-4.100,0.0000,15.5690
-4.090,0.0000,11.6160
-4.080,0.0000,10.3170
-4.070,0.0000,10.3390
-4.060,0.0000,15.3770
-4.050,0.0000,18.5440
-4.040,0.0000,15.3510
-4.030,0.0000,12.3110
-4.020,0.0000,9.4350
-4.010,0.0000,17.1610
-4.000,0.0000,19.3350
-3.990,0.0000,15.4340
-3.980,0.0000,15.7090
-3.970,0.0104,21.3100
-3.960,0.1542,19.0840
-3.950,0.6682,12.3430
-3.940,1.0994,15.3460
-3.930,1.4581,14.3520
-3.920,1.8983,7.4763
-3.910,2.7870,5.4153
-3.900,4.1925,17.5040
-3.890,4.4440,20.1060
-3.880,3.6740,16.8390
-3.870,3.7395,13.5130
-3.860,4.0200,6.6870
-3.850,4.1687,4.0620
-3.840,4.3235,5.4760
-3.830,4.6605,11.6670
-3.820,5.2323,12.1270
-3.810,5.7357,10.1850
-3.800,6.1110,19.3040
-3.790,5.0105,18.4270
-3.780,5.4233,9.2090
-3.770,6.0902,7.7700
-3.760,6.4050,7.3640
-3.750,6.9715,7.8940
-3.740,8.7207,6.8650
-3.730,9.4055,5.3280
-3.720,8.0672,6.6490
-3.710,8.4723,7.6580
-3.700,7.9912,7.3030
-3.690,9.1542,6.8980
-3.680,10.8930,4.4780
-3.670,9.7735,2.9120
-3.660,9.6110,4.8050
-3.650,9.7085,7.3180
-3.640,7.7428,6.9740
-3.630,4.6760,5.5850
-3.620,3.8945,4.6310
-3.610,3.0340,3.5370
-3.600,2.8970,3.0930
-3.590,3.7375,1.5040
-3.580,5.5045,0.0000
-3.570,7.8045,0.0000
-3.560,9.7552,0.0000
-3.550,15.0390,0.0000
-3.540,26.3375,0.0000
-3.530,26.4225,0.0000
-3.520,26.2350,0.0000
-3.510,26.5775,0.0000
-3.500,24.4953,0.0000
-3.490,20.1045,0.0000
-3.480,4.8953,0.0000
-3.470,1.3505,0.0000
-3.460,0.0000,0.0000
-3.450,0.0000,0.0000
-3.440,0.1056,0.0000
-3.430,1.1276,0.0000
-3.420,1.8780,0.0000
-3.410,3.7260,0.0393
-3.400,12.2962,1.4363
-3.390,18.0978,2.3069
-3.380,16.7922,1.7863
-3.370,18.8675,1.7856
-3.360,17.5297,2.0512
-3.350,15.8657,2.3820
-3.340,16.1227,2.4930
-3.330,13.9620,2.8230
-3.320,8.9045,3.6050
-3.310,9.6035,3.6270
-3.300,13.1655,3.2100
-3.290,11.7768,3.0430
-3.280,10.1995,2.6960
-3.270,8.7062,2.6810
-3.260,9.8578,2.3920
-3.250,13.6647,1.5657
-3.240,17.8942,0.6378
-3.230,21.5625,0.7374
-3.220,25.1530,1.6586
-3.210,23.7998,4.5593
-3.200,20.9560,10.4010
-3.190,15.5993,10.6380
-3.180,11.3885,6.2680
-3.170,8.6985,5.9390
-3.160,5.8760,6.1160
-3.150,3.9533,4.2970
-3.140,2.7202,3.7990
-3.130,2.2691,4.2440
-3.120,2.0255,5.5090
-3.110,1.8643,7.2670
-3.100,1.7640,9.5000
-3.090,1.6542,10.0480
-3.080,1.5028,8.7200
-3.070,1.3654,8.1540
-3.060,1.2696,7.3660
-3.050,1.2022,6.8500
-3.040,1.1578,6.8050
-3.030,1.0099,7.9140
-3.020,0.8815,8.2500
-3.010,0.7492,9.3280
-3.000,0.5308,10.5080
-2.990,0.2019,9.3080
-2.980,0.3504,9.8780
-2.970,0.4792,9.1690
-2.960,0.5157,6.3890
-2.950,0.5767,7.2060
-2.940,0.6697,10.1110
-2.930,0.7660,9.7760
-2.920,0.8649,7.0760
-2.910,1.1286,8.3920
-2.900,2.4135,12.4790
-2.890,4.3595,9.8420
-2.880,5.6250,8.2790
-2.870,6.2230,15.2900
-2.860,7.1905,15.1920
-2.850,7.7415,10.9290
-2.840,9.8038,14.7770
-2.830,13.4945,16.2330
-2.820,15.5297,12.5390
-2.810,14.6625,12.1160
-2.800,14.6867,12.5000
-2.790,13.8470,12.5570
-2.780,14.2840,14.2280
-2.770,21.2875,12.1440
-2.760,15.4597,10.8260
-2.750,12.5513,12.4190
-2.740,9.8708,11.3120
-2.730,7.3729,10.4370
-2.720,2.2139,11.5970
-2.710,0.7644,10.7270
-2.700,6.5690,10.3180
-2.690,5.3395,10.3660
-2.680,6.3042,10.8870
-2.670,6.4165,11.7630
-2.660,7.4472,11.5090
-2.650,8.9205,11.3420
-2.640,9.0930,9.7450
-2.630,9.4505,8.5620
-2.620,8.1840,7.5640
-2.610,8.2757,7.7700
-2.600,8.1430,9.2970
-2.590,8.0075,9.1880
