E-VBM_eV,total,Cl,Li,P,S
-7.000,0.0000,0.0000,0.0000,0.0000,0.0000
-6.990,0.0000,0.0000,0.0000,0.0000,0.0000
-6.980,0.0000,0.0000,0.0000,0.0000,0.0000
-6.970,0.0000,0.0000,0.0000,0.0000,0.0000
-6.960,0.0000,0.0000,0.0000,0.0000,0.0000
-6.950,0.0000,0.0000,0.0000,0.0000,0.0000
-6.940,0.0000,0.0000,0.0000,0.0000,0.0000
-6.930,0.0000,0.0000,0.0000,0.0000,0.0000
-6.920,0.0000,0.0000,0.0000,0.0000,0.0000
-6.910,0.0000,0.0000,0.0000,0.0000,0.0000
-6.900,0.0000,0.0000,0.0000,0.0000,0.0000
-6.890,0.0000,0.0000,0.0000,0.0000,0.0000
-6.880,0.0000,0.0000,0.0000,0.0000,0.0000
-6.870,0.0000,0.0000,0.0000,0.0000,0.0000
-6.860,0.0000,0.0000,0.0000,0.0000,0.0000
-6.850,0.0000,0.0000,0.0000,0.0000,0.0000
-6.840,0.0000,0.0000,0.0000,0.0000,0.0000
-6.830,0.0000,0.0000,0.0000,0.0000,0.0000
-6.820,0.0000,0.0000,0.0000,0.0000,0.0000
-6.810,0.0000,0.0000,0.0000,0.0000,0.0000
-6.800,0.0000,0.0000,0.0000,0.0000,0.0000
-6.790,0.0000,0.0000,0.0000,0.0000,0.0000
-6.780,0.0000,0.0000,0.0000,0.0000,0.0000
-6.770,0.0000,0.0000,0.0000,0.0000,0.0000
-6.760,0.0000,0.0000,0.0000,0.0000,0.0000
-6.750,0.0000,0.0000,0.0000,0.0000,0.0000
-6.740,0.0000,0.0000,0.0000,0.0000,0.0000
-6.730,0.0000,0.0000,0.0000,0.0000,0.0000
-6.720,0.0000,0.0000,0.0000,0.0000,0.0000
-6.710,0.0000,0.0000,0.0000,0.0000,0.0000
-6.700,0.0000,0.0000,0.0000,0.0000,0.0000
-6.690,0.0000,0.0000,0.0000,0.0000,0.0000
-6.680,0.0000,0.0000,0.0000,0.0000,0.0000
-6.670,0.0000,0.0000,0.0000,0.0000,0.0000
-6.660,0.0000,0.0000,0.0000,0.0000,0.0000
-6.650,0.0000,0.0000,0.0000,0.0000,0.0000
-6.640,0.0000,0.0000,0.0000,0.0000,0.0000
-6.630,0.0000,0.0000,0.0000,0.0000,0.0000
-6.620,0.0000,0.0000,0.0000,0.0000,0.0000
-6.610,0.0000,0.0000,0.0000,0.0000,0.0000
-6.600,0.0000,0.0000,0.0000,0.0000,0.0000
-6.590,0.0000,0.0000,0.0000,0.0000,0.0000
-6.580,0.0000,0.0000,0.0000,0.0000,0.0000
-6.570,0.0000,0.0000,0.0000,0.0000,0.0000
-6.560,0.0000,0.0000,0.0000,0.0000,0.0000
-6.550,0.0000,0.0000,0.0000,0.0000,0.0000
-6.540,0.0000,0.0000,0.0000,0.0000,0.0000
-6.530,0.0000,0.0000,0.0000,0.0000,0.0000
-6.520,0.0000,0.0000,0.0000,0.0000,0.0000
-6.510,0.0000,0.0000,0.0000,0.0000,0.0000
-6.500,0.0000,0.0000,0.0000,0.0000,0.0000
-6.490,0.0000,0.0000,0.0000,0.0000,0.0000
-6.480,0.0000,0.0000,0.0000,0.0000,0.0000
-6.470,0.0000,0.0000,0.0000,0.0000,0.0000
-6.460,0.0000,0.0000,0.0000,0.0000,0.0000
-6.450,0.0000,0.0000,0.0000,0.0000,0.0000
-6.440,0.0000,0.0000,0.0000,0.0000,0.0000
-6.430,0.0000,0.0000,0.0000,0.0000,0.0000
-6.420,0.0000,0.0000,0.0000,0.0000,0.0000
-6.410,0.0000,0.0000,0.0000,0.0000,0.0000
-6.400,0.0000,0.0000,0.0000,0.0000,0.0000
-6.390,0.0000,0.0000,0.0000,0.0000,0.0000
-6.380,0.0000,0.0000,0.0000,0.0000,0.0000
-6.370,0.0000,0.0000,0.0000,0.0000,0.0000
-6.360,0.0000,0.0000,0.0000,0.0000,0.0000
-6.350,0.0000,0.0000,0.0000,0.0000,0.0000
-6.340,0.0000,0.0000,0.0000,0.0000,0.0000
-6.330,0.0000,0.0000,0.0000,0.0000,0.0000
-6.320,0.0000,0.0000,0.0000,0.0000,0.0000
-6.310,0.0000,0.0000,0.0000,0.0000,0.0000
-6.300,0.0000,0.0000,0.0000,0.0000,0.0000
-6.290,0.0000,0.0000,0.0000,0.0000,0.0000
-6.280,0.0000,0.0000,0.0000,0.0000,0.0000
-6.270,0.0000,0.0000,0.0000,0.0000,0.0000
-6.260,0.0000,0.0000,0.0000,0.0000,0.0000
-6.250,0.0000,0.0000,0.0000,0.0000,0.0000
-6.240,0.0000,0.0000,0.0000,0.0000,0.0000
-6.230,0.0000,0.0000,0.0000,0.0000,0.0000
-6.220,0.0000,0.0000,0.0000,0.0000,0.0000
-6.210,0.0000,0.0000,0.0000,0.0000,0.0000
-6.200,0.0000,0.0000,0.0000,0.0000,0.0000
-6.190,0.0000,0.0000,0.0000,0.0000,0.0000
-6.180,0.0000,0.0000,0.0000,0.0000,0.0000
-6.170,0.0000,0.0000,0.0000,0.0000,0.0000
-6.160,0.0000,0.0000,0.0000,0.0000,0.0000
-6.150,0.0000,0.0000,0.0000,0.0000,0.0000
-6.140,0.0000,0.0000,0.0000,0.0000,0.0000
-6.130,0.0000,0.0000,0.0000,0.0000,0.0000
-6.120,0.0000,0.0000,0.0000,0.0000,0.0000
-6.110,0.0000,0.0000,0.0000,0.0000,0.0000
-6.100,0.0000,0.0000,0.0000,0.0000,0.0000
-6.090,0.0000,0.0000,0.0000,0.0000,0.0000
-6.080,0.0000,0.0000,0.0000,0.0000,0.0000
-6.070,0.0000,0.0000,0.0000,0.0000,0.0000
-6.060,0.0000,0.0000,0.0000,0.0000,0.0000
-6.050,0.0000,0.0000,0.0000,0.0000,0.0000
-6.040,0.0000,0.0000,0.0000,0.0000,0.0000
-6.030,0.0000,0.0000,0.0000,0.0000,0.0000
-6.020,0.0000,0.0000,0.0000,0.0000,0.0000
-6.010,0.0000,0.0000,0.0000,0.0000,0.0000
-6.000,0.0000,0.0000,0.0000,0.0000,0.0000
-5.990,0.0000,0.0000,0.0000,0.0000,0.0000
-5.980,0.0000,0.0000,0.0000,0.0000,0.0000
-5.970,0.0000,0.0000,0.0000,0.0000,0.0000
-5.960,0.0000,0.0000,0.0000,0.0000,0.0000
-5.950,0.0000,0.0000,0.0000,0.0000,0.0000
-5.940,0.0000,0.0000,0.0000,0.0000,0.0000
-5.930,0.0000,0.0000,0.0000,0.0000,0.0000
-5.920,0.0000,0.0000,0.0000,0.0000,0.0000
-5.910,0.0000,0.0000,0.0000,0.0000,0.0000
-5.900,0.0000,0.0000,0.0000,0.0000,0.0000
-5.890,0.0000,0.0000,0.0000,0.0000,0.0000
-5.880,0.0000,0.0000,0.0000,0.0000,0.0000
-5.870,0.0000,0.0000,0.0000,0.0000,0.0000
-5.860,0.0000,0.0000,0.0000,0.0000,0.0000
-5.850,0.0000,0.0000,0.0000,0.0000,0.0000
-5.840,0.0000,0.0000,0.0000,0.0000,0.0000
-5.830,0.0000,0.0000,0.0000,0.0000,0.0000
-5.820,0.0000,0.0000,0.0000,0.0000,0.0000
-5.810,0.0000,0.0000,0.0000,0.0000,0.0000
-5.800,0.0000,0.0000,0.0000,0.0000,0.0000
-5.790,0.0000,0.0000,0.0000,0.0000,0.0000
-5.780,0.0000,0.0000,0.0000,0.0000,0.0000
-5.770,0.0000,0.0000,0.0000,0.0000,0.0000
-5.760,0.0000,0.0000,0.0000,0.0000,0.0000
-5.750,0.0000,0.0000,0.0000,0.0000,0.0000
-5.740,0.0000,0.0000,0.0000,0.0000,0.0000
-5.730,0.0000,0.0000,0.0000,0.0000,0.0000
-5.720,0.0000,0.0000,0.0000,0.0000,0.0000
-5.710,0.0000,0.0000,0.0000,0.0000,0.0000
-5.700,0.0000,0.0000,0.0000,0.0000,0.0000
-5.690,0.0000,0.0000,0.0000,0.0000,0.0000
-5.680,0.0000,0.0000,0.0000,0.0000,0.0000
-5.670,0.0000,0.0000,0.0000,0.0000,0.0000
-5.660,0.0000,0.0000,0.0000,0.0000,0.0000
-5.650,0.0000,0.0000,0.0000,0.0000,0.0000
-5.640,0.0000,0.0000,0.0000,0.0000,0.0000
-5.630,0.0000,0.0000,0.0000,0.0000,0.0000
-5.620,0.0000,0.0000,0.0000,0.0000,0.0000
-5.610,0.0000,0.0000,0.0000,0.0000,0.0000
-5.600,0.0000,0.0000,0.0000,0.0000,0.0000
-5.590,0.0000,0.0000,0.0000,0.0000,0.0000
-5.580,0.0000,0.0000,0.0000,0.0000,0.0000
-5.570,0.0000,0.0000,0.0000,0.0000,0.0000
-5.560,0.0000,0.0000,0.0000,0.0000,0.0000
-5.550,0.0000,0.0000,0.0000,0.0000,0.0000
-5.540,0.0000,0.0000,0.0000,0.0000,0.0000
-5.530,0.0000,0.0000,0.0000,0.0000,0.0000
-5.520,0.0000,0.0000,0.0000,0.0000,0.0000
-5.510,0.0000,0.0000,0.0000,0.0000,0.0000
-5.500,0.0000,0.0000,0.0000,0.0000,0.0000
-5.490,0.0000,0.0000,0.0000,0.0000,0.0000
-5.480,0.0000,0.0000,0.0000,0.0000,0.0000
-5.470,0.0000,0.0000,0.0000,0.0000,0.0000
-5.460,0.0000,0.0000,0.0000,0.0000,0.0000
-5.450,0.0000,0.0000,0.0000,0.0000,0.0000
-5.440,0.0000,0.0000,0.0000,0.0000,0.0000
-5.430,0.0000,0.0000,0.0000,0.0000,0.0000
-5.420,0.0000,0.0000,0.0000,0.0000,0.0000
-5.410,0.0000,0.0000,0.0000,0.0000,0.0000
-5.400,0.0000,0.0000,0.0000,0.0000,0.0000
-5.390,0.0000,0.0000,0.0000,0.0000,0.0000
-5.380,0.0000,0.0000,0.0000,0.0000,0.0000
-5.370,0.0000,0.0000,0.0000,0.0000,0.0000
-5.360,0.0000,0.0000,0.0000,0.0000,0.0000
-5.350,0.0000,0.0000,0.0000,0.0000,0.0000
-5.340,0.0000,0.0000,0.0000,0.0000,0.0000
-5.330,0.0000,0.0000,0.0000,0.0000,0.0000
-5.320,0.0000,0.0000,0.0000,0.0000,0.0000
-5.310,0.0000,0.0000,0.0000,0.0000,0.0000
-5.300,0.0000,0.0000,0.0000,0.0000,0.0000
-5.290,0.0000,0.0000,0.0000,0.0000,0.0000
-5.280,0.0000,0.0000,0.0000,0.0000,0.0000
-5.270,0.0000,0.0000,0.0000,0.0000,0.0000
-5.260,0.0000,0.0000,0.0000,0.0000,0.0000
-5.250,0.0000,0.0000,0.0000,0.0000,0.0000
-5.240,0.0000,0.0000,0.0000,0.0000,0.0000
-5.230,0.0000,0.0000,0.0000,0.0000,0.0000
-5.220,0.0000,0.0000,0.0000,0.0000,0.0000
-5.210,0.0000,0.0000,0.0000,0.0000,0.0000
-5.200,0.0000,0.0000,0.0000,0.0000,0.0000
-5.190,0.0000,0.0000,0.0000,0.0000,0.0000
-5.180,0.0000,0.0000,0.0000,0.0000,0.0000
-5.170,0.0000,0.0000,0.0000,0.0000,0.0000
-5.160,0.0000,0.0000,0.0000,0.0000,0.0000
-5.150,0.0000,0.0000,0.0000,0.0000,0.0000
-5.140,0.0000,0.0000,0.0000,0.0000,0.0000
-5.130,0.0000,0.0000,0.0000,0.0000,0.0000
-5.120,0.0001,0.0000,0.0000,0.0000,0.0000
-5.110,0.3540,0.0018,0.0410,0.0994,0.2092
-5.100,0.9687,0.0053,0.1119,0.2724,0.5719
-5.090,1.3204,0.0075,0.1521,0.3720,0.7785
-5.080,1.3930,0.0082,0.1599,0.3939,0.8202
-5.070,1.4253,0.0086,0.1632,0.4049,0.8383
-5.060,1.5529,0.0094,0.1773,0.4431,0.9120
-5.050,1.7181,0.0104,0.1956,0.4923,1.0076
-5.040,2.1371,0.0127,0.2430,0.6159,1.2501
-5.030,3.0675,0.0172,0.3485,0.8894,1.7907
-5.020,3.5040,0.0190,0.3972,1.0189,2.0437
-5.010,3.1330,0.0169,0.3535,0.9129,1.8263
-5.000,2.8356,0.0149,0.3187,0.8264,1.6547
-4.990,2.6984,0.0140,0.3017,0.7856,1.5777
-4.980,2.6176,0.0137,0.2904,0.7620,1.5332
-4.970,2.6206,0.0139,0.2882,0.7620,1.5375
-4.960,2.9546,0.0154,0.3224,0.8585,1.7368
-4.950,3.1362,0.0165,0.3400,0.9102,1.8465
-4.940,3.2914,0.0178,0.3555,0.9521,1.9407
-4.930,3.4448,0.0191,0.3702,0.9959,2.0340
-4.920,3.2510,0.0187,0.3454,0.9425,1.9208
-4.910,2.9814,0.0179,0.3134,0.8650,1.7630
