"# Nd2O3-doped modelC DOS/PDOS (states/eV), gap=1.63 eV, Gaussian sigma=0.15 eV, EF=0, bonding=below 0"
E_minus_EF_eV,DOS_total,DOS_S,DOS_P,DOS_Cl,DOS_O,DOS_Li,DOS_Nd,DOS_Nd_4f
-7.989,0.0166,0.0042,0.0016,0.0001,0.0002,0.0006,0.0099,0.0099
-7.949,0.0265,0.0041,0.0017,0.0001,0.0006,0.0006,0.0195,0.0194
-7.909,0.0526,0.0040,0.0018,0.0002,0.0016,0.0007,0.0442,0.0441
-7.869,0.1088,0.0042,0.0025,0.0005,0.0041,0.0009,0.0966,0.0965
-7.829,0.2203,0.0053,0.0040,0.0010,0.0096,0.0015,0.1987,0.1984
-7.789,0.4254,0.0080,0.0075,0.0020,0.0212,0.0029,0.3838,0.3831
-7.749,0.7769,0.0135,0.0144,0.0036,0.0439,0.0055,0.6957,0.6944
-7.709,1.3372,0.0233,0.0270,0.0062,0.0857,0.0102,1.1843,1.1818
-7.669,2.1684,0.0394,0.0483,0.0100,0.1578,0.0182,1.8938,1.8893
-7.629,3.3152,0.0640,0.0824,0.0151,0.2741,0.0310,2.8467,2.8390
-7.589,4.7844,0.0999,0.1334,0.0216,0.4500,0.0501,4.0259,4.0137
-7.549,6.5305,0.1495,0.2054,0.0292,0.6992,0.0770,5.3639,5.3453
-7.509,8.4516,0.2156,0.3015,0.0374,1.0293,0.1128,6.7451,6.7181
-7.469,10.4050,0.3005,0.4226,0.0457,1.4377,0.1575,8.0261,7.9888
-7.429,12.2366,0.4064,0.5671,0.0532,1.9089,0.2103,9.0696,9.0203
-7.389,13.8160,0.5349,0.7309,0.0597,2.4141,0.2688,9.7794,9.7168
-7.349,15.0631,0.6871,0.9080,0.0646,2.9151,0.3301,10.1226,10.0458
-7.309,15.9560,0.8631,1.0915,0.0681,3.3712,0.3905,10.1286,10.0374
-7.269,16.5187,1.0619,1.2750,0.0703,3.7476,0.4467,9.8675,9.7622
-7.229,16.7980,1.2810,1.4536,0.0714,4.0227,0.4965,9.4174,9.2989
-7.189,16.8419,1.5166,1.6245,0.0718,4.1919,0.5387,8.8386,8.7080
-7.149,16.6890,1.7640,1.7865,0.0716,4.2664,0.5736,8.1639,8.0228
-7.109,16.3705,2.0178,1.9391,0.0708,4.2683,0.6024,7.4067,7.2569
-7.069,15.9194,2.2735,2.0820,0.0697,4.2226,0.6269,6.5775,6.4211
-7.029,15.3782,2.5289,2.2151,0.0684,4.1504,0.6487,5.6983,5.5370
-6.989,14.8029,2.7868,2.3390,0.0672,4.0641,0.6698,4.8061,4.6415
-6.949,14.2609,3.0579,2.4575,0.0666,3.9678,0.6922,3.9472,3.7794
-6.909,13.8297,3.3636,2.5798,0.0670,3.8606,0.7194,3.1652,2.9929
-6.869,13.5943,3.7359,2.7220,0.0690,3.7417,0.7559,2.4920,2.3121
-6.829,13.6423,4.2145,2.9058,0.0732,3.6149,0.8077,1.9433,1.7508
-6.789,14.0525,4.8380,3.1545,0.0803,3.4894,0.8805,1.5196,1.3082
-6.749,14.8755,5.6325,3.4862,0.0906,3.3776,0.9783,1.2105,0.9738
-6.709,16.1139,6.6001,3.9072,0.1042,3.2906,1.1010,0.9990,0.7317
-6.669,17.7095,7.7132,4.4068,0.1207,3.2344,1.2438,0.8650,0.5639
-6.629,19.5492,8.9169,4.9592,0.1394,3.2081,1.3970,0.7882,0.4529
-6.589,21.4891,10.1419,5.5286,0.1593,3.2051,1.5488,0.7497,0.3831
-6.549,23.3923,11.3240,6.0803,0.1798,3.2165,1.6878,0.7341,0.3411
-6.509,25.1660,12.4232,6.5908,0.2003,3.2327,1.8069,0.7295,0.3167
-6.469,26.7864,13.4375,7.0555,0.2213,3.2456,1.9049,0.7278,0.3021
-6.429,28.3012,14.4046,7.4895,0.2440,3.2479,1.9876,0.7241,0.2923
-6.389,29.8092,15.3901,7.9230,0.2701,3.2318,2.0652,0.7161,0.2838
-6.349,31.4220,16.4658,8.3900,0.3017,3.1892,2.1501,0.7028,0.2747
-6.309,33.2172,17.6812,8.9156,0.3401,3.1110,2.2520,0.6844,0.2639
-6.269,35.1990,19.0399,9.5033,0.3856,2.9887,2.3750,0.6616,0.2510
-6.229,37.2775,20.4867,10.1296,0.4371,2.8157,2.5151,0.6354,0.2360
-6.189,39.2791,21.9131,10.7458,0.4920,2.5895,2.6610,0.6067,0.2190
-6.149,40.9866,23.1816,11.2890,0.5470,2.3133,2.7966,0.5760,0.2004
-6.109,42.1983,24.1608,11.6992,0.5989,1.9972,2.9053,0.5442,0.1807
-6.069,42.7851,24.7610,11.9352,0.6452,1.6584,2.9744,0.5119,0.1605
-6.029,42.7248,24.9563,11.9850,0.6851,1.3186,2.9988,0.4799,0.1404
-5.989,42.1003,24.7856,11.8664,0.7188,1.0000,2.9812,0.4486,0.1213
-5.949,41.0672,24.3351,11.6186,0.7480,0.7211,2.9310,0.4185,0.1037
-5.909,39.8057,23.7101,11.2895,0.7749,0.4933,2.8610,0.3890,0.0880
-5.869,38.4779,23.0090,10.9238,0.8026,0.3199,2.7838,0.3595,0.0745
-5.829,37.2055,22.3077,10.5566,0.8355,0.1972,2.7095,0.3293,0.0629
-5.789,36.0694,21.6572,10.2122,0.8800,0.1169,2.6447,0.2982,0.0530
-5.749,35.1255,21.0902,9.9074,0.9465,0.0698,2.5929,0.2674,0.0447
-5.709,34.4223,20.6295,9.6546,1.0508,0.0481,2.5563,0.2395,0.0378
-5.669,34.0097,20.2916,9.4625,1.2151,0.0475,2.5370,0.2183,0.0324
-5.629,33.9342,20.0825,9.3342,1.4683,0.0679,2.5385,0.2084,0.0288
-5.589,34.2232,19.9897,9.2620,1.8444,0.1135,2.5653,0.2142,0.0274
-5.549,34.8672,19.9742,9.2241,2.3784,0.1924,2.6223,0.2389,0.0285
-5.509,35.8087,19.9687,9.1845,3.1007,0.3149,2.7137,0.2838,0.0322
-5.469,36.9456,19.8873,9.0979,4.0305,0.4909,2.8416,0.3477,0.0384
-5.429,38.1496,19.6440,8.9195,5.1696,0.7272,3.0048,0.4267,0.0465
-5.389,39.2964,19.1757,8.6170,6.4995,1.0241,3.1995,0.5151,0.0561
-5.349,40.2964,18.4621,8.1802,7.9833,1.3734,3.4193,0.6058,0.0661
-5.309,41.1158,17.5333,7.6255,9.5719,1.7588,3.6571,0.6917,0.0757
-5.269,41.7806,16.4634,6.9919,11.2138,2.1573,3.9063,0.7670,0.0843
-5.229,42.3619,15.3501,6.3309,12.8652,2.5432,4.1624,0.8272,0.0911
-5.189,42.9489,14.2875,5.6923,14.4988,2.8929,4.4237,0.8697,0.0958
-5.149,43.6224,13.3431,5.1122,16.1097,3.1876,4.6916,0.8937,0.0984
-5.109,44.4392,12.5454,4.6055,17.7174,3.4162,4.9701,0.9001,0.0990
-5.069,45.4352,11.8860,4.1664,19.3663,3.5749,5.2661,0.8910,0.0979
-5.029,46.6417,11.3347,3.7754,21.1225,3.6665,5.5885,0.8700,0.0955
-4.989,48.1036,10.8583,3.4089,23.0644,3.6988,5.9477,0.8421,0.0923
-4.949,49.8828,10.4361,3.0491,25.2668,3.6826,6.3532,0.8123,0.0889
-4.909,52.0408,10.0663,2.6890,27.7771,3.6301,6.8104,0.7853,0.0856
-4.869,54.6012,9.7617,2.3333,30.5892,3.5536,7.3160,0.7642,0.0827
-4.829,57.5115,9.5393,1.9949,33.6242,3.4643,7.8540,0.7498,0.0802
-4.789,60.6237,9.4087,1.6886,36.7305,3.3716,8.3957,0.7406,0.0780
-4.749,63.7148,9.3664,1.4263,39.7087,3.2833,8.9038,0.7339,0.0758
-4.709,66.5448,9.3969,1.2140,42.3619,3.2057,9.3419,0.7271,0.0736
-4.669,68.9362,9.4804,1.0507,44.5540,3.1441,9.6854,0.7187,0.0713
-4.629,70.8417,9.6020,0.9304,46.2574,3.1026,9.9305,0.7095,0.0689
-4.589,72.3704,9.7582,0.8448,47.5683,3.0840,10.0964,0.7023,0.0667
-4.549,73.7574,9.9570,0.7856,48.6799,3.0891,10.2196,0.7011,0.0651
-4.509,75.2831,10.2133,0.7462,49.8193,3.1171,10.3415,0.7100,0.0643
-4.469,77.1729,10.5398,0.7219,51.1699,3.1667,10.4938,0.7321,0.0645
-4.429,79.5127,10.9411,0.7099,52.8043,3.2371,10.6876,0.7687,0.0657
-4.389,82.2106,11.4103,0.7081,54.6529,3.3294,10.9094,0.8191,0.0679
-4.349,85.0144,11.9320,0.7148,56.5146,3.4469,11.1255,0.8802,0.0709
-4.309,87.5772,12.4888,0.7279,58.1071,3.5935,11.2924,0.9476,0.0745
-4.269,89.5487,13.0694,0.7449,59.1377,3.7725,11.3688,1.0158,0.0784
-4.229,90.6645,13.6751,0.7635,59.3765,3.9846,11.3264,1.0792,0.0822
-4.189,90.8119,14.3228,0.7814,58.7133,4.2260,11.1564,1.1331,0.0859
-4.149,90.0560,15.0422,0.7967,57.1842,4.4885,10.8715,1.1740,0.0890
-4.109,88.6224,15.8695,0.8082,54.9629,4.7587,10.5027,1.2000,0.0917
-4.069,86.8380,16.8370,0.8152,52.3193,5.0192,10.0925,1.2108,0.0937
-4.029,85.0482,17.9634,0.8172,49.5550,5.2497,9.6857,1.2074,0.0951
-3.989,83.5308,19.2464,0.8139,46.9333,5.4281,9.3197,1.1915,0.0958
-3.949,82.4350,20.6621,0.8049,44.6236,5.5330,9.0177,1.1656,0.0960
-3.909,81.7622,22.1715,0.7897,42.6769,5.5463,8.7861,1.1326,0.0957
-3.869,81.3925,23.7312,0.7680,41.0356,5.4562,8.6165,1.0956,0.0950
-3.829,81.1437,25.3051,0.7398,39.5721,5.2589,8.4914,1.0578,0.0940
-3.789,80.8374,26.8731,0.7057,38.1389,4.9604,8.3919,1.0219,0.0930
-3.749,80.3506,28.4328,0.6670,36.6112,4.5759,8.3038,0.9897,0.0921
-3.709,79.6391,29.9968,0.6258,34.9129,4.1285,8.2202,0.9620,0.0914
-3.669,78.7335,31.5874,0.5844,33.0201,3.6459,8.1419,0.9388,0.0910
-3.629,77.7195,33.2318,0.5451,30.9525,3.1571,8.0758,0.9197,0.0909
-3.589,76.7126,34.9580,0.5101,28.7582,2.6890,8.0308,0.9049,0.0911
-3.549,75.8346,36.7904,0.4811,26.5012,2.2634,8.0155,0.8947,0.0916
-3.509,75.1889,38.7398,0.4593,24.2511,1.8956,8.0345,0.8903,0.0923
-3.469,74.8354,40.7903,0.4448,22.0763,1.5941,8.0855,0.8926,0.0933
-3.429,74.7685,42.8862,0.4372,20.0370,1.3608,8.1576,0.9021,0.0944
-3.389,74.9077,44.9281,0.4351,18.1787,1.1920,8.2316,0.9183,0.0957
-3.349,75.1091,46.7852,0.4366,16.5267,1.0804,8.2831,0.9391,0.0969
-3.309,75.2018,48.3236,0.4396,15.0846,1.0164,8.2891,0.9617,0.0981
-3.269,75.0376,49.4436,0.4423,13.8372,0.9904,8.2339,0.9825,0.0989
-3.229,74.5372,50.1106,0.4430,12.7569,0.9943,8.1148,0.9981,0.0992
-3.189,73.7150,50.3689,0.4410,11.8113,1.0229,7.9435,1.0061,0.0990
-3.149,72.6760,50.3340,0.4357,10.9692,1.0738,7.7431,1.0055,0.0982
-3.109,71.5898,50.1683,0.4273,10.2057,1.1468,7.5429,0.9975,0.0971
-3.069,70.6551,50.0512,0.4162,9.5050,1.2424,7.3721,0.9853,0.0960
-3.029,70.0657,50.1511,0.4033,8.8611,1.3601,7.2546,0.9735,0.0953
-2.989,69.9830,50.6054,0.3896,8.2775,1.4959,7.2061,0.9678,0.0955
-2.949,70.5128,51.5035,0.3766,7.7643,1.6414,7.2324,0.9731,0.0971
-2.909,71.6845,52.8732,0.3656,7.3342,1.7835,7.3290,0.9928,0.1003
-2.869,73.4355,54.6710,0.3576,6.9963,1.9054,7.4812,1.0276,0.1051
-2.829,75.6089,56.7816,0.3530,6.7510,1.9904,7.6654,1.0753,0.1114
-2.789,77.9730,59.0329,0.3515,6.5872,2.0247,7.8524,1.1310,0.1188
-2.749,80.2621,61.2268,0.3521,6.4833,2.0014,8.0123,1.1886,0.1266
-2.709,82.2310,63.1801,0.3537,6.4104,1.9224,8.1199,1.2422,0.1342
-2.669,83.7048,64.7625,0.3551,6.3388,1.7971,8.1599,1.2869,0.1412
-2.629,84.6105,65.9201,0.3555,6.2438,1.6404,8.1293,1.3194,0.1471
-2.589,84.9799,66.6779,0.3543,6.1096,1.4687,8.0372,1.3384,0.1515
-2.549,84.9274,67.1231,0.3517,5.9308,1.2967,7.9014,1.3443,0.1544
