# DIGITIZED (approximate) from Li_percolation_barrier figure — for redraw only, NOT publication data.
# Regenerate exact with tools/ionic/li_percolation.py on the Li-density cube.
# x = F = -kT*ln(rho/rho_max) [eV] ; y = largest connected Li cluster [% of cell]
# percolation thresholds (first system-spanning cluster): LPSCl 0.191 eV, LPSCl1.6 0.078 eV
F_eV,LPSCl_pct,LPSCl16_pct
0.030,0.1,0.1
0.045,0.8,0.4
0.055,1.3,0.6
0.063,2.2,0.9
0.078,3.3,1.3
0.090,4.3,1.6
0.100,5.0,3.0
0.110,5.8,8.8
0.130,6.8,11.0
0.150,7.9,15.0
0.158,8.3,16.0
0.168,8.6,39.0
0.175,9.0,44.0
0.182,10.3,47.0
0.191,14.0,50.5
0.200,20.5,53.0
0.210,48.3,55.5
0.230,57.5,61.0
0.250,62.0,65.5
0.275,67.0,71.0
