"# energy-resolved -pCOHP (bonding>0). host bonds, b2o3(extended Li2p) vs modelc(LPSCl1.6).",ICOHP eV/bond: P-S b2o3 -6.023 modelc -6.0; S-S b2o3 -0.116 modelc -0.11; Li-S b2o3 -1.68 modelc -1.717; Li-Cl b2o3 -2.076 modelc -2.103
E_minus_EF_eV,P-S_b2o3,P-S_modelc,S-S_b2o3,S-S_modelc,Li-S_b2o3,Li-S_modelc,Li-Cl_b2o3,Li-Cl_modelc
-12.0334,0.00000,0.00000,-0.00001,0.00000,0.38909,0.00000,-0.00021,0.00000
-11.9833,0.00001,0.00000,-0.00005,0.00000,1.39060,0.00000,-0.00076,0.00000
-11.9331,0.00002,0.00001,-0.00014,0.00001,4.03059,0.00307,-0.00219,0.00000
-11.8830,0.00008,0.00009,-0.00036,0.00005,9.54045,0.02542,-0.00515,-0.00001
-11.8329,0.00032,0.00049,-0.00074,0.00027,18.59743,0.13852,-0.00993,-0.00004
-11.7827,0.00123,0.00209,-0.00109,0.00119,30.21423,0.59354,-0.01583,-0.00018
-11.7326,0.00428,0.00711,-0.00060,0.00400,41.59334,2.00722,-0.02111,-0.00058
-11.6824,0.01269,0.01918,0.00270,0.01073,49.65880,5.38499,-0.02377,-0.00148
-11.6323,0.03147,0.04103,0.01229,0.02276,53.26645,11.47312,-0.02281,-0.00305
-11.5822,0.06531,0.07029,0.03269,0.03826,54.20869,19.60182,-0.01887,-0.00513
-11.5320,0.11490,0.09793,0.06783,0.05104,56.11992,27.31936,-0.01394,-0.00739
-11.4819,0.17485,0.11423,0.11800,0.05388,62.00265,32.09093,-0.01024,-0.00979
-11.4317,0.23480,0.11813,0.17547,0.04490,71.91297,33.76541,-0.00896,-0.01276
-11.3816,0.28126,0.11588,0.22207,0.02926,82.09346,33.96472,-0.00956,-0.01618
-11.3315,0.29949,0.11094,0.23607,0.01454,86.42121,33.26297,-0.01027,-0.01865
-11.2813,0.27943,0.09939,0.20795,0.00507,80.18296,30.18041,-0.00957,-0.01830
-11.2312,0.22446,0.07780,0.15021,0.00084,63.79324,23.71950,-0.00730,-0.01470
-11.1811,0.15286,0.05062,0.08836,-0.00033,42.82358,15.42114,-0.00446,-0.00952
-11.1309,0.08722,0.02662,0.04217,-0.00036,24.01692,8.08990,-0.00216,-0.00492
-11.0808,0.04134,0.01122,0.01629,-0.00019,11.17743,3.39878,-0.00082,-0.00203
