status	author	year	n_occ	n_files	areas	canon_cards	numbers_on_same_lines
CARD	Lee	2025	78	37	docs:65,scripts:9,CLAUDE.md:4	lee2025_corolling_dryprocess_lpscl_ptfe|lee2025_dual_fibrous_ptfe_dry_electrode	34 mS/cm×5; 75 MPa×4; 2 MPa×3; 0.069 mS/cm×2; 59.28 mS/cm×1
CARD	Trevisanello	2021	77	35	scripts:31,docs:30,webapp:8,STAGE_E_ASR_GUIDE.md:4	trevisanello2021_sc_pc_ncm_cracking_diffusion	5 mS/cm×5; 1 μm×2; 12 μm×1; 3.5 µm×1; 10 mS/cm×1
CARD	Minnmann	2021	68	28	docs:45,webapp:12,scripts:10,STAGE_E_ASR_GUIDE.md:1	minnmann2021_jes_charge_transport_bottlenecks	380 MPa×13; 0.17 mS/cm×5; 40 MPa×2; 1.6 mS/cm×2; 300 MPa×1
CARD	Kim	2025	66	25	docs:45,scripts:18,webapp:3	kim2025_conductive_agent_se_coating_cathode|kim2025_csp_metastable_edge_sharing_sse|kim2025_csp_metastable_edge_sharing_sse__seminar_5min_qa	0.2 µm×2; 400 MPa×1; 47.5 µm×1; 39 µm×1; 8 µm×1
CARD	Sakuda	2013	65	23	docs:43,scripts:17,webapp:4,CLAUDE.md:1	sakuda2013_sulfide_mechanical_property	24 GPa×14; 300 MPa×11; 0.6 GPa×6; 0.85 GPa×5; 1.35 GPa×4
CARD	Kim	2024	61	26	docs:60,CLAUDE.md:1	kim2024_carbon_volumetric_occupation_se_domain|kim2024_digital_twin_acsenergyletters|kim2024_mtp_argyrodite_disorder_gb	34 mS/cm×2; 65.2 mS/cm×2; 517 MPa×2; 0.014 mS/cm×1; 0.4 µm×1
CARD	Park	2020	48	9	docs:48	park2020_digitaltwin_assb_foundational	8 µm×2; 0.014 mS/cm×1; 47.5 µm×1; 39 µm×1; 20 µm×1
CARD	Bazzoun	2026	44	26	docs:40,scripts:2,CLAUDE.md:1,webapp:1	bazzoun2026_dem_fem_rnm_ionic	400 MPa×2; 0.137 mScm×2; 100 MPa×2; 0.4 µm×1; 22.1 GPa×1
CARD	Bielefeld	2019	41	17	docs:36,webapp:3,scripts:2	bielefeld2019_microstructural_modeling_composite_cathode	1.35 GPa×1; 5 µm×1; 5 μm×1
CARD	Hong	2026	41	20	docs:31,scripts:10	hong2026_cbd_viscoelasticity_springback|hong2026_sulfide_cathode_binder_digitaltwin	0.069 mS/cm×1; 4 µm×1; 1 µm×1; 0.064 mS/cm×1
CARD	Bielefeld	2020	38	13	docs:35,scripts:2,GB_correction_fitting_report.md:1	bielefeld2020_effective_ionic_conductivity_binder	0.30 GPa×1; 0.56 GPa×1
CARD	Wang	2022	35	14	docs:12,webapp:11,STAGE_E_ASR_GUIDE.md:7,scripts:4	wang2022_resistive_decomposing_interfaces_se_alkali_metal|wang2022_sulfide_thermal_stability_th_descriptor	
CARD	So	2022	33	15	docs:31,CLAUDE.md:1,scripts:1	so2022_dem_compaction_coated_particles_assb|so2022_dem_contact_model_assb_compaction_sintering	0.5 µm×2; 300 MPa×1; 0.25 µm×1; 0.10 µm×1; 1 µm×1
CARD	Kraft	2017	29	12	webapp:13,scripts:9,docs:7	kraft2017_lattice_polarizability_argyrodite_Li6PS5X	0.41 eV×5; 0.46 eV×3; 375 MPa×2; 3.0 mS/cm×1; 300 MPa×1
CARD	Liu	2025	27	13	scripts:18,docs:8,README.md:1	liu2025_dry_processing_high_energy_li_batteries_review	
CARD	Yun	2023	27	12	docs:15,scripts:11,webapp:1	yun2023_deciphering_degradation_halide_vs_sulfide	
CARD	Wang	2018	27	4	docs:27	wang2018_lco_nmc_electronic_ionic_conductivity_vs_ni	5 mS/cm×1; 5 S/cm×1; 0.25 eV×1; 3 S/cm×1
CARD	So	2021	26	11	docs:24,DEM_BRANCH_CONSOLIDATION.md:1,scripts:1	so2021_dem_fabrication_degradation_ductile_particles|so2021_dem_mold_pressure_assb_coldpress	300 MPa×2
CARD	Doux	2020	26	11	docs:18,scripts:5,webapp:3	doux2020_stack_pressure_assb	370 MPa×6; 300 MPa×4; 75 MPa×4; 400 MPa×2; 1.35 GPa×1
CARD	Choi	2024	26	9	docs:26	choi2024_digital_twin_review_echem	
CARD	Reisacher	2023	24	11	docs:9,webapp:8,scripts:7	reisacher2023_percolation_sulfide_carbon_matrix	0.41 eV×7; 375 MPa×7; 300 MPa×2; 0.46 eV×1; 102 mS/cm×1
CARD	Cronau	2021	23	17	docs:20,scripts:2,CLAUDE.md:1	cronau2021_stack_pressure_ionic_conductivity	3.0 mS/cm×3; 50 MPa×1; 3.0 mScm×1; 3 mS/cm×1; 3 S/cm×1
CARD	Bouvard	2000	19	7	docs:15,scripts:3,DEM_BRANCH_CONSOLIDATION.md:1	bouvard2000_hard_soft_powder_densification	50 MPa×1
CARD	McGeary	1961	18	12	docs:12,scripts:5,DEM_BRANCH_CONSOLIDATION.md:1	mcgeary1961_bimodal_sphere_packing	
CARD	Cho	2024	17	11	docs:11,scripts:6	cho2024_conflicting_roles_conductive_additive	
CARD	Luan	2025	16	11	docs:12,scripts:3,CLAUDE.md:1	luan2025_graded_cathode_400whkg_pouch	
CARD	Bazzoun	2025	16	11	docs:15,scripts:1	bazzoun2025_dem_parameter_sensitivity_assb_cathode	350 MPa×1
CARD	Lim	2025	16	4	docs:16	lim2025_virtual_calendering_framework	4.0 g/cm×1
CARD	Nam	2026	15	6	docs:10,scripts:5	nam2026_dpe_microstructure_review|nam2026_primer_layer_dry_electrode_collector	
CARD	Song	2025	15	6	docs:15	song2025_electrochemo_mechanical_microelectrode_ees|song2025_porous_argyrodite_modulus_fracture_toughness	0.4 µm×1; 600 nm×1
CARD	Bucci	2017	14	6	docs:10,scripts:4	bucci2017_chemomech_failure_assb_cycling_czm	5 nm×2; 0.04 MPa×1; 18.5 GPa×1; 150 GPa×1; 100 nm×1
CARD	Oh	2026	12	8	docs:12	oh2026_bimodal_composite_cathode|oh2026_carbon_coating_siox_ion_electron_balance	
CARD	Kraft-	2017	12	11	docs:5,scripts:4,webapp:3	kraft2017_lattice_polarizability_argyrodite_Li6PS5X	
CARD	Kang	2025	12	4	docs:12	kang2025_bollard_anchored_binder_dry_electrode|kang2025_highvoltage_parasitic_reaction_benefit_sulfide_assb|kang2025_toughened_bimodal_nca_lzo	10 µm×1; 0.58 S/cm×1
CARD	Varkey	2026	11	9	docs:10,CLAUDE.md:1	varkey2026_multicontact_elastoplastic_dem	10.58 GPa×1; 90 MPa×1; 350 MPa×1
CARD	Fan	2026	10	7	docs:8,CLAUDE.md:1,scripts:1	fan2026_sulfide_assb_stability_review_ECERD2600097	30 GPa×2; 3 µm×1
CARD	Koo	2025	10	5	docs:10	koo2025_cnt_wrapped_sc_nca_dry_cathode	4.0 g/cm×1; 5 µm×1
CARD	Koo	2026	10	7	docs:9,scripts:1	koo2026_swcnt_sheath_thick_electrode	
CARD	Lee	2023	10	3	docs:10	lee2023_sicspe_digitaltwin_assb	0.0428 mS/cm×1; 0.065 mS/cm×1
CARD	Jung	2023	9	4	docs:9	jung2023_single_crystal_ncm_morphology	10 µm×1
CARD	Kim	2026	9	5	docs:9	kim2026_a3d_air_electrode_microstructure_transport|kim2026_charge_engineered_cnf_binder|kim2026_hts_li3sc2po43_coating_midni_ncm	
