"# Cronau 2021 ACS Energy Lett. 6, 3072 — SI (nz1c01299_si_001.pdf) figure readout. ALL VALUES DIGITIZED (not stated in text). tools/litdb/cronau2021_si_digitize.py"
figure,panel,material,class,series,x_name,x_value,x_unit,y_name,y_value,y_unit,fit_cost,own_px,flag,provenance
S1,S1a,AM-Li7P3S11,AM,fab 194.69 MPa,stack_pressure,2.82,MPa,sigma_ion,5.01713e-05,S/cm,11,14,occluded,digitized
S1,S1a,AM-Li7P3S11,AM,fab 194.69 MPa,stack_pressure,3.82,MPa,sigma_ion,5.82865e-05,S/cm,0,36,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 194.69 MPa,stack_pressure,4.45,MPa,sigma_ion,6.85977e-05,S/cm,2,24,occluded,digitized
S1,S1a,AM-Li7P3S11,AM,fab 194.69 MPa,stack_pressure,5.64,MPa,sigma_ion,7.70887e-05,S/cm,0,7,occluded,digitized
S1,S1a,AM-Li7P3S11,AM,fab 194.69 MPa,stack_pressure,19.61,MPa,sigma_ion,1.34101e-04,S/cm,0,62,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 194.69 MPa,stack_pressure,29.25,MPa,sigma_ion,1.43991e-04,S/cm,37,56,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 194.69 MPa,stack_pressure,39.11,MPa,sigma_ion,1.47023e-04,S/cm,65,64,neighbor_overlap,digitized
S1,S1a,AM-Li7P3S11,AM,fab 194.69 MPa,stack_pressure,48.47,MPa,sigma_ion,1.48222e-04,S/cm,60,68,neighbor_overlap,digitized
S1,S1a,AM-Li7P3S11,AM,fab 194.69 MPa,stack_pressure,58.86,MPa,sigma_ion,1.48573e-04,S/cm,64,61,neighbor_overlap,digitized
S1,S1a,AM-Li7P3S11,AM,fab 194.69 MPa,stack_pressure,68.14,MPa,sigma_ion,1.48829e-04,S/cm,64,58,neighbor_overlap,digitized
S1,S1a,AM-Li7P3S11,AM,fab 194.69 MPa,stack_pressure,77.67,MPa,sigma_ion,1.48802e-04,S/cm,63,54,neighbor_overlap,digitized
S1,S1a,AM-Li7P3S11,AM,fab 194.69 MPa,stack_pressure,87.29,MPa,sigma_ion,1.48637e-04,S/cm,58,62,neighbor_overlap,digitized
S1,S1a,AM-Li7P3S11,AM,fab 194.69 MPa,stack_pressure,95.84,MPa,sigma_ion,1.48426e-04,S/cm,40,58,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 194.69 MPa,stack_pressure,146.10,MPa,sigma_ion,1.50589e-04,S/cm,0,52,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 194.69 MPa,stack_pressure,194.67,MPa,sigma_ion,1.53546e-04,S/cm,0,46,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 292.03 MPa,stack_pressure,0.91,MPa,sigma_ion,3.49575e-05,S/cm,9,24,occluded,digitized
